"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","886716","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia","Zappi & E.Lucas","J. G. Jardim","4635","2005","06","19","South America","Brazil","Bahia","Santa Cruz Cabrália","Ca. 13.7 km da Ponta de Santo Antônio, rodovia para Belmonte.","-38.9711","-16.1728","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886716","NY00886716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","634379","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia","Zappi & E.Lucas","J. G. Jardim","2250","1999","08","15","South America","Brazil","Bahia","Maraú","Rod. Maraú/Campinhos, ca 8.6 km do Povoado de Saquaíra. Estrada que leva a praia proximo a Lagoa do Casange","-38.9489","-13.9961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634379","NY00634379_01","C. M. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02103825","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia","Zappi & E.Lucas","W. W. Thomas","11917","1999","02","01","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N then W of Jussari on road to Palmira, then 2 km S to Fazenda Teimoso, Reserva da Fazenda Teimoso, southern end","-39.5233","-15.155","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=411921' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103825","NY02103825_01",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:45:02-03","UNEB","HUNEB","2607","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia",NA,"Jesus, N.G.","1076","2000","01","08",NA,"Brasil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade.","-40.215556","-12.915278",NA,"Floresta subperenifolia.","HUNEB0002607",NA,"D. Zappi","120","150","Dicotyledoneae","2001","12","40W12'56''","12S54'55''",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:45:02-03","UNEB","HUNEB","2624","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia",NA,"Jesus, N.G.","1093","2000","01","16",NA,"Brasil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade.","-40.215556","-12.915278",NA,"Floresta subperenifolia.","HUNEB0002624",NA,"D. Zappi","120","150","Dicotyledoneae","2005","06","40W12'56''","12S54'55''",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-19 15:45:02-03","UNEB","HUNEB","2627","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia",NA,"Jesus, N.G.","1096","2000","01","16",NA,"Brasil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade.","-40.215556","-12.915278",NA,"Floresta subperenifolia.","HUNEB0002627",NA,"D. Zappi","120","150","Dicotyledoneae","2005","06","40W12'56''","12S54'55''",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:45:02-03","UNEB","HUNEB","2664","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia",NA,"Jesus, N.G.","1133","2000","03","23",NA,"Brasil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade","-40.215556","-12.915278",NA,"Floresta subperenifolia","HUNEB0002664",NA,"D. Zappi","120","150","Dicotyledoneae","2005","06","40W12'56''","12S54'55''",NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 21:33:02-03","UFBA","ALCB","023261","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia","Zappi & E. Lucas","Guedes, ML; Dias, C","s/n","1991","07","07","Southern America","Brasil","Bahia","Camaçari","Jauá.","-38.316667","-12.683333",NA,"De mais ou menos 2,0m de altura; folhas discolores, crassas. Frutos maduros de cor laranja.; Dunas.",NA,NA,"Taylor, CM",NA,NA,NA,"2012",NA,"-38.316667","-12.683333",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:01-03","UFBA","ALCB","04107","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia","Zappi & E. Lucas","Costa, AL","871","1961","05","14","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapoan, entre o Aeroporto e a costa ao norte do H. Stella Maris","-38.5","-12.966667",NA,NA,NA,NA,"Taylor, CM",NA,NA,NA,"2012",NA,"-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:24:01-03","UFBA","ALCB","04108","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","crassifolia","Rudgea crassifolia","Zappi & E. Lucas","Souza, JP de","s/n","1974","10","20","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapoan, entre o Aeroporto e Stella Maris","-38.5","-12.966667",NA,NA,NA,NA,"Taylor, CM",NA,NA,NA,"2012",NA,"-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA
