"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:43:50-03","E","E","221600","PreservedSpecimen","Plantae","Styracaceae","Styrax","pearcei","Styrax pearcei","Buchtien, Otto","5520","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:232009","<a href=http://data.rbge.org.uk/herb/E00221600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","105906","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","Nogueira Silva, P.E.","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:115537","<a href=http://data.rbge.org.uk/herb/E00105906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105906","1988","10","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","63364","PreservedSpecimen","Plantae","Styracaceae","Styrax","burchellii","Styrax burchellii","W. J. Burchell","6345","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00063364","1827","10","25","Magnoliophyta","Ericales","Perkins","isotype","Goiás","Sao Joaquím",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02689898","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","C. A. Cid Ferreira","2934","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=602591' target='other'> <mi>dwc_moreinfo</mi></a>","NY02689898","1980","10","17","Magnoliophyta","Ericales","Perkins",NA,"Acre","Road to Placido de Castro","P. W. Fritsch","Plácido de Castro","-67.1856","-10.3356","NY02689898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182339","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","E. P. Heringer","11578","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182339","1967","11","15","Magnoliophyta","Ericales","Perkins",NA,"Goiás","Rio Corumbá.","P. W. Fritsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182338","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","E. P. Heringer","10653","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401103' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182338","1965","10","12","Magnoliophyta","Ericales","Perkins",NA,"Distrito Federal","Parque Municipal do Gama","P. W. Fritsch","Brasília","-48.05","-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02447118","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","H. S. Irwin","10201","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2240807' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447118","1965","11","11","Magnoliophyta","Ericales","Perkins",NA,"Distrito Federal","Parque Municipal do Gama",NA,"Brasília","-48","-16.03","NY02447118_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","945314","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","M. Aparecida da Silva","3056","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945314","1996","08","27","Magnoliophyta","Ericales","Perkins",NA,"Goiás","GO-225. 08 Km em direção a Pirenopolis.","P. W. Fritsch","Corumba de Goias","-48.85","-15.9","NY00945314_01 NY00945314_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","487029","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","M. Saldías Paz","3253","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=262786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487029","1993","09","12","Magnoliophyta","Ericales","Perkins",NA,"Santa Cruz","El Mague, 25 km WSW de la ciudad de Santa Cruz de la Sierra. Camino hacia la comunidad El Pacay","P. W. Fritsch","Andrés Ibáñez","-63.3417","-17.7167",NA,"460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1551450","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","J. L. Zarucchi","2758","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1159151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551450","1979","10","18","Magnoliophyta","Ericales","Perkins",NA,"Rondônia","Mineração Campo Novo (ca 100 km SW of Ariquemes).","P. W. Fritsch",NA,"-63.616667","-10.566667","NY01551450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-29 22:18:00-03","NY","NYBG","945315","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","V. L. Gomes-Klein","3381","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00945315","1997","10","28","Magnoliophyta","Ericales",NA,NA,"Goiás","Margem do córrego Piçarrão, próximo a represa que abastece a cidade, na base de Reserva Biológica Pro José Angelo Rizzo-Serra Dourada.","P. W. Fritsch","Mossâmedes","-50.215","-16.1269","NY00945315_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:50:03-03","EAO","IAN","114478","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","Silva, NT da","708","Southern America","Brasil",NA,NA,NA,"IAN114478","1962","07","28","Dicotiledônea",NA,"G. Perkins",NA,"Pará","Região Garotire. Mata baixa de Várzea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:50:03-03","EAO","IAN","114485","PreservedSpecimen","Plantae","Styracaceae","Styrax","sieberi","Styrax sieberi","Silva, NT da","715","Southern America","Brasil",NA,NA,NA,"IAN114485","1962","07","28","Dicotiledônea",NA,"G. Perkins",NA,"Pará","Região Ggarotire.&nf;Mata de terra firme, na margem do rio.","Oliveira, E",NA,NA,NA,NA,NA,NA,"1972","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
