"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","856191","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.","J. F. Pruski","G. T. Prance","58282","1964","07","21","South America","Brazil","Goiás","Alto Paraíso de Goiás","5-15 km south of Veadeiros, road to San João d'Alianca.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856191","NY00856191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","856177","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.","G. M. Barroso","H. S. Irwin","9314","1965","10","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km N.W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.59528","-14.04001","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856177","NY00856177_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","7516","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.",NA,"A. F. M. Glaziou","21681",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007516","NY00007516_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01080828","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.","G. M. Barroso","H. S. Irwin","9314","1965","10","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km N.W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.59528","-14.04001","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210577' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080828","NY01080828_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","856176","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.","G. M. Barroso","H. S. Irwin","12566","1966","02","11","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856176","NY00856176_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","856182","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.","G. M. Barroso","W. R. Anderson","6227","1973","03","03","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km by road N of Alto Paraíso","-47.5167","-13.9376","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856182","NY00856182_01","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:43:28-03","UNEB","HUNEB","10870","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana",NA,NA,"Roque, N.","ALCB 65428","2003","12","05",NA,"Brasil","Bahia","Piatã","Chapada Diamantina, Serra de Santana, 2 Km de Piatã.","-41.776111","-13.129167",NA,NA,"HUNEB0010870",NA,NA,NA,"Dicotyledoneae","41W46'34''","13S7'45''",NA,NA,NA,NA,NA,NA
"8","2019-11-19 15:43:28-03","UNEB","HUNEB","7349","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.",NA,"Roque, N.","571","2001","07","04",NA,"Brasil","Bahia","Érico Cardoso","Estrada Vereda em direção a Curralinho.","-42.067778","-13.275833",NA,NA,"HUNEB0007349",NA,"1103","1103","Dicotyledoneae","42W4'4''","13S16'33''",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:52:30-03","NBC","NL-BOTANY","WAG.1556018","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.",NA,"Anderson WR",NA,"1972","03","03","Southern America","Brazil",NA,NA,"Estado de Goiás, Chapada dos Veadeiros. Ca. 20 km by road N of Alto Paraiso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1556018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1556018","NL-WAG1556018",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:02:45-03","ESALQ","ESA","24496","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Wunderlichia","crulsiana","Wunderlichia crulsiana","Taub.","Souza-Buturi, F.O.","Souza, V.C. et al.","5185.0","1994","02","11",NA,"Brasil","Minas Gerais","Pedra Azul",NA,"-41.2971992492676","-16.0053005218506",NA,NA,"ESA024496",NA,NA,NA,NA,NA,NA,"39993","auto",NA,NA,NA,NA
