"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","872434","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus","A. Urquiola","Z. A. Trinta","803","1964","04","20","South America","Brazil","Minas Gerais","Pedra Azul","caminho do Aeroporto.","-41.241281","-16.052938","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872434","NY00872434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02283008","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis guadalupensis","(Spreng.) Morong",NA,"L. O. A. Teixeira","974","1982","06","06","South America","Brazil","Amazonas","Humaitá","Estrada Humaitá-Lábrea, km 59, a 6 km ao Norte. Mata de terra firme, com muito Babassu.","-63.5145378","-7.4391989","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458673' target='other'> <mi>dwc_moreinfo</mi></a>","NY02283008","NY02283008_01","guadalupensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01048817","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus","J. A. Kallunki","W. W. Thomas","5723","1987","12","07","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado","-60.72","-13.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048817","NY01048817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:30-03","EAO","IAN","87379","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus","Lowden, RM","Killip, EP","43086","1953","03","11","Southern America","Cuba",NA,NA,"Isle of Pines. Rockyford, south of Santa Bárbara; woods along stream.",NA,NA,NA,"Submerged; forming dense masses","IAN087379",NA,NA,"1983","07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-02 16:28:59-03","CPAN-UFMS","COR","6186","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus","Pott, V. J.","Equipe de Cabeceira","1621","1998","09","04",NA,"Brasil","Mato Grosso do Sul","Bonito","Baia Bonita. brejo.","-56.433611","-21.3",NA,"Habito: erva",NA,NA,NA,"1999","04","26","56º26'1''W","21º18'0''S",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:08:31-03","CPAN-UFMS","COR","935","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus",NA,"Almeida Rego","777","1986","08","09",NA,"Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"7","2020-11-26 18:08:31-03","CPAN-UFMS","COR","773","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus","Christopher D.K. Cook","Almeida Rego","601","1986","07","26",NA,"Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"8","2020-11-26 18:08:31-03","CPAN-UFMS","COR","1359","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus",NA,"V.J.Pott;A.Bezerra;S.Isquierdo","539","1989","05","21",NA,"Brasil","Mato Grosso do Sul","Corumbá","Estrada da Manga, próximo ao Clube do Laço.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"9","2021-01-14 15:31:11-03","MN","R","109303","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus",NA,"Nobs, M.A. 1103; Smith, S.G.",NA,"1949","07","29",NA,"Estados Unidos","Califórnia","Condado de Sutter",NA,NA,NA,NA,"Marsh Plant Survey of California","R010069716","R010069716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:11-03","MN","R","42174","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","guadalupensis","Najas guadalupensis","(Spreng.) Magnus","Lourenço, A.R.","Ramiz Galvão, B.F.","666","1882","03",NA,NA,"Brasil","Rio de Janeiro",NA,"Campos",NA,NA,NA,"Herv. Ramiz Galvão 666. Herário J. de Saldanha 6167","R010069714","R010069714",NA,"2018","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
