"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","relatedCatalogItem","individualCount","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02674918","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","D. Piotto","D. Piotto","2288","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671227' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674918","NY02674918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","381115","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","P. J. M. Maas","S. A. Mori","9920","1978","04","15","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 30 km de Uruçuca. Regiao de Mata Higrófila Sul Baiana Folha SD-24 (15-39a).","-39.2842","-14.5933",NA,NA,"separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381115","NY00381115_01 NY00381115_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","76925","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","P. J. M. Maas","S. A. Mori","9920","1978","04","15","South America","Brazil","Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 30 km de Uruçuca. Regiao de Mata Higrófila Sul Baiana Folha SD-24 (15-39a).","-39.2842","-14.5933",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076925","NY00076925_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U 0004494","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","Maas PJM","Mori SA; Kallunki JA",NA,"1978","04","15","Southern America","Brazil","Bahia",NA,"Regiao Cacaueira da BahiaMunicípio de Uruçuc. Nova estrada que liga Uruçuca a Serra Grande, a 30 km de Uruçuc. Regiao de Mata Higrófila Sul Baiana. Folha SD-24 (15-39a).",NA,NA,NA,NA,NA,"Mata Higrófila<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004494","NL-U0004494","isotype","Magnoliopsidae","69442",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U 0004495","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","Maas PJM","Mori SA; Kallunki JA",NA,"1978","04","15","Southern America","Brazil","Bahia",NA,"Regiao Cacaueira da BahiaMunicípio de Uruçuc. Nova estrada que liga Uruçuca a Serra Grande, a 30 km de Uruçuc. Regiao de Mata Higrófila Sul Baiana. Folha SD-24 (15-39a).",NA,NA,NA,NA,NA,"Mata Higrófila<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004495",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-12-05 03:31:00-02","MO","MOBOT","1801385","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","P.J.M. Maas & Utrecht","Scott A. Mori","Mori 9920","1978","4","15","South America","Brazil","Bahia",NA,"Muicípio de Urucuca. Nova estrada que liga Urucuca a Serra Grande, a 30 km de Urucuca. Região de Mata Higrófila Sul Baiana. Folha SD-24 (15-39a).",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3257339","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","scottmorii","Duguetia scottmorii","Maas","Maas, P. J. M.","S. A. Mori & J. A. Kallunki","9920","1978","4","15","South America - Neotropics","Brazil","Bahia",NA,"Município de Uruçuca. Nova estrada que liga Uruçuca a Serra Grande, a 30 km de Uruçuca.",NA,NA,NA,NA,NA,NA,"US00811444","US00811444_01","Isotype","Dicotyledonae",NA,"1",NA,NA,NA,NA,NA,NA
"8","2020-07-23 11:56:59-03","CEPLAC","CEPEC","82082","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","scottmorii","Duguetia scottmorii",NA,"Sem Informação","J. G. Jardim","1900","1999","01","16",NA,"Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira, entraca ca. 7,5Km Faz. Teimoso, 1,5Km a E da entrada. RPPN Serra do Teimoso. Árvore 553.","-39.583333","-15.166667",NA,NA,NA,"Estéril <ll>dwc_commonname:</ll> Pindaiba",NA,NA,NA,NA,NA,NA,"39W35'","15S10'",NA,NA,NA,NA
"9","2020-07-23 11:56:59-03","CEPLAC","CEPEC","106639","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","scottmorii","Duguetia scottmorii",NA,"A. Q. Lobão","A. Q. Lobão","733","2005","07","17",NA,"Brasil","Bahia","URUÇUCA","Parque Estadual da Serra do Condurú, estrada Serra Grande/Uruçuca. Mata da torre do celular.","-39.115","-14.499722",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2005",NA,"39W6'54","14S29'59",NA,NA,NA,NA
"10","2020-07-23 11:56:59-03","CEPLAC","CEPEC","128533","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","scottmorii","Duguetia scottmorii",NA,"Piotto, D.","Piotto, D.","2808","2010","06","02",NA,"Brasil","Bahia","URUÇUCA","Parque Estadual da Serra do Conduru","-39.083333","-14.416667","120","120",NA,"Floresta madura, bosque: 7, parcela: 13, dist: -10, dap: 7 cm, altura: 9 m",NA,NA,NA,NA,NA,NA,"39W5'0","14S25'0",NA,NA,NA,NA
