"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02899336","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","micrantha","Siparuna micrantha","A.DC.","S. S. Renner","D. C. Daly","5487","1987","10","25","South America","Brazil","Amazonas","Rio Negro, Rio Xié, @ 1 hr. upstream from mouth by motorboat.","-67.17","0.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1327943' target='other'> <mi>dwc_moreinfo</mi></a>","NY02899336","NY02899336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1550078","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","micrantha","Siparuna micrantha","A.DC.",NA,"P. von Luetzelburg","22031","1928","08",NA,"South America","Brazil","Amazonas","Hiborêm, ostl. Manaos.","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807458' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550078","NY01550078_01","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","354713","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","micrantha","Siparuna micrantha","A.DC.",NA,"R. Spruce","3765","1853",NA,NA,"South America","Brazil",NA,"Prope San Carlos, ad Rio Negro.","-67.0579264","1.9218151","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354713","NY00354713_01",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1550192","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.",NA,"Y. E. J. Mexia","5257","1930","11","05","South America","Brazil","Minas Gerais","Road to São Miguel, near km. 4.5","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1809000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550192","NY01550192_01","Viçosa",NA,NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02899304","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.","S. S. Renner","D. C. Daly","4265","1986","11","05","South America","Brazil","Amazonas","Uará, Igarapé Uará, south tributary of Rio Solimões.","-65.5","-2.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1327928' target='other'> <mi>dwc_moreinfo</mi></a>","NY02899304","NY02899304_01","Fonte Boa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1550197","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.",NA,"J. G. Kuhlmann","2138","1935","01","21","South America","Brazil","Minas Gerais","ESA - Vicosa","-42.860644","-20.766686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1809178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550197","NY01550197_01","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02210389","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.",NA,"H. C. de Lima","3367","1987","12","01","South America","Brazil","Amazonas","Alto Rio Negro, estrada para Cucuí (BR-307), entre Km 30-35","-67.0892","-0.1306","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2338675' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210389","NY02210389_01","São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02499268","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.","A. L. Peixoto","W. W. Thomas","10131","1993","10","22","South America","Brazil","Bahia","Reserva Florestal da Brasil de Holanda Industrias S.A.; the entrance at Km 18 east of Itamaraju on road to Prado, 16 km from entrance","-39.33","-17.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289254' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499268","NY02499268_01","Prado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01195964","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.","S. S. Renner","A. M. Amorim","394","1991","11","20","South America","Brazil","Bahia","Estrada Itacaré-Taboquinha, ao lado do loteamento da Marambaia","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195964","NY01195964_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2210382","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.",NA,"D. W. Stevenson","1102","1987","11","28","South America","Brazil","Amazonas","Rio Negro, road from São Gabriel da Cachoeira to Cucuí at km 153 from convent in São Gabriel da Cachoeira. West side of road below Sierra do Padre.","-66.633333","-1.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2338665' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210382",NA,NA,NA,NA,NA,"130","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
