"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","continentOcean","preparationType","previousCatalogNumber","typeStatus","minimumElevationInMeters","maximumElevationInMeters","phylum","order","imagecode","identifiedBy","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","sex"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000047","S","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia","(L.) Kunth","Gois, M.A.F.","09","2014","03","20","Brasil","Pará","Belém","Museu Paraense Emílio Goeldi(Campus de pesquisa).","-48.490178","-1.455731","-48.490178","-1.455731","MFS004981","Árvore de aproximadamente 5m de altura. Frutos maduros de coloração amarela. Flores de coloração amarela.","MFSFL000047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","184941","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Bridgewater, S.; Sanaiotti, T. & Rosário, C.",NA,"1993","07","31","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00184941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00184941","E. Tropical South America","herbarium specimen of unspecif","BGBASE:191834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:17-03","E","E","184940","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Bridgewater, S.; Sanaiotti, T. & Rosário, C.",NA,"1993","08","31","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00184940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00184940","E. Tropical South America","herbarium specimen of unspecif","BGBASE:191830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:17-03","E","E","326551","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Smith, Herbert H.","316",NA,NA,NA,"CO","Santa Marta",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00326551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326551","W. Tropical South America","herbarium specimen of unspecif","BGBASE:385832","isotype","122","122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:17-03","E","E","104517","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1998","11","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00104517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104517","E. Tropical South America","herbarium specimen of unspecif","BGBASE:113703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:17-03","E","E","9206","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1996","09","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00009206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009206","E. Tropical South America","herbarium specimen of unspecif","BGBASE:46562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:17-03","E","E","184937","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Bridgewater, S.; Sanaiotti, T. & Rosário, C.",NA,"1993","08","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00184937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00184937","E. Tropical South America","herbarium specimen of unspecif","BGBASE:191822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:17-03","E","E","104520","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1998","11","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00104520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104520","E. Tropical South America","herbarium specimen of unspecif","BGBASE:113700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 10:06:00-03","NY","NYBG","1747718","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"N. T. da Silva","2508","1969","07","28","Brazil","Pará","Jari","Agua Branca",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2010240' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747718","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY01747718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 22:03:00-03","NY","NYBG","886177","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"J. S. Blanchet","3139",NA,NA,NA,"Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886177","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY00886177_01 NY00886177_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 10:06:00-03","NY","NYBG","1747717","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"N. T. da Silva","2514","1969","07","28","Brazil","Pará","Jari","Agua Branca",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2010231' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747717","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY01747717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 10:04:00-03","NY","NYBG","1747637","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"P. B. Cavalcante","2380","1970","02","14","Brazil","Pará",NA,"Parque Indigena do Tumucumaque, Rio Parú de Oeste, Missao Tiriyo","-55.75","2.33",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007547' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747637","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY01747637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 21:23:00-03","NY","NYBG","00893504","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"G. O. A. Malme","1282","1893","12","27","Brazil","Mato Grosso","Cuiabá","Cuyabá","-56.043867","-15.612755",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893504","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY00893504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1747615","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia","(L.) Kunth","S. A. Mori","15741","1983","07","31","Brazil","Amapá","Macapá","Parque Florestal da Fazendinha, 12 km S of Macapá","-51.09569","-0.04072",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007321' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747615","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY01747615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","164765","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia","(L.) Kunth","J. A. Silva","398","1986","07","05","Brazil","Roraima",NA,"Serra de Tepequém.","-61.75","3.75",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00164765","South America","sheet",NA,NA,"1600","1600","Magnoliophyta","Malpighiales","NY00164765_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 21:23:00-03","NY","NYBG","00893413","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"G. C. G. Argent","6431","1967","09","19","Brazil","Mato Grosso",NA,"c. 6 km S. of Xavantina R. & A. transect.","-52.23","-14.63",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893413","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY00893413_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 19:18:00-03","NY","NYBG","880182","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"G. K. Croft","123","2011","04","20","Brazil","Para",NA,"Mun. Moju. PA-475/252, 13 km S of Moju. Com. Ateuazinho. Backyard of Sr. Alcides.","-48.8044","-1.99",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880182","South America","sheet",NA,NA,"7",NA,"Magnoliophyta","Malpighiales","NY00880182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00893495","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia","(L.) Kunth","R. M. Harley","10724","1968","10","19","Brazil","Mato Grosso",NA,"R3 north c. 2 km E. of base camp.","-51.77","-12.82",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893495","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY00893495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1747713","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia","(L.) Kunth","S. A. Mori","17267","1984","12","08","Brazil","Amapá","Calçoene","BR 156, 12 km W of Calçoene","-51","2.47",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2010055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747713","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY01747713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-29 21:22:00-03","NY","NYBG","00893394","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"J. Jangoux","1750","1981","12","01","Brazil","Maranhão","Estreito","Road between Estreito de Goiás and Carolina, 9 km south of Estreito.","-47.33","-6.67",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893394","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY00893394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-30 10:05:00-03","NY","NYBG","1747701","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"G. Davidse","17787A","1980","04","03","Brazil","Pará","Marapanim","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747701","South America","sheet",NA,NA,"2","20","Magnoliophyta","Malpighiales","NY01747701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-30 10:04:00-03","NY","NYBG","1747644","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","crassifolia","Byrsonima crassifolia",NA,"J. M. Pires","52066","1962","07","10","Brazil","Amapá",NA,"Coastal Region. Road to Ampa, km. 48.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747644","South America","sheet",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","NY01747644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
