"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","396162","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","W. W. Thomas","9446","1992","11","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-IeÔo (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396162","NY00396162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396175","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","S. A. Mori","9317","1978","02","26","South America","Brazil","Bahia","Una","Rodovia BA-265, a 25 km de Una. Região de Mata Higrófila Sul Baiana.","-39.3007618","-15.2488727","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396175","NY00396175_01","50","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","396165","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","W. W. Thomas","8755","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest. Parcel 47","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396165","NY00396165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396157","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","A. M. Amorim","A. M. Amorim","1073","1993","03","08","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana. Estrada paralela ao rumo da reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396157","NY00396157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","396179","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","L. Riedel","418","1821","11",NA,"South America","Brazil","Bahia","Ilhéus","In sylvis pr. Ilhéus Castelnovo","-39.2","-14.6333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396179","NY00396179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","634395","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","P. Fiaschi","A. M. V. de Carvalho","7063","2002","03","16","South America","Brazil","Alagoas","Murici","Bananeiras","-35.8883","-9.2297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634395","NY00634395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396161","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","A. M. V. de Carvalho","4741","1994","09","18","South America","Brazil","Bahia","Ilhéus","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao. Mata Higrófila Sul Baiana. Parcela No. 5","-39.0692","-14.7819444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396161","NY00396161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396160","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","B. M. Torke","A. M. Amorim","2544","1998","09","13","South America","Brazil","Bahia","Porto Seguro","Parque Nacional de Monte Pacoal. Area limite entre o PARNA e a Reserva Indígena Barra Velha, da tribo Pataxó. Mata Higrófila Sul Baiana","-39.2033815","-16.8700182","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396160","NY00396160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","396163","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","W. W. Thomas","10516","1994","09","17","South America","Brazil","Bahia","Ilhéus","Mata da Esperança, forest N of dam and reservoir.","-39.0692","-14.7819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396163","NY00396163_01","0.0","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","396167","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Paypayrola","blanchetiana","Paypayrola blanchetiana","Tul.","W. H. A. Hekking","J. A. Kallunki","366","1993","01","29","South America","Brazil","Alagoas","Murici","Poço d'Anta, somewhere on dirt road to the right off of BR-104 at 17 km from BR-101, past Fazenda Bandaneiras","-35.93","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
