"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","typeStatus","recordNumber","continentOcean","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","individualCount","preparationType","verbatimLongitude","verbatimLatitude","dayIdentified","class","order"
"1","2020-11-04 11:12:19-03","ESALQ","ESA","93050","PreservedSpecimen","Plantae","Magnoliophyta","Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T. Cavalcanti","Cavalcanti, T.B.","Giulietti, A.M. et al.","1985","03","31","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","ESA093050","ESA093050","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-30 19:01:08-03","UFJF","CESJ","25390","PreservedSpecimen","Plantae","Angiosperma","Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","T.Cavalcanti","E.M.Isejima; R. Mello-Silva; J.R. Pirani; M. Meguro","1984","10","13","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","CESJ025390","CESJ025390","auto","1989","11","Paratypus","s.n.","América do Sul","Pedra Menina, Faz. Vargem do Anjo - Morro Espigão do Meio.","Subarbusto de flores lilases. &nf;PARATYPUS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:33:08-03","UNICAMP","UEC","60198","S","Plantae","Magnoliopsida","Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Menezes, NL; Giulietti, AM; Meguro, M; Sajo, MG; Wanderley, MDGL","1985","03","31","Brazil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","UEC093722","UEC093722","auto","1989","11",NA,"CRCF7680",NA,"Pedra Menina, Morro do Ambrósio","Subarbusto 0,7 - 1,0m alt. Muito pegajoso. Flores lilases",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:32:10-03","MBM","MBM","141023","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B. Cavalc.","Cavalcanti, T.B.","Cavalcanti, T.B.; Cordeiro, I.; Mello-Silva, R.; Menezes, N.L.; Gonçalves, J.C.C; Cordeiro, I.; Mello-Silva, R.; Menezes, N.L.; Gonçalves, J.C.C.","1986","09","08","Brazil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","MBM141023","MBM141023","auto","1989","11","ISOTYPE","CFCR10186","Southern America","Pedra Menina, Serra do Ambrósio. Espigão do meio. Faz. Vargem do Anjo","Subarbusto até 1m no carrascal. Planta toda viscosa. Hipanto esverdeado no ventre. Pétalas lilases. Guias de nectar amarelos. Filetes vinho e anteras acinzentadas.; Subarbusto até 1m. Planta toda viscosa. Hipanto esverdeado no ventre","830","830",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:37:16-03","UFMG","BHCB","21230","PreservedSpecimen","Plantae","Dicotyledon","Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.",NA,"Cavalcanti, TB; Cordeiro, I; Mello-Silva, R de; Menezes, NL de; Gonçalves, JCC","1986","09","08","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","BHCB000196","BHCB000196","auto","1989","11","Isotypus","10186","Southern America","Serra do Ambrósio, Pedra Menina. Espigão do Meio. Fazenda do anjo","Suarbusto até 1m. Planta toda viscosa. Hipanto esverdeado no ventre. Pétalas lilases, guias de néctar amarelos. Filetes vinho e anteras acinzentadas.; No carrascal.","830","830",NA,NA,NA,NA,NA,NA,NA
"6","2020-03-24 10:18:00-03","MO","MOBOT","3168913","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B. Cavalc.","T.B. Cavalcanti & S. Graham, 25-4-97","Taciana B. Cavalcanti","1997","4","24","Brazil","Minas Gerais",NA,"-42.0333333","-18.1419444",NA,NA,NA,NA,NA,NA,NA,"Cavalcanti 2289","South America","Municipio Rio Vermelho. Serra do Ambrósio. Fazenda Vargem do Anjo. Na subida do ,orro, após a mata. Areia quartzosa, muiro branca. Cerrado denso perturbado.",NA,"842.00000000",NA,"1",NA,NA,NA,NA,NA,NA
"7","2020-09-02 16:30:42-03","Cenargen","CEN","14142","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","T. B. Cavalcanti","Renato de Mello-Silva","1991","06","10","Brasil","MG","RIO VERMELHO","-43.0092010498047","-18.2936000823975","26996","CEN00014142","CEN00014142","auto","1991","08",NA,"423",NA,"Fazenda Vargem do Anjo. Morro Espigão do Meio.","Subarbusto no carrascal. Corola rosa com estrias cor-de vinho. Folhas e flores com tricomas glandulosos.&nf;Doação da Universidade de São Paulo - Herbário SPF.",NA,NA,"1","Exsicatas",NA,NA,NA,NA,NA
"8","2020-09-02 16:30:42-03","Cenargen","CEN","19067","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","T. B. Cavalcanti","S. Splett","1995","03","11","Brasil","MG","ITAMARANDIBA","-42.8588981628418","-17.8572006225586","39586","CEN00019067","CEN00019067","auto","1995","05",NA,"857",NA,"Saída de Penha de França, Serra do Espinhaço.","Arbusto pequeno. Folhas com pêlos glandulares com substâncias viscosas.&nf;Doação do Sistema Herbário UB (4600-1). Minas Gerais.","1040","1040","1","Exsicatas","-4300000.0","-1800000.0",NA,NA,NA
"9","2020-09-02 16:30:42-03","Cenargen","CEN","27042","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","T. B. Cavalcanti & S. Graham","Taciana Barbosa Cavalcanti","1997","04","25","Brasil","MG","RIO VERMELHO","-43.0092010498047","-18.2936000823975","26996","CEN00027042","CEN00027042","auto","1997","04",NA,"2289",NA,"Serra do Ambrósio. Fazenda Vargem do Anjo. Na subida do morro, após a mata.","Subarbusto muito viscoso, crescendo em areial branco e abundante. Tubo floral avermelhado. Guias de néctar amarelas.","842","842","7","Exsicatas","-4305250.0","-1814194.0",NA,NA,NA
"10","2019-11-13 11:23:52-03","USP","SPF","49374","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Zappi, DC","1988","03","08","Brasil","Minas Gerais","Rio Vermelho","-42.1","-18.566667",NA,"SPF00049374",NA,NA,"1989","11","paratype","CFCR11831",NA,"Pedra Menina",NA,NA,NA,NA,NA,"-42.1","-18.566667",NA,NA,NA
"11","2019-11-13 11:23:51-03","USP","SPF","183595","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Mello-Silva, R","2007","11","14","Brasil","Minas Gerais","Alvorada de Minas","-43.466389","-18.807222",NA,"SPF00183595",NA,NA,"2015","09",NA,"2940",NA,"Itapanhoacanga",NA,"1084","1084",NA,NA,"-43.466389","-18.807222",NA,NA,NA
"12","2021-03-15 18:28:05-03","USP","SPF","209240","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Antar, GM; et al.","2013","06","21","Brasil","Minas Gerais","Rio Vermelho","-43.03725","-18.144139",NA,"SPF00209240",NA,NA,"2015","09",NA,"192",NA,"Serra do Ambrósio, Vargem do anjo, virando para Mato Virgem.","Arbusto ca. 40 cm alt. Hipanto esverdeado. Perianto arroxeado.; Campo rupestre. Solo arenoso seco.","1008","1008",NA,NA,"-43.03725","-18.144139","13",NA,NA
"13","2019-11-13 11:23:51-03","USP","SPF","37487","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Menezes, NL","1985","03","31","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","SPF00037487",NA,"auto","1989","11","paratype","CFCR7680",NA,"Morro do Ambrósio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-13 11:23:51-03","USP","SPF","35191","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Isejima, EM","1984","10","13","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","SPF00035191",NA,"auto","1989","11","paratype","CFCR5391",NA,"Pedra Menina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-13 11:23:52-03","USP","SPF","71427","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Mello-Silva, R","1991","06","10","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","SPF00071427",NA,"auto","1991","08",NA,"423",NA,"Pedra Menina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-15 18:53:37-03","USP","SPF","44651","PreservedSpecimen","Plantae",NA,"Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","Cavalcanti, TB","Cavalcanti, TB; Cordeiro, I; Mello-Silva, R; Menezes, NL; Gonçalves, J","1986","09","08","Brasil","Minas Gerais","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996","SPF00044651","SPF00044651","auto","1989","11","holotype","CFCR10186",NA,"Serra do Ambrósio, Pedra Menina, Espigão do Meio. Faz. Vargem do Anjo. No cascarral.","Subarbusto até 1 m. Planta toda viscosa. Hipanto esverdeado no ventre. Pétalas lilases. Guias de néctar amarelos. Filete vinho e anteras acinzentadas.","830","830",NA,NA,NA,NA,NA,NA,NA
"17","2019-10-07 09:33:51-03","UEFS","HUEFS","149358","PreservedSpecimen","Plantae","Angiospermae","Lythraceae","Cuphea","adenophylla","Cuphea adenophylla","T.B.Cavalc.","T.B.Cavalcanti","Cardoso, D.","2009","03","30","Brasil","Minas Gerais","Itamarandiba","-42.936389","-18.001667",NA,"HUEFS0149358","HUEFS0149358",NA,"2013","07",NA,"2448",NA,"Serra do Ambrósio. Saindo de Itamarandiba, segue na estrada asfaltada em direção a Colina; após 3,5 Km, dobrar à direita em estrada de terra para o aeroporto; após 1,3 Km a estrada se divide em quatro, segue pela segunda estrada à direita sentido Tromba","Campo rupestre.","1002","1002",NA,NA,"42W56'11''","18S0'6''",NA,"Rosanae","Myrtales"
