"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","preparationType","individualCount","typeStatus","fieldNumber","sex"
"1","2020-12-21 16:38:23-03","MBM","MBM","277163","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C. Menezes","Batista, J.A.N.; et al.; et al.","1256","2001","10","10","Southern America","Brazil","Distrito Federal","Brasília","Plano Piloto. Asa Norte 713-714 N, área da UnB (arboreto)","-47.9296989440918","-15.7797002792358","70570","Erva terrestre em cerrado ralo. Solo argiloso.","MBM277163","MBM277163","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-01 14:25:53-03","JBB","HEPH","20885","S","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","Salles, AEH; et al.","3162","2004","09","30","Southern America","Brasil","Distrito Federal","Brasília","Asa Norte","-47.9296989440918","-15.7797002792358","70570",NA,NA,NA,"auto","Monocotyledon","Asparagales","Salles, AEH","2004","09","30",NA,NA,NA,NA,NA
"3","2020-09-02 16:34:43-03","Cenargen","CEN","37189","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","João Aguiar Nogueira Batista","1199","2001","03","03",NA,"Brasil","DF","BRASILIA","Área entre a QI-17 do Lago Sul e a quadra 25 do Setor de Mansões Park Way. Um pouco acima do Córrego do Gama. Possivelmente dentro da Reserva Ecológica do IBGE.","-47.9296989440918","-15.7797002792358","70570","Área anteriormente queimada. Observado várias plantas num ponto do campo. Pseudobulbos completamente enterrados, em alguns exemplares com os ápices expostos. Em pleno desenvolvimento vegetativo, sem flores. Alguns exemplares com frutos em desenvolvimento. Obs.: Material sem flores, coletado p/ documentar a ocorrência da espécie para o local. Coletadas 8 plantas para cultivo no Cenargen.","CEN00037189","CEN00037189 CEN00037189_1 CEN00037189_2","auto",NA,NA,"J. A. N. Batista & L. B. Bianchetti","2002","04",NA,"Unicata","1",NA,NA,NA
"4","2020-09-02 16:34:43-03","Cenargen","CEN","14947","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","João Aguiar Nogueira Batista",NA,"1991","10","13",NA,"Brasil","DF","BRASILIA","Penísula Norte próximo ao Lago Paranoá, entre a PL 7 E PL 9","-47.9296989440918","-15.7797002792358","70570","Pétalas e sépalas esverdeadas densamente pintalgadas de marrom labelo com mancha central marrom-alarranjado. Pseudo-bulbos aparentes.","CEN00014947","CEN00014947","auto",NA,NA,"J. A. N. Batista & L. B. Bianchetti","2000","12",NA,"Exsicatas","1",NA,NA,NA
"5","2020-09-02 16:34:43-03","Cenargen","CEN","41743","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","João Aguiar Nogueira Batista","1256","2001","10","10",NA,"Brasil","DF","BRASILIA","RA-I, Asa Norte, 713-714 N, área da UnB (arboreto) entre o Parque Olhos D'água e a estação de tratamento de esgoto da CAESB. Área anteriormente queimada c/ vegetação ainda em brotação e crescimento.","-47.9296989440918","-15.7797002792358","70570","HOLOEPITYPUS. Observado ca. de 6 exemplares em floração e alguns outros exemplares em brotação sem flor, concentrados em dois locais do campo. Pseudobulbos completamente enterrados ou com os ápices expostos. Folhas ainda em crescimento mas já bem aparentes. Em plena floração. Inflorescência verde-amarronzada. Flores com odor discreto, não muito doce mas também não desagradável. Demais informações na exsicata.","CEN00041743","CEN00041743","auto",NA,NA,"J. A. N. Batista & L. B. Bianchetti","2003","11",NA,"Exsicatas","4","HOLOEPITYPUS",NA,NA
"6","2020-09-02 16:34:43-03","Cenargen","CEN","58134","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","João Aguiar Nogueira Batista","1521","2004","08","26",NA,"Brasil","MG","ITUIUTABA","Serra do Baú. na estrada entre Ituiutaba Capinópolis a partir da entrada de terra a esquerda da pista(entrada para a faz. Palmeira). Após a entrada, cerca de 12 km a Oeste da oista de asfalto.","-49.4650001525879","-18.968900680542","50022","Planta coletada no local em 02/10/2002 e mantida em cultivo no CENARGEN em Brasília, coletada juntocom C. macedoi, das 6 plantas coletadas 5 eram C. macedoi, e 1 C. caiapoense, planta submetida a fogo controlado em 17/07/04 para forçar a floração, brotação começou por volta do dia 26/07 e em 9/08/04&nf;a planta estava em plena floração, 1ª registro da espécie para Minas Gerais 1ª floraçao em cultivo, demais informações na exsicata., Flora do Brasil - Estado de Minas Gerais.","CEN00058134","CEN00058134","auto",NA,NA,"J. A. N. Batista & L. B. Bianchetti","2004","08",NA,"Exsicatas","1",NA,NA,NA
"7","2020-09-02 16:34:43-03","Cenargen","CEN","45581","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","cf. caiapoense","Cyrtopodium cf. caiapoense","L.C.Menezes","João Aguiar Nogueira Batista","1306","2002","10","02",NA,"Brasil","MG","ITUIUTABA","Serra do Baú. na entrada entre Ituiutaba e Capinópolis, acesso a partir da entrada de terra a esquerda da pista (entrada da faxz. Palmeira) cerca de 22 km do trevo próximo a Ituiutaba, em direção a Capinópolis,, demais informações na exiscata","-49.4650001525879","-18.968900680542","50022","Coletadas seis plantas para cultivo no Cenargen em Brasília, ida ao local com o objetivo de coletar a espécie do material Amaro Macedo 3385, coletado em 1951 na serra da Aroeira, localizada 12 km ao sul antes do morro do Bauzinho; demais informações na exsicata Flora do Brasil - Estado de Minas Gerais","CEN00045581","CEN00045581","auto",NA,NA,"J. A. N. Batista & L. B. Bianchetti","2002","10",NA,"Exsicatas","1",NA,NA,NA
"8","2019-11-21 10:13:05-03","IBt","SP","369177","S","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","Batista, JAN; Bianchetti, LB","1199","2001","03","03",NA,"Brasil","Distrito Federal","Brasília","Área entre QI-17 do Lago Sul e a quadra 25 do Setor da mansões Park Way. Um pouco acima do Córrego do Gama. Possívelmente dentro da reserva ecológica do IBGE. Em campo sujo. Solo avermelhado, argiloso, profundo. Área anteriormente queimada","-47.9296989440918","-15.7797002792358","70570",NA,NA,NA,"auto",NA,NA,"Bianchetti, LB; Batista, JAN","2002","04",NA,NA,NA,NA,NA,NA
"9","2019-11-21 10:13:05-03","IBt","SP","369203","S","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","Batista, JAN; Bianchetti, LB; Pellizzaro, KF","1256","2001","10","10",NA,"Brasil","Distrito Federal","Brasília","RA-I, Plano Piloto. Asa Norte, 713-714 N, área da UnB (arboreto entre o Parque Olhos D'água e a estação de tratamento de esgoto da CAESB","-47.9296989440918","-15.7797002792358","70570","Erva terrestre. Ocasional, observado ca. 6 exemplares em floração e alguns outros em brotação sem flores, concentrados em dois locais do campo. Pseudobulbos completamente enterrados ou com os ápices expostos. Folhas ainda em crescimento","SP002024","SP002024","auto",NA,NA,"Bianchetti, LB; Batista, JAN","2003","11",NA,NA,NA,"Isoepitype",NA,NA
"10","2019-11-21 10:13:05-03","IBt","SP","115611","S","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L.C.Menezes","Hartmann, T","s.n.","1963","09",NA,NA,"Brasil","Mato Grosso","General Carneiro","Meruri","-52.755298614502","-15.7108001708984","121893","Material muito deficiente; não há folhas desenvolvidas; as flores presentes são muito novas. Uma flor adulta examinada estava toda roida por insetos. Handro, O.",NA,NA,"auto",NA,NA,"Batista, JAN","2001","01",NA,NA,NA,NA,NA,NA
"11","2010-08-16 16:41:18-03","AMES","HU-HERB","AMES 00217469","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","caiapoense","Cyrtopodium caiapoense","L. C. Menezes","J. A. N. Batista, L. B. Bianchetti & K. F. Pellizzaro","1256","2001","10","10","South America","Brazil","Distrito Federal",NA,"RA-I, Brasilia - Plano Piloto, Asa Norte, 713-714, área da UnB (arboreto) entre o Parque Olhos D'agua e a estacao de tratamento de esgoto da CAESB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sheet",NA,"Isoepitype","1256","undetermined"
