"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","807188","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","B. M. Boom","1264","1981","06","17","South America","Brazil","Bahia","Morro do Chapéu","BR 052, vicinity of bridge over Rio Ferro Doido, ca. 18km E of Morro do Chapéu.","-41.1558","-11.5503","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807188","NY00807188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","807193","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","A. C. Brade","5137","1912","03","24","South America","Brazil","São Paulo",NA,"Jaraguá.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807193","NY00807193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","807190","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","J. N. Rose","20534","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaya.","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807190","NY00807190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018522","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","R. Y. Hirai","R. Y. Hirai","530","2008","05","30","South America","Brazil","Minas Gerais","Catas Altas","RPPN do Caraça, Trilha para a Capelinha.","-43.4847","-20.0964","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1260167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018522","NY01018522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","925045","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","H. S. Irwin","29551","1971","02","01","South America","Brazil","Minas Gerais","Ouro Preto","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 3 km S. of Ouro Preto","-43.5058333","-20.3874","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925045","NY00925045_01 NY00925045_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","807189","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","J. N. Rose","20534","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaya.","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807189","NY00807189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","807191","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","H. S. Irwin","30741","1971","02","21","South America","Brazil","Bahia",NA,"Serra do Tombador. Rio Ferro Doido, ca. 18km E of Morro do Chapéu.",NA,NA,"1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807191","NY00807191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","925047","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","D. M. Vital","19697","1991","07","05","South America","Brazil","Minas Gerais",NA,"Parque Nacional do Itatiaia, vicinity of Brejo da Lapa, at Km 8 along antry road near border of Rio de Janeiro.","-44.75","-22.37","2120","2120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925047","NY00925047_01 NY00925047_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","807194","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée","I. A. Valdespino","F. Tamandaré","6508","1913","06","04","South America","Brazil","Rio de Janeiro",NA,"Serra do Itatiaya.","-44.611575","-22.371474","2250","2250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807194","NY00807194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02696789","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","tenuissima","Selaginella tenuissima","Fée",NA,"F. B. Matos","2206","2013","02","12","South America","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira, Parque Nacional do Itatiaia, trilha para o Pico das Agulhas Negras.","-44.675","-22.3839","2400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974257' target='other'> <mi>dwc_moreinfo</mi></a>","NY02696789","NY02696789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
