"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","stateProvince","year","month","day","relatedCatalogItem","recordNumber","county","decimalLongitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","decimalLatitude","preparationType","phylum","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857958","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Glaziou AFM","Southern America","Brazil","Rio Piracicaba.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857958 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857958","NL-L1857958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0204580","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Müller","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200204580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0204580","NL-L0204580","Philbrick CT","2003","07","14","isotype","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0204581","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Puiggari JI","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200204581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0204581","NL-L0204581","Philbrick CT","2003","07","14","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544585","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Osten C","Southern America","Uruguay","Uruguay, Dept. Salto. Salto Grande, Uruguay River.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544585 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544585","NL-L0544585","Philbrick CT","2000","07","01","isolectotype","Salto","1892","12","15","96238688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544586","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Osten C","Southern America","Uruguay","Uruguay, Dept. Salto. Salto Grande, Uruguay River.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544586","NL-L0544586","Philbrick CT","2000","07","01","isolectotype","Salto","1892","12","15","96238770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544587","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Osten C","Southern America","Uruguay","Uruguay, Dept. Salto. Salto Grande, Uruguay River.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544587","NL-L0544587","Philbrick CT","2000","07","01","isolectotype","Salto","1892","12","15","96239086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0544588","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Ule EHG","Southern America","Brazil","Brazil. Prov. Santha Catharina. Rio Tubarao, on Pedras Grandes","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200544588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0544588","NL-L0544588","Philbrick CT","2000","08","01","holotype","Santa Catarina","1891","07","01","96239087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857957","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Ule EHG","Southern America","Brazil","Itajahy-river near Blumenau, Sta. Catharina.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857957","NL-L1857957",NA,NA,NA,NA,NA,NA,"1888","08","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857959","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Bornmüller A","Southern America","Brazil","Rio Grande do Sul, Neu-Würtemburg, arroio Alegre.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857959","NL-L1857959",NA,NA,NA,NA,NA,NA,"1906","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857960","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Podostemaceae","Podostemum","muelleri","Podostemum muelleri","Warm.","Felippone F","Southern America","Uruguay","Catarata Salto Grande, Rio uruguay, dept. Salto.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857960","NL-L1857960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
