"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","stateProvince","decimalLongitude","decimalLatitude","maximumElevationInMeters","county","minimumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2016-09-30 02:46:00-03","NY","NYBG","1653249","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","F. A. Michelangeli","C. V. Martin","482","2004","11","18","South America","French Guiana","Camp Arataye","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434096' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653249","NY01653249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1743022","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","J. J. Wurdack","J. J. Pipoly","8240","1986","08","09","South America","Guyana","Barima River head; small rapids 1.5 mi W Eclipse Falls; W of Arakaka","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1992003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01743022","NY01743022_01","Pav. ex D.Don","Barima-Waini","-60.08333333","7.633333333","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","477915","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","J. J. Wurdack","M. H. Nee","40882","1991","06","11","South America","Bolivia","Parque Nacional Amboro, Rio Saguayo near mouth of Quebrada Yapojé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477915","NY00477915_01","Pav. ex D.Don","Santa Cruz","-63.73","-17.57","350","Ichilo","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1187715","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","F. A. Michelangeli","A. R. S. de Oliveira","239","1994","06","16","South America","Brazil","Reserva Florestal do Humaitá-UFAC.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187715","NY01187715_01","Pav. ex D.Don","Acre","-67.63","-9.75",NA,"Porto Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02137305","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","F. A. Michelangeli","H. Murphy","165","1981","08",NA,"South America","Peru","Near Iquitos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2283216' target='other'> <mi>dwc_moreinfo</mi></a>","NY02137305","NY02137305_01","Pav. ex D.Don","Loreto","-73.24722","-3.74805",NA,"Maynas","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3677692","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata",NA,"F. C. Ayala Flores","2630","1979","12","18","South America","Peru","Dtto. Tigre, Río Tigre, caserio 28 de Julio a 3 hrs. de Viejo Tipishca y a 1 hora de Intituto cuesta arriba.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3913847' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677692","NY03677692_01","Pav. ex D.Don","Loreto",NA,NA,"100","Loreto","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 08:15:00-03","NY","NYBG","1653253","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","C. V. Martin","C. V. Martin","418","2004","11","09","South America","French Guiana","Region of Sinnamary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434484' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653253","NY01653253_01",NA,NA,"-53.050586","5.28636",NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01855952","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","J. J. Wurdack","J. M. Schunke-Vigo","8464","1975","05","11","South America","Peru","Quebrada de Cachiyacu, afluente de la quebrada de Huaquisha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2164314' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855952","NY01855952_01","Pav. ex D.Don","San Martín",NA,NA,"600","Mariscal Caceres","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1743027","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","J. J. Wurdack","S. F. Smith","370","1984","10","14","South America","Peru","River bank above Rio La Torre, Explorer's Inn, near confluence of Rio Tambopata & Rio La Torre, 39 km. SW. of Puerto Moldanando.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1992169' target='other'> <mi>dwc_moreinfo</mi></a>","NY01743027","NY01743027_01","Pav. ex D.Don","Madre de Dios","-69.33","-12.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3697943","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","dentata","Clidemia dentata","F. A. Michelangeli","R. Vásquez Martínez","22699","1997","03","13","South America","Peru","Distrito Iquitos, Cuyana, Río Nanay. Bosque secundario.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4056943' target='other'> <mi>dwc_moreinfo</mi></a>","NY03697943","NY03697943_01","Pav. ex D.Don","Loreto","-73.2419","-3.7469","122","Maynas","122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
