"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00896154","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","J. G. Jardim","158","1993","07","13","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una","-39.0833","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896154","NY00896154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616959","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","A. M. V. de Carvalho","4667","1994","09","19","South America","Brazil","Bahia","Ilhéus","Cidade de Ilhéus. Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao","-39.0692","-14.7819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616959","NY00616959_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00895639","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","A. M. V. de Carvalho","3675","1991","09","07","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895639","NY00895639_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01095585","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","S. C. de Sant'Ana","557","1994","09","06","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. ba-001 Ilhéus/Una.","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095585","NY01095585_01","M. da C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687695","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","J. G. Jardim","3994","2002","04","11","South America","Brazil","Bahia","Uruçuca","Rodovia Serra Grande/Uruçuca, 7 km W de Serra Grande.","-39.08","-14.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687695","NY00687695_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02890604","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","S. C. de Sant'Ana","838","2000","05","18","South America","Brazil","Bahia","Uruçuca","Parque Estadula Serra do Condurú. Ca. 11,5Km de Serra Grande em direção a Uruçuca, com 500m do ramal a esquerda.","-39.2844","-14.5931","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475413' target='other'> <mi>dwc_moreinfo</mi></a>","NY02890604","NY02890604_01","M. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616908","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","W. W. Thomas","8073","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on road to Itacare. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616908","NY00616908_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00896157","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","J. L. Hage","2376","1993","03","11","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no Km. 46 da Rodavia BA-001 Ilhéus/Una","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896157","NY00896157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","517236","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","A. M. Amorim","386","1991","11","20","South America","Brazil","Bahia","Itacaré","Estrada de Itacaré-Taboquinha, ao lado do loteamento da Marambaia","-39.2666","-14.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517236","NY00517236_01","M. Sobral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01095587","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","callosa","Plinia callosa","Sobral","S. C. de Sant'Ana","541","1994","07","05","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. ba-001 Ilhéus/Una.","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095587","NY01095587_01","M. da C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
