"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","798853","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","A. M. Amorim","2789","1999","04","12","South America","Brazil","Bahia","Rio de Contas","Pico do Itobira. Coletas efetuadas na trilha para o Pico","-41.8114","-13.5792","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798853","NY00798853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798854","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","G. G. Hatschbach","46422","1983","05","15","South America","Brazil","Bahia","Rio de Contas","Rio de Contas, arredores","-41.812","-13.58415","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798854","NY00798854_01","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01873437","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","F. A. Santana","154","2012","05","11","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Trilha do Topo do cachoeirão para a casa de barro.","-43.5525","-14.695","923",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2933776' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873437","NY01873437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:43:22-03","UNEB","HUNEB","10831","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia",NA,"Roque, N.","ALCB 78406","2007","05","19",NA,"Brasil","Bahia","Mucugê","Chapada Diamantina., parque municipal de Municipal de Mucugê, trilha para a Cachoeira das Andorinhas.","-41.343889","-13.016667",NA,NA,NA,NA,"HUNEB0010831",NA,NA,"Dicotyledoneae","41W20'38''","13S1'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:43:22-03","UNEB","HUNEB","7757","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Bautista, H.P.","3320","2001","07","05",NA,"Brasil","Bahia","Érico Cardoso","Capão. Estrada Porteira em direção à Vereda.","-42.1425","-13.281111","1099","1099",NA,NA,"HUNEB0007757",NA,NA,"Dicotyledoneae","42W8'33''","13S16'52''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:46-03","UFBA","ALCB","60448","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Estagiários; Alunos de Botânica III","s/n","2003","02","15","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina","-38.316667","-12.683333",NA,NA,NA,"de ca. 1-2 m . Caules jovens tomentosos. Folhas squamosa, frequêntemente arqueada, linear a lanceolada, margem revoluta, glabra na face adaxial e tomentosa na abaxial. Inflorescência terminal. Capítulo congesto, azul-púrpuro.",NA,NA,"Guedes, ML",NA,"-38.316667","-12.683333","2003","04",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:46-03","UFBA","ALCB","60448","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Estagiários; Alunos de Botânica III","s/n","2003","02","15","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina","-38.316667","-12.683333",NA,NA,NA,"de ca. 1-2 m . Caules jovens tomentosos. Folhas squamosa, frequêntemente arqueada, linear a lanceolada, margem revoluta, glabra na face adaxial e tomentosa na abaxial. Inflorescência terminal. Capítulo congesto, azul-púrpuro.",NA,NA,"Guedes, ML",NA,"-38.316667","-12.683333","2003","04",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:46-03","UFBA","ALCB","033517","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Salimena-Pires, FR; Roque, N; Lima, R; Conceição, AA; Nobre, PH","PCD2173","1996","03","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Morro do Pina, Rodovia para Andaraí","-41.376667","-13.006944","1024","1024",NA,"3,00 m. Flores lilases, papus alvo.; Solo areno-pedregoso",NA,NA,"Oliveira, EC de",NA,"-41.376667","-13.006944","2002","06",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:46-03","UFBA","ALCB","033660","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Harley, RM; Bautista, HP; Hind, DJN","PCD&nf;4448","1996","11","18","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Pé da Serra do Marcelino","-41.841111","-13.578889","1015","1015",NA,"3,50 m, tronco muito ramificado, DAP de 10 cm. Folhas cinzas na face abaxial, adaxial verde. Frequente.; Solo arenoso e pedregoso.",NA,NA,"Bautista, HP; Hind, DJN",NA,"-41.841111","-13.578889","2000","09",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:46-03","UFBA","ALCB","033797","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Stannard, B; Atkins, S; Saar, E; Passos Júnior, LA","PCD4803","1997","02","01","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Caminho para a Cachoeira do Fraga","-41.819722","-13.595556","1000","1000",NA,"2,0 m. Folhas crassas, revolutas. Flores roxas. Frequente.",NA,NA,"Bautista, HP; Hind, DJN",NA,"-41.819722","-13.595556","2000","09",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:10:46-03","UFBA","ALCB","033892","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Saar, E; Passos Júnior, LA; Santos, TRM dos; Atkins, S; Stannard, B; Guedes, ML","PCD5698","1997","02","15","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Caminho para Guiné","-41.475278","-12.939722","1040","1040",NA,"2,00 m. Folhas crassas, revoluta. Inflorescência com flores de cálice verde, corola, estames e estigma lilases.",NA,NA,"Bautista, HP; Hind, DJN",NA,"-41.475278","-12.939722","2000","09",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:10:46-03","UFBA","ALCB","110858","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4051","2014","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha Ponte do Rio Cumbuca para o Córrego das Perdizes.","-41.349167","-12.988889","902","902",NA,"ca. 2,5 m alt. Folhas discolores, com face abaxial glauca. Brácteas involucrais verdes, corola lilás.",NA,NA,"Roque, N",NA,"-41.349167","-12.988889","2014","01",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:10:46-03","UFBA","ALCB","117575","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Funk, VA; Sancho, G","4491","2014","10","28","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê","-41.346389","-12.998889","900","900",NA,"árvore até 3m alt., folhas discolores. Brácteas involucrais esrverdeadas. Corola lilás, anteras púpuras. Capítulos dispersando os frutos.; campo rupestre",NA,NA,"Roque, N",NA,"-41.346389","-12.998889","2014","10",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:10:46-03","UFBA","ALCB","135893","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Carvalho, MLS; Alunos de Métodos de Estudos em Biologia","521","2018","01","26","Southern America","Brasil","Bahia","Mucugê","Parque Municipal de Mucugê, Projeto Sempre Viva, trilha para o tiburtino.","-41.62","-13.0225",NA,NA,NA,"Aprox. 2,0 m de alt.; Flores liláses.; Solo arenoso.","ALCB065048",NA,"Carvalho, MLS",NA,"-41.62","-13.0225","2019","05",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:10:46-03","UFBA","ALCB","20358","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Sarmento, AC; Bautista, HP","870","1986","04","04","Southern America","Brasil","Bahia","Utinga","Chapada Diamantina, Próximo à Serra da Lapa","-41.083333","-12.016667","720","720",NA,"Com flores azuis.; Solo: Latossolo Vermelho-Amarelo Álico. Textura: Argilosa. Relevo: Ondulado.",NA,NA,"Hind, DJN",NA,"-41.083333","-12.016667","1991","12",NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:10:46-03","UFBA","ALCB","59719","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Bautista, HP; Ribeiro, T; Roque, N","3320","2001","07","05","Southern America","Brasil","Bahia","Érico Cardoso","Chapada Diamantina, Capão. Estrada Porteira em direção à Vereda","-42.1425","-13.281111","1099","1099",NA,"Ca. 2 m de alt. Folhas crassas, discolores. Flores liláses.; Arenoso Pedregoso.",NA,NA,"Roque, N",NA,"-42.1425","-13.281111","2001","07",NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:10:46-03","UFBA","ALCB","61366","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê, próximo à Cachoeira das Andorinhas","-41.340833","-12.988333",NA,NA,NA,"De ca. 1,5 a 3,0 m de alt. Folhas sésseis, coriáceas, com a aface abaxial tomentosa, margem revoluta. Inflorescência terminal, capítulos.",NA,NA,"Guedes, ML",NA,"-41.340833","-12.988333","2003","06",NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:10:46-03","UFBA","ALCB","61366","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal , próximo a cachoeira das Andorinhas","-41.340833","-12.988333",NA,NA,NA,"de ca. 1,5 a 3.0m . Folhas sésseis, coriáceas, com a face abaxial tomentosa, margem revoluta. Inflorescência terminal, capítulos.",NA,NA,"Guedes, ML",NA,"-41.340833","-12.988333","2003","06",NA,NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:10:46-03","UFBA","ALCB","61366","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal , próximo a cachoeira das Andorinhas","-41.340833","-12.988333",NA,NA,NA,"de ca. 1,5 a 3.0m . Folhas sésseis, coriáceas, com a face abaxial tomentosa, margem revoluta. Inflorescência terminal, capítulos.",NA,NA,"Guedes, ML",NA,"-41.340833","-12.988333","2003","06",NA,NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:10:46-03","UFBA","ALCB","61409","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal, trilha da cachoeira do Tiburtino.","-41.371944","-13.001389",NA,NA,NA,"de ca. 1m. Caule jovem tomentoso . Folhas de margem revoluta, e face abaxial tomentosa. Capítulo congesto, terminal. Flores roxas.",NA,NA,"Guedes, ML",NA,"-41.371944","-13.001389","2003","06",NA,NA,NA,NA,NA,NA,NA
