"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","minimumElevationInMeters","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","585368","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.","R. Kral","A. M. V. de Carvalho","6617","1998","08","29","South America","Brazil","Bahia","Rio de Contas","Pico do Itubira. Ca. 31 km SW da cidade, caminho para Mato Grosso","-41.8969","-13.3889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585368","NY00585368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-07 12:04:00-02","NY","NYBG","01404671","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala",NA,NA,"M. das G. L. Wanderley","893","1985","07","14","South America","Brazil","Bahia","Rio de Contas","Morro da Cruz na base do Pico das Almas","-41.8114013671875","-13.5789003372192","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2913655' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404671","NY01404671_01","paratype","49773","1200","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:45:36-03","UFMG","BHCB","167224","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Machado, TM; Freitas, FS","490","2013","07","24","Southern America","Brasil","Bahia","Rio de Contas","Pico das Almas, Trilha para o campo do Queiroz","-41.949444","-13.515556",NA,"Erva, flores amarelas; Campo rupestre em solo arenoso","BHCB049239",NA,NA,NA,NA,NA,"2018","12","-41.949444","-13.515556",NA,NA,NA,NA
"4","2020-02-11 15:02:00-03","MO","MOBOT","101179919","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"M.G.L. Wanderley|Tania M Cerati|Robert Kral","Wanderley 893","1985","7","14","South America","Brazil","Bahia","Rio de Contas","Morro da Cruz na base do Pico das Almas.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,"49773","1200.00000000","auto",NA,NA,NA,NA,"1",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2840993","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"R. M. Harley, T. S. Santos, R. M. Storr, T. S. Santos & R. S. Pinheiro","19766","1977","3","20","South America - Neotropics","Brazil","Bahia",NA,"Lower NE slopes of the Pico das Almas, ca. 25 Km WNW of the Vila do Rio de Contas","-41.95","-13.55",NA,NA,"US01916116","US01916116_01",NA,NA,"1500",NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA
"6","2019-10-07 09:22:44-03","UEFS","HUEFS","134637","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.","M.G.L.Wanderley","Ferreira, M.C.","199","1989","05","28",NA,"Brasil","Bahia","Érico Cardoso","Água quente, Pico das Almas.","-42.1403007507324","-13.417799949646",NA,NA,"HUEFS0134637","HUEFS0134637",NA,"26944",NA,"auto","2011","01",NA,NA,NA,"Lilianae",NA,NA
"7","2019-10-07 09:22:44-03","UEFS","HUEFS","129817","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.","M.G.L.Wanderley","Harley, R.M.","55665","2007","08","20",NA,"Brasil","Bahia","Rio de Contas","Subida para o Campo de Queiroz.","-41.938611","-13.52",NA,"Campo úmido em local pantanoso, próximo a um riacho, nesta época de águas quase paradas. Solos orgânicos, pretos em lugares mais úmidos e com áreas mais erodidas com areias finas. Área com solo seco nesta época que encharca na época chuvosa.","HUEFS0129817","HUEFS0129817",NA,NA,"1481",NA,"2011","01","41W56'19''","13S31'12''",NA,"Lilianae","1481",NA
"8","2019-10-07 09:22:44-03","UEFS","HUEFS","192379","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Almeida-Silva, G.","254","2012","07","27",NA,"Brasil","Bahia","Palmeiras","Parque Nacional Chapada Diamantina - Serra do Candombá.","-41.508611","-12.623611",NA,"Campo rupestre dominado por Vellozia sincorana, queimado a ca. 40 dias.","HUEFS0192379","HUEFS0192379",NA,NA,"1200",NA,NA,NA,"41W30'31''","12S37'25''",NA,"Lilianae","1200",NA
"9","2019-10-07 09:22:44-03","UEFS","HUEFS","235281","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Barbosa-Silva, R.G.","842","2017","08","04",NA,"Brasil","Bahia","Rio de Contas","Trilha para o Pico das Almas.","-41.949444","-13.515833",NA,"Campo rupestre","HUEFS0235281",NA,NA,NA,"1530",NA,NA,NA,"41W56'58''","13S30'57''",NA,"Lilianae","1530",NA
"10","2019-10-07 09:22:44-03","UEFS","HUEFS","85267","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.","M.G.L.Wanderley","Borba, E.L.","1889","2004","08","05",NA,"Brasil","Bahia","Mucugê","Subida para Serra da Tesoura.","-41.348056","-13.130556",NA,"Campo rupestre. Substrato arenoso.","HUEFS0085267","HUEFS0085267",NA,NA,"1264",NA,"2011","01","41W20'53''","13S7'50''",NA,"Lilianae","1264",NA
"11","2020-07-23 12:24:44-03","CEPLAC","CEPEC","21370","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala",NA,"R. Kral","R. M. Harley","19766","1977","03","20",NA,"Brasil","Bahia","RIO DE CONTAS","25Km WNW Vila do Rio de Contas, a NE da rampa baixa do Pico das Almas.","-41.95","-13.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W57'","13S33'",NA,NA,NA,"30/12/1995"
"12","2020-07-23 12:24:44-03","CEPLAC","CEPEC","79924","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala",NA,"M. das G. L. Wanderley","A. M. de Carvalho","6617","1998","08","29",NA,"Brasil","Bahia","RIO DE CONTAS","Pico do Itubira. Ca. 31Km SW da cidade, caminho para povoadod e Mato Grosso.","-41.896944","-13.388889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W53'49","13S23'20",NA,NA,NA,"05/12/2007"
"13","2020-07-23 12:24:44-03","CEPLAC","CEPEC","138381","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala",NA,"M.G.L. Wanderley","Harley, R.M.","55665",NA,NA,NA,NA,"Brasil","Bahia","RIO DE CONTAS",NA,"-41.8114013671875","-13.5789003372192",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,"49773",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-23 12:24:44-03","CEPLAC","CEPEC","38163","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala",NA,"M. das G. L. Wanderley","R. Kral","72909","1985","07","23",NA,"Brasil","Bahia","MUCUGÊ","Em direção a Serra do Pina 6-12km ao longo do Rio Preto ao NW Mucugê. Próx. a estrada Capão de Andrade.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,"52493",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"05/12/2007"
"15","2020-07-23 12:24:44-03","CEPLAC","CEPEC","38111","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala",NA,"R. Kral","R. Kral","72770","1985","07","14",NA,"Brasil","Bahia","RIO DE CONTAS","Faz. do Sr. Paulo Pascoal, 25Km ao W cidade, sob Morro de Cruz.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"Isótipo","49773",NA,"auto",NA,NA,"0W0'0","0S0'0",NA,NA,NA,"30/12/1995"
"16","2020-11-26 10:01:07-03","IBt","SP","386454","S","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Borba, EL","1889","2004","08","05",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,"52493",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:19:59-03","IBt","SP","204780","S","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72909","1985","07","23",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,"52493",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-07 09:34:39-03","IBt","SP","447283","S","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Wanderley, MGL","2748","2009","02","10",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,"49773",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:19:59-03","IBt","SP","204529","S","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72770","1985","07","14",NA,"Brasil","Bahia","Rio de Contas","Fazenda of Sr. Paulo Pascoal, 25 km W of Rio de Contas and below Morro de Cruz","-41.8114013671875","-13.5789003372192",NA,NA,"SP002697","SP002697","Holotype","49773","1300","auto",NA,NA,NA,NA,NA,NA,"1300",NA
"20","2019-11-21 10:19:59-03","IBt","SP","204036","S","Plantae",NA,NA,"Xyridaceae","Xyris","phaeocephala","Xyris phaeocephala","Kral & Wand.",NA,"Wanderley, MGL; Cerati, TM; Kral, R","893","1985","07","14",NA,"Brasil","Bahia","Rio de Contas","Morro da Cruz na base do Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,"SP002699","SP002699","Paratype","49773","1200","auto",NA,NA,NA,NA,NA,NA,"1200",NA
