"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","eventTime","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","273663","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","vestita","Pouteria vestita","Baehni","isotype","B. A. Krukoff","4743","1933","06","10","South America","Brazil","Amazonas","Basin of Rio Jurua: near the mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273663","NY00273663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03075020","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"F. A. Michelangeli","1327","2009","02","05","South America","Brazil","Acre","4.5 km SE of Foz de Jordão, along Rio Tarauacá.","-71.9256","-9.2383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225360' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075020","NY03075020_01","T. D. Pennington","Jordão","250","275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01251863","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"B. A. Krukoff","5013","1933","06","26","South America","Brazil","Amazonas","Basin of Rio Jurua: near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1491107' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251863","NY01251863_01 NY01251863_02","A. Alves-Araújo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U 0006726","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Krukoff BA",NA,"1933","06","10","Southern America","Brazil","Amazonas","Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006726",NA,"Pennington TD",NA,NA,NA,"Magnoliopsidae","-70.25","-7.5","19594",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:04:52-03","NBC","NL-BOTANY","U.1593190","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Prance GT; Coelho DF; Ramos JF; Farias LG",NA,"1968","10","01","Southern America","Brazil",NA,"Plants of Brazilian Amazonia. State of Acre. Municipality of Sena Madureira. Trail to Rio Laco, from Km. 7 road Sena Madureira to Rio Branco.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593190","NL-U1593190",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:04:52-03","NBC","NL-BOTANY","U.1593191","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Prance GT; et al.",NA,"1971","06","25","Southern America","Brazil",NA,"Plants of Brazilian Amazonia. State of Amazonas. Rio Purus, Rio Itupi. Rio Purus, Lago Preto 2 km north of Labrea. Varzea forest.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593191","NL-U1593191",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U.1593189","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Krukoff BA",NA,"1933","06","26","Southern America","Brazil","Amazonas","Basin of Rio Jurua","-70.25","-7.5",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593189 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593189","NL-U1593189",NA,NA,NA,NA,"Magnoliopsidae","-70.25","-7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U 0006725","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.","isotype","Krukoff BA",NA,"1933","06","10","Southern America","Brazil","Amazonas","Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006725 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006725","NL-U0006725","Pennington TD",NA,NA,NA,"Magnoliopsidae","-70.25","-7.5","28524 A",NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:56:32-03","BS","M","M-0174341","S","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.","NOTATYPE","Krukoff, B.A.",NA,"1933","06","09",NA,"Brasil",NA,"State of Amazonas: Rio Jurua near mouth of Rio Embira (tributary of Rio Tarauaca), lat. 7° 30 S., long. 70° 15#?# W.",NA,NA,NA,NA,"M0174341",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"21:00",NA,NA,NA,NA,NA,NA,NA
"10","2011-04-22 18:08:00-03","MO","MOBOT","1524171","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Manuel J. Macía|H. Romero|comunidad Huaorani de Dicaro","Macía 3250","1998","4","18","South America","Ecuador","Orellana","Parque Nacional Yasuní. Carretera Pompeya Sur-Iro, Tierra firme Km. 114,1. Plot # 16.","-76.1891666","-1.0211111",NA,NA,NA,NA,"M. J. Macía",NA,"250.00000000","300.00000000",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"11","2011-04-22 19:16:00-03","MO","MOBOT","1524187","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Manuel J. Macía|H. Romero|Comunidad Huaorani de Tiputini","Macía 3699","1998","5","5","South America","Ecuador","Orellana","Parque Nacional Yasuní. Carretera Pompeya Sur-Iro, Tierra firme Km. 34,6. Plot # 5.","-76.4608333","-0.6261111",NA,NA,NA,NA,"M. J. Macía",NA,"250.00000000","300.00000000",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","3385508","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Boris A. Krukoff","Krukoff 5013","1933","6","26","South America","Brazil","Amazonas","Near mouth of Rio Embira. tributary of Rio Tarauaca.","-70.25","-7.5",NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-06-01 09:56:00-03","MO","MOBOT","100974160","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"A.M. Carrión|Alejandro Araujo M.|G. Vásquez|P.S. Alves|S. Cardenas|R. de Cardenas","Carrión Cuellar 1274","2014","7","15","South America","Bolivia","Pando","Estación Biológica Tahuamanu","-69.0094722","-11.4294167",NA,NA,NA,NA,"fide Carrión et al.","Nicolas Suarez","251.00000000",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"14","2013-11-13 05:54:00-02","MO","MOBOT","1062835","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Milton Aulestia","Aulestia 3638","1995","5","15","South America","Ecuador","Napo","Reserva Etnica Huaorani. Carretera y oleoducto de Maxus, Km 120. Plataforma del Pozo Ginta. Bosque húmedo Tropical. Bosque primario. Terreno ligeramente plano.","-76.15","-1.03333",NA,NA,NA,NA,"T. Pennington (K)","Aguarico","250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-09-03 04:36:00-03","MO","MOBOT","1197918","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Homero Vargas|David A. Neill|Aída Alvarez|Efraín Freire","Vargas López 1650","1997","9","4","South America","Ecuador","Pastaza","Ruta del oleoducto propuesto por ARCO, Villano-La Independencia, Km 24; 3 km al sur de San Virgilio. Colina, suelo bien drenado. Bosque primario, parcela temporal de 0.25 ha.","-77.65","-1.4",NA,NA,NA,NA,"D.A. Neill","Pastaza","830.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1225625","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Jorge Zuleta","Zuleta 195","1993","3","6","South America","Ecuador","Napo","Parque Nacional Yasuní. Carretera de Maxus en construcción, Km 12-16. Bosque húmedo Tropical. Bosque primario.","-76.53333","-0.51666",NA,NA,NA,NA,"T.D. Pennington (K)","Orellana","240.00000000",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA
"17","2018-10-16 06:42:00-03","MO","MOBOT","1228162","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Tamara Núñez|C. Tapuy","Núñez 658","1997","8","23","South America","Ecuador","Napo","Construcción de Carretera Campococha-Chontapunta. Variante Selva Viva-Bosque Protector, abscisas 4+500-12+020.","-77.4166667","-0.9166667",NA,NA,NA,NA,NA,"Tena","300.00000000","500.00000000",NA,NA,NA,NA,NA,"1","8",NA,NA,NA,NA,NA
"18","2013-06-02 05:37:00-03","MO","MOBOT","1231395","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Efraín Freire|Orellana, C.","Freire Mayorga 2653","1997","12","4","South America","Ecuador","Sucumbíos","Parroquia Pañacocha. Sector Pucapeña. Pozo exploratorio Tongoy 2 petrolera Occidental. Bosque primario.","-76.11666","-0.35",NA,NA,NA,NA,NA,"Shushufindi","200.00000000",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA
"19","2013-12-30 05:10:00-02","MO","MOBOT","1831258","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Efraín Freire|Iván Suárez","Freire Mayorga 5087","2002","2",NA,"South America","Ecuador","Sucumbíos","Comunidad San Isla. Línea Oleoducto Eden-Yuturi - Lago Agrio OXY. Bosque Primario. Derecho de Vía.","-76.33361","-0.3375",NA,NA,NA,NA,"Alvaro Perez","Shushufindi","245.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2009-05-08 12:15:00-03","MO","MOBOT","2642025","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Angela Herrera|W. Guerrero","Herrera 423","2004","8","25","South America","Ecuador","Sucumbíos","Comunidad Shuar Tsanimp, a 45 minutos de Shushufindi, Via Las Palmas, km 26. Bosque muy húmedo tropical. Bosque muy intervenido, suelo arcilloso, rojo y pardo. Proyecto Etnobotánico del Herbario Nacional del Ecuador y PetroEcuador.","-76.6666667","-0.3166667",NA,NA,NA,NA,"T. Pennington (K)","Shushufindi","300.00000000",NA,NA,NA,NA,NA,NA,"4","1",NA,NA,NA,NA,NA
"21","2009-05-08 12:16:00-03","MO","MOBOT","2642461","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"W. Guerrero|Angela Herrera","Guerrero 320","2004","8","25","South America","Ecuador","Sucumbíos","Comunidad Shuar Tsanimp, a 45 minutos de Shushufindi, Via Las Palmas, km 26. Bosque muy húmedo tropical. Bosque muy intervenido, suelo arcilloso, rojo y pardo. Proyecto Etnobotánico del Herbario Nacional del Ecuador y PetroEcuador.","-76.6666667","-0.3166667",NA,NA,NA,NA,"T. Pennington (K)","Shushufindi","300.00000000",NA,NA,NA,NA,NA,NA,"8","1",NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","1970867","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.","Isotype","Boris A. Krukoff","Krukoff 4743","1933","6","10","South America","Brazil","Amazonas","Near mouth of Rio Embira (tributary of Rio Tarauaca). On varzea land.","-70.25","-7.5",NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","3251928","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Walter A. Palacios","Palacios Cuenca 2940","1988","9","7","South America","Ecuador","Napo","Margen derecho del Rio Napo, 8 km de Puerto Misahualli. Bosque muy humedo Tropical. Suelos rojos de colinas por bosque primario.","-77.61666","-1.06666",NA,NA,NA,NA,"T. Pennington (K)",NA,"450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","404993","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Walter A. Palacios","Palacios Cuenca 2940","1988","9","7","South America","Ecuador","Napo","ESTACION BIOLOGICA JATUN SACHA Margen derecho del Río Napo, 8 km de Puerto Misahuallí. Bosque muy húmedo Tropical. Suelos rojos de colinas por bosque primario.","-77.61666","-1.06666",NA,NA,NA,NA,"T. Pennington (K)",NA,"450.00000000",NA,NA,NA,NA,NA,NA,"4","88-20",NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","404999","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Walter A. Palacios","Palacios Cuenca 3088","1988","10","6","South America","Ecuador","Napo","Estación Biológica JATUN SACHA. Bosque muy húmedo Tropical. Bosque primario sobre suelos rojos de colinas.","-77.61666","-1.06666",NA,NA,NA,NA,"T. Pennington (K)",NA,"450.00000000",NA,NA,NA,NA,NA,NA,"10","88-30",NA,NA,NA,NA,NA
