"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01095839","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","A. M. Amorim","4452","2004","12","09","South America","Brazil","Bahia","Arataca","Serra das Lontras, ca. 7 km no ramal que liga o distrito de Itatinguí à Serra, ramal de acesso à Fazenda Véu de Noiva, de propiedade de José Marques.","-39.4081","-15.2028","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095839","NY01095839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1262339","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","M. M. M. Lopes","522","2006","02","15","South America","Brazil","Bahia","Arataca","Serra do Peito de Moça - Serra das Lontras. Estrada Arataca - Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio RPPN Caminho das Pedras","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262339","NY01262339_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00749495","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","W. W. Thomas","14193","2004","09","19","South America","Brazil","Bahia","Almadina","Serra Corcovado, 9.8 km SW of Coarci on road to Almadina, then N into Fazenda São José.","-39.6033333","-14.7058333","650","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749495","NY00749495_01","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","687248","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","A. M. Amorim","3551","2000","06","28","South America","Brazil","Bahia","Floresta Azul","Fazenda Aras Binow. Acesso pela BR 415 em ramal que leva ao alto da Torre de Transmissão da EMBRATEL","-39.6988889","-14.9422222","774","774","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=865323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687248","NY00687248_01","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687250","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","J. G. Jardim","3049","2000","07","25","South America","Brazil","Bahia","Floresta Azul","Torre da Coelba. Entrada a ca. 12 km da sede municipal na rod. para Itapetinga, ca. 8 km da entrada.","-39.6594","-14.86","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=867592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687250","NY00687250_01","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1262346","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","M. M. M. Lopes","980","2006","08","05","South America","Brazil","Bahia","Arataca","RPPN Caminho das Pedras, beira do ramal que leva a trilha de acesso ao Peito-de-Moça.","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514573' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262346","NY01262346_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:19:04-03","UFBA","ALCB","058461","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","A.M.A. Amorim","Mattos Silva, LA; Santana, SC; Paixão, JL; et al.","4488","2001","07","27","Southern America","Brasil","Bahia","Wenceslau Guimarães","Estação Ecológica Estadual Nova Esperança. Sede a 7 Km a w do povoado de Nova Esperança. Área com aproximadamente 2.700 há. Margem da Cachoeira do Rio Serra Grande.","-39.721667","-13.595278",NA,NA,NA,"Cipó. Folhas rugosas. Frutos imaturos de cor verde-pálido e nectários roxos.; Solo Argiloso. Região de Mata Higrófila Sul Baiana.","ALCB040814",NA,NA,"-39.721667","-13.595278",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:32:45-03","MBM","MBM","292288","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Amorim, A.M.; et al.; et al.","3551","2000","06","28","Southern America","Brazil","Bahia","Floresta Azul","Fazenda Aras Binow","-39.6596984863281","-14.8599996566772",NA,NA,NA,NA,"MBM292288","MBM292288","Amorim, A.M.",NA,NA,"21159","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:32:45-03","MBM","MBM","292287","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Jardim, J.G.; et al.; et al.","3049","2000","07","26","Southern America","Brazil","Bahia","Floresta Azul","Rodovia para Itapetinga","-39.6596984863281","-14.8599996566772",NA,NA,NA,NA,"MBM292287","MBM292287","Amorim, A.M.",NA,NA,"21159","auto",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22265",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","A. M. Amorim; et al","3551","2000","06","28",NA,"Brasil","Bahia","Floresta Azul","Fazenda Aras Binow","-39.6596984863281","-14.8599996566772",NA,NA,NA,"Liana ca. 5m alt., ocasional no sub-bosque e na orla da mata. Ramos marrons; pecíolos castanhos com glândulas marrons; samarídeos com núclo verde-escuro, alas verde-pálido, brilhante. Foto. Frutos em álcool 70%.","MBML022265","MBML022265","André M. Amorim/2003",NA,NA,"21159","auto","PARATIPO",NA,NA,NA,NA,NA
"11","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22266",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","J. G. Jardim; et al","3049","2000","07","25",NA,"Brasil","Bahia","Floresta Azul","Torre da Coelba","-39.6596984863281","-14.8599996566772",NA,NA,NA,"Liana sobre árvore na orla da mata alcançando ca. 7m alt. Folhas verde-brilhantes com a face inferior mais clara. Frutos imaturos verdes, pedicelos ferrugíneos, glândulas esverdeadas.","MBML022266","MBML022266","André M. Amorim/2003",NA,NA,"21159","auto","PARATIPO",NA,NA,NA,NA,NA
"12","2021-03-04 11:05:39-03","UFRB","HURB","5496","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Aona, L.Y.S.; Biggs,N.;Jardim,J.G.;Lucas,E.;Mazine,F.F.; et al.","2469","2013","03","14",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papua,APA de Pratigi,descida do córrego 1; subida pela parcela 7 e 8, trilha principal","-39.468333","-13.919444",NA,NA,NA,"mata pertubada, em sucessão avançada.","HURB000005496",NA,NA,"39°28'06 W","13°55'10 S",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-13 11:24:29-03","USP","SPF","215808","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Perdiz, RO","839","2011","07","28",NA,"Brasil","Bahia","Barro Preto",NA,"-39.542222","-14.773889","563","563",NA,NA,"SPF00215808","SPF00215808",NA,"-39.542222","-14.773889",NA,NA,NA,NA,NA,NA,NA,NA
