"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","566338","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum","W.R.Anderson","A. M. Amorim","S. C. de Sant'Ana","1032","2001","06","19","South America","Brazil","Bahia","Sao José da Vitória","Sao José da Vitória: Ca. 1 km da BR 101, na estrada para Una, no ramal a direita com 2.5 km de extensao","-39.3267","-15.0906","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566338","NY00566338_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","585709","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum","W.R.Anderson","A. M. Amorim","A. M. Amorim","3653","2001","05","01","South America","Brazil","Bahia","Sao José da Vitória","Estrada Sao Jos da Vitória a Una. Ramal de acesso a Pedra Branca, em trilha de acesso ao município","-39.3392","-15.0844","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=360863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585709","NY00585709_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:19:05-03","UFBA","ALCB","05084","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum","W.R.Anderson","Amorim, AMA","Lordêlo, RP","56","1956","06","01","Southern America","Brasil","Bahia","São Felipe","Recôncavo Sul, Fazenda Capioba","-39.083333","-12.833333",NA,NA,NA,NA,"ALCB040956",NA,"2000","-39.083333","-12.833333",NA,NA,NA,NA,NA
"4","2019-08-15 09:03:51-03","UESC","UESC","9992","S","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum","W.R.Anderson","A.M.Amorim","Amorim, A.M.","3653","2001","05","01",NA,"Brasil","Bahia","São José da Vitória",NA,"-39.3391990661621","-15.084400177002","400","400",NA,"Liana ca. 4m alt. No sub-bosque.; Flores em álcool 70%, folhas em sílica. Foto.","UESC0009992",NA,"2001",NA,NA,"Dicotyledoneae","9545","auto",NA,NA
"5","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22289",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum","W.R.Anderson","André M. Amorim/2001","A. M. Amorim; et al","3653","2001","05","01",NA,"Brasil","Bahia","São José da Vitória","Estrada São José da Vitória a Una","-39.3391990661621","-15.084400177002",NA,NA,NA,"Liana ca. 4m alt., no subosque. Folhas verdes, a face inferior mais pálida. Ramos marrons, lenticelas negras. Inflorescências pêndulas, frequentemente nos ramos áfilos. Pedicelo e raque ferrugíneos, glândulas verdes, pétalas amarelo-pá","MBML022289","MBML022289",NA,NA,NA,NA,"9545","auto",NA,NA
"6","2021-03-15 18:28:30-03","USP","SPF","161215","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum","W.R.Anderson","Amorim, AMA","Amorim, AMA","3653","2000","03","17",NA,"Brasil","Bahia","São José da Vitória","Estrada São José da Vitória a Una. Ramal de acesso a Pedra Branca, em trilha de acesso ao município. Floresta ombrófila densa.","-39.3391990661621","-15.084400177002","400","400",NA,"Liana ca. 4 m alt. No sub-bosque. Folhas verdes, a face inferior mais pálida. Ramos marrons, lenticelas negras. Inflorescências pêndulas, freqüentemente nos ramos áfilos. Pedicelo e raque ferrugíneos, glândulas verdes, pétalas amarel","SPF00161215","SPF00161215","2001",NA,NA,NA,"9545","auto",NA,NA
"7","2020-07-23 12:11:34-03","CEPLAC","CEPEC","105077","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum",NA,"A. M. Amorim","A. M. Amorim","3653","2004","05","01",NA,"Brasil","Bahia","SÃO JOSÉ DA VITÓRIA","Estrada São José da Vitória a Una. Ramal de acesso a Pedra Branca, em trilha de acesso ao município.","-39.3391990661621","-15.084400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9545","auto","30/12/2001",NA
"8","2020-07-23 12:11:34-03","CEPLAC","CEPEC","33911","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum",NA,"A. M. Amorim","W. W. Thomas","13482","2003","07","24",NA,"Brasil","Bahia","ITORORÓ","Fazenda Santa Ana, 14,4Km SW de Itajú do Colônia na Rod. para Rio do Meio, depois 2,7Km na margem da mata.","-39.8325","-15.150278",NA,NA,NA,NA,NA,NA,NA,"39W49'57","15S9'1",NA,NA,NA,"30/12/2003",NA
"9","2020-07-23 12:11:34-03","CEPLAC","CEPEC","87955","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum",NA,"A. M. Amorim","S. C. de Sant'Ana","1032","2001","06","19",NA,"Brasil","Bahia","SÃO JOSÉ DA VITÓRIA","Ca. 1Km da BR-101, na estrada para Una, no ramal a direita cm 2,5Km de extensão.","-39.326667","-15.090556",NA,NA,NA,NA,NA,NA,NA,"39W19'36","15S5'26",NA,NA,NA,"30/12/2003",NA
"10","2020-07-23 12:11:34-03","CEPLAC","CEPEC","6925","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","sanctorum","Heteropterys sanctorum",NA,"W. R. Anderson","T. S. dos Santos","1603","1994","05","08",NA,"Brasil","Bahia","UNA","São José da Vitória, estrada para Una. Pedra Branca.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0",NA,"36070","auto","30/12/1982","Holótipo"
