"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","4187127","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","M. Serrano","6063","2005","07","03","South America","Bolivia","Tarija","Aniceto Arce","Municipio Padcaya. Reserva Nacional de Flora y Fauna Tariquía. Cuenca del río Lorayoj, saliendo de Campos Los Pinos. Bosque montano Tucumano","-64.53264","-21.91278","1768","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505801' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187127","NY04187127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4187132","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","M. Alem Zabalaga","MAZ212","2004","02","15","South America","Bolivia","Cochabamba","Tiraque","Localidad el Limbo","-65.6422","-17.1603","2900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505806' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187132","NY04187132_01","2950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4187129","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","A. Freire Fierro","3247","2001","09","11","South America","Ecuador","Pichincha","Quito","Cerro El Castillo-Loma La Bola, colecciones en el sendero entre la cima de El Castillo y cima de la Bola, bosque maduro. Derecho de vía del Oleoducto de Crudos Pesados.","-78.63","-0.03","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505803' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4187126","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","H. Huaylla Limachi","1515","2004","11","10","South America","Bolivia","Tarija","Aniceto Arce","Municipio Padcaya. Reserva Nacional de Flora y Fauna Tariquía. Bajando de La Cumbre hacia Potreross.",NA,NA,"2550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505800' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4187130","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","L. Arroyo P.","2778","2004","04","11","South America","Bolivia","Santa Cruz","Manuel María Caballero","Siberia, entre El Empalme y Locotal","-64.6917","-17.8439","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505804' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187130","NY04187130_01","2850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4187128","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","I. Jiménez-Pérez","2387","2004","06","09","South America","Bolivia","Tarija","Aniceto Arce","Reserva Natural de Flora y Fauna Tariquía, campamento Alisos; río Escalera, al inicio de la senda al Nogal","-64.57","-22","1860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505802' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4187125","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","R. J. Abbott","17111","1995","06","20","South America","Bolivia","Santa Cruz","Manuel María Caballero","Amboro National Park, Cerro Bravo area; ca 10 map Km. N of Comarapa","-64.5417","-17.825","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505799' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187125","NY04187125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4187133","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","J. L. Clark","7701","2003","04","27","South America","Ecuador","Tungurahua","Baños","Río Vascun Valley; northern slopes of Volcán Tungurahua.","-78.4244","-1.4392","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505807' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187133",NA,"3200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","908634","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","A. C. Brade","19047","1948","05","08","South America","Brazil","Minas Gerais","Passa Quatro","Sertão dos Martins","-44.9667","-22.3906","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908634","NY00908634_01","1400","R. Cranfill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4187134","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","sprucei","Blechnum sprucei","C.Chr.","M. A. Sundue","632","2002","04","16","South America","Bolivia","Cochabamba","Carrasco","Near pond along road from Cochabamba to Comarapa, 5.5 km E of El Churro.","-64.73","-17.8378","2975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4505808' target='other'> <mi>dwc_moreinfo</mi></a>","NY04187134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
