"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00934122","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","besleriifolia","stuhriana","Begonia besleriifolia stuhriana","Brade","E. de L. Jacques","A. M. Amorim","2473","1998","08","13","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso","-39.5286","-15.1581","fluid-preserved","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565015","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","S. F. Smith","A. M. V. de Carvalho","6698","1998","12","20","South America","Brazil","Bahia","Jussari","Rod. Jussari - Palmira, entrada ca. 7.5 km percorrendo mais 1.7 km atéa sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso","-39.58","-15.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565015","300","450","NY00565015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454087","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","besleriifolia","stuhriana","Begonia besleriifolia stuhriana","Brade","E. de L. Jacques","A. M. Amorim","2473","1998","08","13","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso","-39.5286","-15.1581","sheet","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454087",NA,NA,"NY00454087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00934122","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","besleriifolia","stuhriana","Begonia besleriifolia stuhriana","Brade","E. de L. Jacques","A. M. Amorim","2473","1998","08","13","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso","-39.5286","-15.1581","fluid-preserved","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","454087","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","besleriifolia","stuhriana","Begonia besleriifolia stuhriana","Brade","E. de L. Jacques","A. M. Amorim","2473","1998","08","13","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso","-39.5286","-15.1581","sheet","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=552709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454087",NA,NA,"NY00454087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:29:40-03","UFRRJ","RBR","39422","S","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott",NA,"I.G. Costa","535","2014","09","07",NA,"Brasil","Rio de Janeiro","Cardoso Moreira","Localidade de Silvado. Fazenda Santa Rosa, divisa com sítio de Edvar Merlin.","-41.565278","-21.466944",NA,NA,"RBR00039422","80","80",NA,"41º33'55''W","21º28'1''S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:29:40-03","UFRRJ","RBR","35397","S","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","E.L. Jacques","E.L. Jacques; A.M. Amorim, F.S. Juchun, H. Berbert, J.L. Paixão","802","1998","11","07",NA,"Brasil","Bahia","Jussari","RPPN-Serra do Teimoso, Rodovia Jussari-Palmeiras, ca. 7,5Km de Jussari, Fazenda Teimoso. 39° 31#?# 43' W - 15°09#?#29' S.","-39.4953002929688","-15.1913995742798",NA,NA,"RBR00035397",NA,NA,NA,NA,NA,"1998","11","21386","auto",NA,NA,NA,NA
"8","2020-12-21 16:17:57-03","MBM","MBM","275074","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","Jaques, E.L.","Jaques, E.L.; et al.; et al.","802","1998","11","07","Southern America","Brazil","Bahia","Jussari","Rodovia Jussari - Palmeiras","-39.4953002929688","-15.1913995742798",NA,NA,"MBM275074",NA,NA,"MBM275074",NA,NA,NA,NA,"21386","auto",NA,NA,NA,NA
"9","2020-12-11 11:33:48-03","UFMG","BHCB","85394","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott",NA,"Salino, A; Mota, RC da; Mota, NFO; Melo, PHA de","9158","2003","10","08","Southern America","Brasil","Bahia","Itarantin","Serra da Felicissima, Fazenda Bom Jardim.","-40.115972","-15.817",NA,"InventárioBiológico nos Vales dos Rios Jequitinhonha e Mucuri - Minas Gerais e Bahia.&nf;PROBIO/MMA - CONSERVATION INTERNATIONAL - BRASIL.; Subarbusto entre rochas, flores estaminadas brancas, estames amarelos e ovário branco.; Floresta","BHCB003913","180","300",NA,"-40.115972","-15.817","2013","07",NA,NA,"03",NA,NA,NA
"10","2018-06-26 05:23:00-03","MO","MOBOT","3146427","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia","stuhriana","Begonia besleriifolia stuhriana","Brade","E.L. Jacques","André M. Amorim|Jomar G. Jardim|L.M. Berbert|J. Lima da Paixão","Amorim 2473","1998","8","13","South America","Brazil","Bahia",NA,"Município de Jussari. Rod. Jussari/Palmira. Entrada ca. 7,5km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso. Mata Mesófila.","-39.52861","-15.15805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
