NM_MUNICIP,CD_GEOCMU,mpo_check,municipio_padronizado
OSASCO,3534401,osasco,Osasco
BARUERI,3505708,barueri,Barueri
ITAPECERICA DA SERRA,3522208,itapecericadaserra,Itapecerica da Serra
CABREÚVA,3508405,cabreuva,Cabreúva
SANTANA DE PARNAÍBA,3547304,santanadeparnaiba,Santana de Parnaíba
SÃO LOURENÇO DA SERRA,3549953,saolourencodaserra,São Lourenço da Serra
ITAPEVI,3522505,itapevi,Itapevi
SÃO PAULO,3550308,saopaulo,São Paulo
JUQUITIBA,3526209,juquitiba,Juquitiba
PIRAPORA DO BOM JESUS,3539103,piraporadobomjesus,Pirapora do Bom Jesus
COTIA,3513009,cotia,Cotia
MAIRINQUE,3528403,mairinque,Mairinque
PEDRO DE TOLEDO,3537206,pedrodetoledo,Pedro de Toledo
ALUMÍNIO,3501152,aluminio,Alumínio
IBIÚNA,3519709,ibiuna,Ibiúna
JUNDIAÍ,3525904,jundiai,Jundiaí
ARAÇARIGUAMA,3502754,aracariguama,Araçariguama
CARAPICUÍBA,3510609,carapicuiba,Carapicuíba
SÃO ROQUE,3550605,saoroque,São Roque
EMBU-GUAÇU,3515103,embuguacu,Embu-Guaçu
VOTORANTIM,3557006,votorantim,Votorantim
PIEDADE,3537800,piedade,Piedade
EMBU DAS ARTES,3515004,embudasartes,Embu das Artes
TABOÃO DA SERRA,3552809,taboaodaserra,Taboão da Serra
VARGEM GRANDE PAULISTA,3556453,vargemgrandepaulista,Vargem Grande Paulista
JANDIRA,3525003,jandira,Jandira
RIO GRANDE DA SERRA,3544103,riograndedaserra,Rio Grande da Serra
MAUÁ,3529401,maua,Mauá
VÁRZEA PAULISTA,3556503,varzeapaulista,Várzea Paulista
ARUJÁ,3503901,aruja,Arujá
GUARAREMA,3518305,guararema,Guararema
FRANCO DA ROCHA,3516408,francodarocha,Franco da Rocha
CAJAMAR,3509205,cajamar,Cajamar
CAIEIRAS,3509007,caieiras,Caieiras
SÃO JOSÉ DOS CAMPOS,3549904,saojosedoscampos,São José dos Campos
SUZANO,3552502,suzano,Suzano
RIBEIRÃO PIRES,3543303,ribeiraopires,Ribeirão Pires
POÁ,3539806,poa,Poá
JACAREÍ,3524402,jacarei,Jacareí
MAIRIPORÃ,3528502,mairipora,Mairiporã
JARINU,3525201,jarinu,Jarinu
SÃO CAETANO DO SUL,3548807,saocaetanodosul,São Caetano do Sul
SANTA BRANCA,3546009,santabranca,Santa Branca
SANTO ANDRÉ,3547809,santoandre,Santo André
NATIVIDADE DA SERRA,3532306,natividadedaserra,Natividade da Serra
SÃO BERNARDO DO CAMPO,3548708,saobernardodocampo,São Bernardo do Campo
SANTA ISABEL,3546801,santaisabel,Santa Isabel
NAZARÉ PAULISTA,3532405,nazarepaulista,Nazaré Paulista
JAMBEIRO,3524907,jambeiro,Jambeiro
MOGI DAS CRUZES,3530607,mogidascruzes,Mogi das Cruzes
ITAQUAQUECETUBA,3523107,itaquaquecetuba,Itaquaquecetuba
SALESÓPOLIS,3545001,salesopolis,Salesópolis
FRANCISCO MORATO,3516309,franciscomorato,Francisco Morato
CAMPO LIMPO PAULISTA,3509601,campolimpopaulista,Campo Limpo Paulista
FERRAZ DE VASCONCELOS,3515707,ferrazdevasconcelos,Ferraz de Vasconcelos
DIADEMA,3513801,diadema,Diadema
REDENÇÃO DA SERRA,3542305,redencaodaserra,Redenção da Serra
GUARULHOS,3518800,guarulhos,Guarulhos
IGARATÁ,3520202,igarata,Igaratá
PARAIBUNA,3535606,paraibuna,Paraibuna
BIRITIBA MIRIM,3506607,biritibamirim,Biritiba Mirim
TUIUTI,3554953,tuiuti,Tuiuti
PIRACAIA,3538600,piracaia,Piracaia
BOM JESUS DOS PERDÕES,3507100,bomjesusdosperdoes,Bom Jesus dos Perdões
VARGEM,3556354,vargem,Vargem
ATIBAIA,3504107,atibaia,Atibaia
BRAGANÇA PAULISTA,3507605,bragancapaulista,Bragança Paulista
JOANÓPOLIS,3525508,joanopolis,Joanópolis
ITARIRI,3523305,itariri,Itariri
JUQUIÁ,3526100,juquia,Juquiá
MIRACATU,3529906,miracatu,Miracatu
SETE BARRAS,3551801,setebarras,Sete Barras
SANTOS,3548500,santos,Santos
CUBATÃO,3513504,cubatao,Cubatão
PRAIA GRANDE,3541000,praiagrande,Praia Grande
ITANHAÉM,3522109,itanhaem,Itanhaém
MONGAGUÁ,3531100,mongagua,Mongaguá
SÃO VICENTE,3551009,saovicente,São Vicente
PERUÍBE,3537602,peruibe,Peruíbe
SALTO DE PIRAPORA,3545308,saltodepirapora,Salto de Pirapora
SARAPUÍ,3551108,sarapui,Sarapuí
ITU,3523909,itu,Itu
ARAÇOIABA DA SERRA,3502903,aracoiabadaserra,Araçoiaba da Serra
CAPELA DO ALTO,3510302,capeladoalto,Capela do Alto
SOROCABA,3552205,sorocaba,Sorocaba
IPERÓ,3521002,ipero,Iperó
ALAMBARI,3500758,alambari,Alambari
BOITUVA,3507001,boituva,Boituva
PORTO FELIZ,3540606,portofeliz,Porto Feliz
