"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","catalogNumber","coordinatePrecision","barcode","imagecode","geoFlag","order","monthIdentified","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-10-09 11:08:15-03","UFBA","ALCB","PreservedSpecimen","Plantae","Dicotyledon","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, JC de","2004","Hatschbach, G; Hatschbach, M; Ribas, OS","77855","2004","06","15","Southern America","Brasil","Bahia","Macaúbas","Chapada Diamantina, Rodovia Macaúbas a Bom Jesus da Lapa, Serra Poções","-42.683333","-13.016667","-42.683333","-13.016667","reptante. Flor alvacenta.; junto a lajeados da encosta do morro, solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:01-03","ESALQ","ESA","PreservedSpecimen","Plantae","Magnoliophyta","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana",NA,NA,NA,"Hatschbach, G. et al.","77855.0","2004","06","15",NA,"Brasil","Bahia","Macaúbas",NA,"-42.698600769043","-13.0193996429443",NA,NA,NA,"88826","71420","ESA088826","ESA088826","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:59:01-03","ESALQ","ESA","PreservedSpecimen","Plantae","Magnoliophyta","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana",NA,"Siqueira, J.C.",NA,"Hatschbach, G.","77855.0","2004","06","15",NA,"Brasil","Bahia","Macaúbas",NA,"-42.698600769043","-13.0193996429443",NA,NA,NA,"98109","71420","ESA098109","ESA098109","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 10:59:01-03","ESALQ","ESA","PreservedSpecimen","Plantae","Magnoliophyta","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen isotypus",NA,NA,"Hatschbach, G. et al.","65947.0","1997","01","18",NA,"Brasil","Bahia","Macaúbas",NA,"-42.698600769043","-13.0193996429443",NA,NA,NA,"96603","71420","ESA096603",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","PreservedSpecimen","Plantae","Magnoliophyta","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","T.M.Pedersen","J. C. Siqueira",NA,"G. Hatschbach; M. Hatschbach, O. S. Ribas","77918","2004","6","16",NA,"Brazil","Bahia",NA,"Passagem do Meio (Mun. Macaubas).","-42.695533","-13.019773",NA,NA,"Reptante, flor alvacenta. Lajeado rochoso","ASU0000408",NA,NA,NA,NA,"Caryophyllales",NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","PreservedSpecimen","Plantae","Magnoliophyta","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","T.M.Pedersen","J. C. Siqueira",NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","67631","1998","3","11",NA,"Brazil","Bahia",NA,"Serra Geral, Serra do Brejo Grande (Mun. Boquira).","-42.709002","-12.813825",NA,NA,"Reptante, flor alvacenta. Campo rupestre, proximo ao alto da serra, solo arenoso.","ASU0000409",NA,NA,NA,NA,"Caryophyllales",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:11:25-03","MBM","MBM","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, J.C.","2004","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","77855","2004","06","15","Southern America","Brazil","Bahia","Macaúbas","Serra Poções, Rodovia para Bom Jesus da Lapa.","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvacenta.; Solo arenoso, lajeados da encosta do morro.","295334","71420","MBM295334","MBM295334","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:11:25-03","MBM","MBM","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, J.C.","2002","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67631","1998","03","11","Southern America","Brazil","Bahia","Boquira","Serra do Brejo Grande, Serra Geral","-42.730598449707","-12.8231000900269",NA,NA,"Reptante, flor alvescente.; Campo rupestre, próximo ao alto da serra, solo arenoso.","222904","36950","MBM222904","MBM222904","auto",NA,"12","09","PARATYPE",NA,NA,NA
"9","2020-12-21 16:11:25-03","MBM","MBM","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, J.C.","2004","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","77918","2004","06","16","Southern America","Brazil","Bahia","Macaúbas","Passagem do Meio","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvacenta.; Lajeado rochoso.","295340","71420","MBM295340","MBM295340","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:11:25-03","MBM","MBM","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Pedersen, T.M.",NA,"Hatschbach, G.; Ribas, O.S.; Deodato, F.; Ribas, O.S.; Deodato, F.","65947","1997","01","18","Southern America","Brazil","Bahia","Macaúbas","Serra Poções, Estrada para Canatiba, próximo ao alto.","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvescente.; Campo rupestre, solo arenoso.","205723","71420","MBM205723","MBM205723","auto",NA,NA,NA,"HOLOTYPE","1100","1100",NA
"11","2019-11-01 15:27:51-03","PUC-RIO","FCAB","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","J.C. Siqueira","2004","G. Hatschbach; M. Hatschbach; O.S. Ribas","77918","2004","06","16",NA,"Brasil","Bahia","Macaúbas","Passagem do Meio","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvacenta. Lajeado rochoso.","6157","71420","006157",NA,"auto","Angiospermae",NA,NA,NA,NA,NA,NA
"12","2019-11-01 15:27:51-03","PUC-RIO","FCAB","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","J.C. Siqueira","2004","G. Hatschbach; M. Hatschbach; O.S. Ribas","77855","2004","06","15",NA,"Brasil","Bahia","Macaúbas","Rodovias Macaúbas a Bom Jesus da Lapa, Serra Poçõe","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvacenta, solo arenoso, junto a lajeado da encosta do morro.","6154","71420","006154",NA,"auto","Angiospermae",NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:31:21-03","UFMG","BHCB","PreservedSpecimen","Plantae","Dicotyledon","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen",NA,NA,"Hatschbach, G; Silva, JM; Deodato, F","65947","1997","01","18",NA,"?",NA,NA,NA,NA,NA,NA,NA,"Reptante, flor alvacenta.; Campo rupestre, solo arenoso.","102426",NA,"BHCB054327","BHCB054327",NA,NA,NA,NA,"Isotypus",NA,NA,NA
"14","2020-12-11 11:31:21-03","UFMG","BHCB","PreservedSpecimen","Plantae","Dicotyledon","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen",NA,"2002","Hatschbach, G; Hatschbach, M; Barbosa, E","67631","1998","03","11","Southern America","Brasil","Bahia","Boquira","Serra Geral, Serra do Brejo Grande. Próximo ao alto da serra.","-42.730598449707","-12.8231000900269",NA,NA,"Reptante, flor alvacenta.; Campo rupestre, solo arenoso.","84110","36950","BHCB054769","BHCB054769","auto",NA,NA,NA,NA,NA,NA,NA
"15","2021-02-11 17:17:47-03","UFPR","UPCB","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, J.C.","2004","Hatschbach, G.","77855","2004","06","15",NA,"Brasil","Bahia","Macaúbas","Rod. Macaúbas a Bom Jesus da Lapa, Serra Poções","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvacenta, solo arenoso, junto a lajeados da encosta do morro..","52241","71420",NA,NA,"auto",NA,"01","01",NA,NA,NA,NA
"16","2021-02-11 17:17:47-03","UFPR","UPCB","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, J.C.","2004","Hatschbach, G.","77855","2004","06","15",NA,"Brasil","Bahia","Macaúbas","Rod. Macaúbas a Bom Jesus da Lapa, Serra Poções","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alvacenta, solo arenoso, junto a lajeados da encosta do morro..","51318","71420",NA,NA,"auto",NA,"01","01",NA,NA,NA,NA
"17","2021-02-11 17:17:47-03","UFPR","UPCB","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, J.C.","2004","Hatschbach, G.","77855","2004","06","15",NA,"Brasil","Bahia","Macaúbas","Rod. Macúbas a Bom Jesus da Lapa, Serra Poções","-42.698600769043","-13.0193996429443",NA,NA,"Reptante, flor alva, solo arenoso, junto a lajeados da encosta do morro..","50792","71420",NA,NA,"auto",NA,"01","01",NA,NA,NA,NA
"18","2020-08-31 09:17:48-03","INPA","INPA","S","Plantae","Dicotyledon Superasterids","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, JC de","2004","Hatschbach, GG","77855","2004","06","15","Southern America","Brasil","Bahia","Macaúbas","Rodovia Macaúbas a Bom Jesus da lapa, Serra Poções. Solo arenoso, junto a lajeados da encosta do morro.","-42.698600769043","-13.0193996429443",NA,NA,NA,"217155","71420","INPA0217155","INPA0217155 INPA0217155_e","auto","Caryophyllales",NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:14:13-03","USP","SPF","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, JC","2002","Hatschbach, G","67631","1998","03","11",NA,"Brasil","Bahia","Boquira","Serra Geral","-42.730598449707","-12.8231000900269",NA,NA,NA,"156308","36950","SPF00156308",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-23 11:51:25-03","USP","SPF","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Pedersen, TM","2000","Hatschbach, G; Silva, JM; Deodato, F","65947","1997","01","18",NA,"Brasil","Bahia","Macaúbas","Estrada para Canatiba, Serra Poções, próximo ao alto.&nf;Reptante, flor alvacenta. Campo rupestre, solo arenoso.","-42.698600769043","-13.0193996429443",NA,NA,NA,"171764","71420","SPF00171764","SPF00171764","auto",NA,NA,NA,"isotype","1100","1100",NA
"21","2019-11-13 11:14:13-03","USP","SPF","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Siqueira, JC","2004","Hatschbach, G","77855","2004","06","15",NA,"Brasil","Bahia","Macaúbas","Serra Poções.","-42.698600769043","-13.0193996429443",NA,NA,NA,"167627","71420","SPF00167627",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-25 13:51:22-03","UNIVILLE","JOI","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","J.C. Siqueira","2004","G. Hatschbach","77918","2004","06","16",NA,"Brasil","Bahia","Macaúbas","Passagem do Meio.","-42.698600769043","-13.0193996429443",NA,NA,"; HABITAT: lajeado rochoso; HABITO: reptante","8625","71420","JOI008625","JOI008625","auto",NA,"01","01",NA,NA,NA,NA
"23","2019-10-07 09:18:32-03","UEFS","HUEFS","PreservedSpecimen","Plantae","Angiospermae","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen",NA,NA,"Hatschbach, G.","65947","1997","01","18",NA,"Brasil","Bahia","Macaúbas","Estrada para Canatiba, Serra Poções, próximo ao alto.","-42.698600769043","-13.0193996429443",NA,NA,NA,"117379","71420","HUEFS0117379",NA,"auto","Caryophyllales",NA,NA,NA,NA,NA,"Caryophyllanae"
"24","2019-10-07 09:18:32-03","UEFS","HUEFS","PreservedSpecimen","Plantae","Angiospermae","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen",NA,NA,"Hatschbach, G.","65947","1997","01","18",NA,"Brasil","Bahia","Macaúbas","Estrada para Canatibas, Serra Poções, próximo ao alto.","-42.698600769043","-13.0193996429443",NA,NA,NA,"104523","71420","HUEFS0104523","HUEFS0104523 HUEFS0104523_01 HUEFS0104523_02 HUEFS0104523_03","auto","Caryophyllales",NA,NA,NA,NA,NA,"Caryophyllanae"
"25","2019-10-07 09:18:32-03","UEFS","HUEFS","PreservedSpecimen","Plantae","Angiospermae","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen",NA,NA,"Hatschbach, G.","67631","1998","03","11",NA,"Brasil","Bahia","Boquira","Serra Geral, Serra do Brejo Grande","-42.730598449707","-12.8231000900269",NA,NA,"Campo rupestre","71474","36950","HUEFS0071474",NA,"auto","Caryophyllales",NA,NA,NA,NA,NA,"Caryophyllanae"
"26","2020-11-12 16:58:42-03","UEL","FUEL","PreservedSpecimen","Plantae","Tracheophyta","Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen",NA,NA,"Hatschbach, G; Silva, JM; Deodato, F","65947","1997","01","18",NA,"Brasil","Bahia","Macaúbas","próximo ao alto Serra Poções, estrada para Canatiba","-42.698600769043","-13.0193996429443",NA,NA,NA,"40495","71420","FUEL040495",NA,"auto","Caryophyllales",NA,NA,"isotype","1100","1100",NA
"27","2019-11-21 09:58:02-03","IBt","SP","S","Plantae",NA,"Amaranthaceae","Gomphrena","hatschbachiana","Gomphrena hatschbachiana","Pedersen","Pedersen, TM","2000","Hatschbach, G; Silva, JM; Deodato, F","65947","1997","01","18",NA,"Brasil","Bahia","Macaúbas","Estrada para Canatiba, Serra Poções, próximo ao alto","-42.698600769043","-13.0193996429443",NA,NA,NA,"415716","71420","SP000357","SP000357","auto",NA,NA,NA,"Isotype",NA,NA,NA
