"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00895890","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","O. Morrone","H. S. Irwin","31579","1971","03","05","South America","Brazil","Bahia","Barreiras","Valley of the Rio das Ondas, lower slopes of Espigão Mestre, ca. 4 km N. of Barreiras, road to Santa Rita da Cássia","-44.9919444","-12.1482","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895890","NY00895890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00895892","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","T. de S. Filgueiras","T. C. Plowman","9173","1980","02","26","South America","Brazil","Tocantins","Babaçulândia","18 km southwest of Wanderlândia along Belém-Brasília highway (BR-153)","-48.08","-6.93","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895892","NY00895892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00895891","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","T. de S. Filgueiras","T. C. Plowman","9223","1980","02","27","South America","Brazil","Tocantins","Tocantinópolis","Ribeirão do Córrego, 55 km southwest of Estreito along Belém-Brasília highway (BR 153).","-47.82","-6.82","480","480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895891","NY00895891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:05-03","EAO","IAN","67931","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi",NA,"Rojas, E","6723","1934","03",NA,NA,"Paraguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN067931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:05-03","EAO","IAN","58637","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","Chase, A","Pires, JM; Black, GA","2210","1950","05","26","Southern America","Brasil","Maranhão",NA,"Perto de Carolina; campo cerrado",NA,NA,NA,NA,NA,"ZULOAGA & MORRONE (2003:499) citaram: T-Protol.: Brasil: Maranhão: Sopé da Malícia, 2 léguas ao norte de Carolina, 27 May 1950, J. Murça Pires & G. A. Black 2210 [HT: IAN]. T-Specim.: 1 of 1. Brazil: Maranhão, Porto de Carolina, campo","IAN058637",NA,"1958","holotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:08-03","EAO","IAN","58784","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","piresii","Paspalum piresii","G.A.Black","Oliveira, RC","Pires, JM; Black, GA","2359","1950","05","28","Southern America","Brasil","Goiás",NA,"Varedão do Relâmpago, duas léguas de Carolina.",NA,NA,NA,NA,NA,"ZULOAGA & MORRONE (2003:499) citaram: T-Protol.: Brasil: Maranhão: Sopé da Malícia, 2 léguas ao norte de Carolina, 27 May 1950, J. Murça Pires & G. A. Black 2210 [HT: IAN]. T-Specim.: 1 of 1. Brazil: Maranhão, Porto de Carolina, campo","IAN058784",NA,"2001","isoparatipo","10",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-02 16:29:10-03","CPAN-UFMS","COR","15965","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","Oliveira, R. C.","Conceição, C. A.","2415","1989","01","29",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Chácara Cambará, próximo à subestação NOB Aero Rural","-54.633889","-20.53","523","523",NA,"Erva cespitosa, 20-30 cm de altura; Habito: Erva",NA,NA,"2009",NA,"05","02","54º38'2''W","20º31'48''S",NA,NA,NA,NA,NA
"8","2020-02-08 10:19:27-03","NBC","NL-BOTANY","L.3877760","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","macranthecium","Paspalum macranthecium","Parodi",NA,"Rua GH; Gróttola MC; Frank LG",NA,"1996","03","15","Southern America","Brazil",NA,NA,"Estado Mato Grosso, ruta de Ciuaba a Chapada dos Guimaraes, ca 55 km de Cuiaba r. Paciencia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3877760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3877760","NL-L3877760",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-11-19 10:24:56-03","CPAP","CPAP","14935","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","M. F. M. Valls","Hatschbach, G.","23571","1970","02","15",NA,"Brasil","MS","Batáguassu","Córrego Feio","-52.4221992492676","-21.7141990661621",NA,NA,NA,"AMBIENTE: Cerrado.",NA,NA,"1995",NA,NA,NA,NA,NA,NA,"65610","auto",NA,NA
"10","2020-11-19 10:24:56-03","CPAP","CPAP","292","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","macranthecium","Paspalum macranthecium","Parodi","J. F. M. Valls","Pott, A.","1147","1981","01","01",NA,"Brasil","MS","Corumbá","Fazenda Ipanema; Sub-região da Nhecolândia; Pantanal","-56.783333","-19.066667","90","90",NA,"Erva cespitosa. INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Pioneira em cordilheira (paleodique) desmatada, não alagável. SUBSTRATO: solo arenoso (Podzol Hidromórfico). RELEVO: plano.",NA,NA,NA,NA,NA,NA,"56°47' W","19°04' S",NA,NA,NA,NA,NA
