"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","55453","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.","S. V. Heald; R. Yahr","S. V. Heald","41","1995","09","23","South America","French Guiana","Saül and vicinity. Route de Bélizon, north of Eaux Claires, at old army camp. Ground level, intact canopy overhead with understory open.","-53.2","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055453","NY00055453_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","812795","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.","K. U. Kramer","H. S. Irwin","47710","1960","08","22","South America","Brazil","First cachoeira on rio Iaue, 0.5 km east of confluence with Rio Oiapoque.","-52.37","2.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812795","NY00812795_01","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02687923","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"R. Vásquez Martínez","32477","2007","06","25","South America","Peru","Distrito Villa Rica. Bosque de Protección San Matías-San Carlos, Sector Yulculmas","-75.0697","-10.5892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969481' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687923",NA,"Pasco","Oxapampa","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02554689","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"E. P. Killip","30228","1929","10","23","South America","Brazil","Breves, Amazon estuary",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2819078' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554689","NY02554689_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","812793","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"A. C. Brade","8482","1926","06",NA,"South America","Brazil","Sa Gonso Alto.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812793","NY00812793_01","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02554690","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"A. Schmalz","98","1901","09","15","South America","Brazil","Joinville.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2819080' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554690","NY02554690_01","Santa Catarina",NA,"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","812797","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"R. Frey","777","1990","09","15","South America","Bolivia","Vicinity of Perseverancia, within 1-12km, NE sector adjacent to airstrip.","-63.75","-14.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812797","NY00812797_01","Santa Cruz","Ñuflo de Chávez","285","285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02554692","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"Labroy","7","1913","10","05","South America","Brazil","San José.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2819082' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554692","NY02554692_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","869861","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.","J. T. Mickel","G. T. Prance","7426","1968","09","20","South America","Brazil","East of Rio Tarauacá, 15 km below Tarauacá","-70.7659408","-8.2972518","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869861","NY00869861_01","Acre","Tarauacá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","812794","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anetium","citrifolium","Anetium citrifolium","(L.) Splitg.",NA,"A. Schmalz","24","1901","07","11","South America","Brazil","Pirabeiraba.",NA,NA,"sheet","leg. Schmalz <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812794","NY00812794_01","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
