"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00940052","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","A. Lourteig","W. R. Anderson","9268","1973","04","21","South America","Brazil","Minas Gerais","Rio Pandeiros, ca. 52 km by road W of Janúaria near road to Serra das Araras","-44.83","-15.45","520","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940052","NY00940052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02707729","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.",NA,"L. G. Lohmann","277","1999","06","30","South America","Brazil","Amazonas","Rio Solimões, margem esquerda. Lago Encantado.","-60.416667","-3.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2992453' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707729","NY02707729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2108552","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.",NA,"J. M. Pires","52105","1962","07","12","South America","Brazil","Amapá","Rio Matapi.","-51.4131","0.7133",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2261793' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108552","NY02108552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645170","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","G. G. Hatschbach","G. G. Hatschbach","42113","1979","03","12","South America","Brazil","Bahia","Rio Branco","-44.99","-12.15","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645170","NY00645170_01","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645167","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","S. A. T. Graham","G. Gardner","4131","1838",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645167","NY00645167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01093196","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","A. Schinini","T. M. Pedersen","12262","1978","02","14","South America","Brazil","Mato Grosso do Sul","MT-734, ca. 15 km. NW of Maracajú [Maracaiú].","-55.1681","-21.6144",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230363' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093196","NY01093196_01","Maracaju",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02108551","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.",NA,"C. Davidson","10279","1980","06","13","South America","Brazil","Pará","Lago Sapucua, across Rio Trombetas from Oriximina","-56.0962692","-1.7662257",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2261792' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108551","NY02108551_01","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","573152","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","S. A. T. Graham","C. Figueiredo","567","1995","01","15","South America","Brazil","Acre","Rio Xipamano. Colocaçao Rio Branco.","-67.1856","-10.3356",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573152","NY00573152_01","Plácido de Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645172","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.","A. Lourteig","W. R. Anderson","37003","1972","03","15","South America","Brazil","Bahia","Espigao Mestre. Banks of the Rio Itaguarí and adjacent weedy pastures, ca. 10 km S of Cocos",NA,NA,"530","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645172","NY00645172_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2108555","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","melvilla","Cuphea melvilla","Lindl.",NA,"S. A. Mori","9122","1977","02","26","South America","Brazil","Amazonas","Rio Jandiatuba, from mouth to 10 kms upstream","-68.8493872","-3.4534506",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2261796' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108555","NY02108555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
