"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","day","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-04-05 14:25:06-03","UNESC","CRI","13554","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012161","CRI012161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","7707","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Tais B. Guimarães","2005","11","24","Daniel B. Falkenberg; Tais B. Guimarães","2004","11","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S",NA,NA,"Habito: herbácea","CRI006334","CRI006334","35186","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:01-03","E","E","319949","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,"AR","Provincia de Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00319949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319949",NA,NA,NA,"unspecified kind of","Temperate South America","photograph of unspecified type","BGBASE:326846",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:01-03","E","E","259297","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,"AR",NA,NA,"Morales, La Plata.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259297",NA,NA,NA,"unspecified kind of","Temperate South America","photograph of unspecified type","BGBASE:267829",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:01-03","E","E","264259","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea",NA,NA,NA,NA,NA,"Arnott, George Walker",NA,NA,"AR",NA,NA,"Within tide mark of the La Plata.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00264259 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00264259",NA,NA,NA,"unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:278404",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565286","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don","L. B. Smith",NA,NA,NA,"R. Reitz","1956","01","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565286","NY00565286_01","2446","19",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 11:59:00-03","NY","NYBG","565291","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea",NA,NA,NA,NA,NA,"T. S. Ibarrola","1945","03","Argentina","Corrientes","San Roque","Chavarria, cercanias",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565291",NA,"2790","28",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","565284","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1967","03","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"800","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565284","NY00565284_01","4831","13",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565290","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don",NA,NA,NA,NA,"G. Grazziotin","1993","02","Brazil","Rio Grande do Sul","Sao Francisco de Paula",NA,"-50.5833","-29.4483",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565290","NY00565290_01","8955","18",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"10","2017-02-14 17:18:00-02","NY","NYBG","565289","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea",NA,"T. J. Ayers",NA,NA,NA,"L. R. Landrum","1981","12","Brazil","Paraná","Palmeira","Fazenda Santa Rita, ca. 65 km W of Curitiba on road to Ponta Grossa","-49.83","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565289","NY00565289_01","3944","02",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","565288","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don",NA,NA,NA,NA,"P. K. H. Dusén","1909","04","Brazil","Paraná","Ponta Grossa",NA,"-50.1617","-25.095",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565288","NY00565288_01","7949","04",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","565287","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don","R. McVaugh",NA,NA,NA,"J. E. Leite","1941","12","Brazil","Rio Grande do Sul","Sao Leopoldo","Vicinity of San Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565287","NY00565287_01","671",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","565285","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don","L. B. Smith",NA,NA,NA,"R. Reitz","1965","12","Brazil","Paraná","Guarapuava","Rio Cotinho","-51.4581","-25.3956",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565285","NY00565285_01","17656","15",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","565282","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) Don","R. McVaugh",NA,NA,NA,"G. G. Hatschbach","1969","11","Brazil","Paraná","Piraquara","Pinhaes","-49.157618","-25.419851",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565282","NY00565282_01","23013","21",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:19:18-03","UFRJ","RFA","11009","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) G. Don","R. McVaugh","1971",NA,NA,"G.G. Hatschbach","1969","11","Brasil","Paraná","Piraquara","Pinhaes","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Reptante, radicante; flor alva. Lacticífera","RFA54692",NA,"23013","21",NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"16","2021-03-30 12:36:26-03","EAO","IAN","106478","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) G.Don","Rambo, B",NA,NA,NA,"Sacco, JC da","1959","05","Brasil","Rio Grande do Sul","Pelotas","Terreno úmido. Formando tapete à superfície do solo. Planosolo.","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,"Frequente.","IAN106478",NA,"1168","08",NA,"Southern America",NA,NA,"Dicotiledônea",NA,"51462","auto",NA,NA,NA,NA,NA
"17","2019-10-09 11:12:27-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","(Cham.) D. Don","Schinini, A","1999",NA,NA,"Schinini, A; Ferrucci, MS; Casals Galbany, M; León, AR de","1999","08","Argentina","Corrientes","Dep. San Miguel","Laguna Ipacarapa","-57.55","-28.05","-57.55","-28.05",NA,NA,"postrada, formando césped. Flores blancas, erguidas.; Pastizal inundable al borde de la laguna.",NA,NA,"34941","19",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:47:08-03","NBC","NL-BOTANY","U.1179714","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.",NA,NA,NA,NA,"Lindeman JC","1973","01","Brazil",NA,NA,"Brasil gramado turfoso3 km NW de Torres ao lado da estrada Torres BR 101.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179714","NL-U1179714",NA,"17",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
