"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","identifiedBy","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102292","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pumila","maior","Frailea pumila maior","F.Ritter","holotype","Ritter F","1966","01","01","Southern America","Brazil","Rio Grande do Sul","Brazil, Rio Grande do Sul, Livramento.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102292 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102292","NL-U0102292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:35-03","IAP","PACA-AGP","102283","PreservedSpecimen","Plantae","Magnoliatae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lemaire) Britton & Rose",NA,"M. Machado","2006","11","15",NA,"Brasil","RS","Entrada de Santana do Livramento, BR 293.",NA,"PACA102283",NA,"Magnoliophyta","895","Santana do Livramento","-55.565861","-30.600472","55°33'57,10W","30°36'01,70S","290","290",NA,NA,NA,NA
"3","2013-08-23 04:12:00-03","MO","MOBOT","1455834","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"John A. Shafer","1917","3","8","South America","Argentina","Entre Ríos","Sandy and gravelly knoll,",NA,NA,NA,NA,"Shafer 125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","3045240","PreservedSpecimen","Plantae","Dicotyledonae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila",NA,NA,"J. A. Shafer","1917",NA,NA,"South America","Argentina","Entre Ríos",NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","764818","PreservedSpecimen","Plantae","Dicotyledonae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila",NA,NA,"J. A. Shafer","1917","3","7","South America","Uruguay",NA,NA,NA,NA,NA,NA,"121",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3045242","PreservedSpecimen","Plantae","Dicotyledonae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila",NA,NA,"Collector unknown",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2981841","PreservedSpecimen","Plantae","Dicotyledonae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila",NA,NA,"K. Fiebrig","1920","6",NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","764822","PreservedSpecimen","Plantae","Dicotyledonae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila",NA,NA,"J. A. Shafer","1917","3","8","South America","Argentina","Entre Ríos",NA,NA,NA,NA,NA,"125",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"9","2019-10-07 09:18:39-03","UEFS","HUEFS","104917","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Machado, M.","2005","11","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"HUEFS0104917","HUEFS0104917","Angiospermae","591",NA,"-56.096111","-30.919444","56W5'46''","30S55'10''","241","241",NA,NA,NA,NA
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","104888","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Machado, M.","2005","11","13",NA,"Brasil","Rio Grande do Sul","BR-290 de Alegrete em direção a Uruguaiana, após 39 km junção com a RS-183, dobrar à esquerda (sul) na RS-183, após 43.3 km há uma bifurcação, dobrar à direita (oeste) em direção a Quaraí, após 17.3 km lagedos rasos em ambos os lados da estrada.",NA,"HUEFS0104888","HUEFS0104888","Angiospermae","561","Quaraí","-56.144444","-30.339444","56W8'40''","30S20'22''","244","244",NA,NA,NA,NA
"11","2019-10-07 09:18:39-03","UEFS","HUEFS","104889","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Machado, M.","2005","11","13",NA,"Brasil","Rio Grande do Sul","BR-290 de Alegrete em direção a Uruguaiana, após 39 km junção com a RS-183, dobrar à esquerda (sul) na RS-183, após 27.6 km lagedos rasos à esquerda (leste) da estrada.",NA,"HUEFS0104889","HUEFS0104889","Angiospermae","562","Quaraí","-56.047778","-30.182222","56W2'52''","30S10'56''","222","222",NA,NA,NA,NA
"12","2019-10-07 09:18:39-03","UEFS","HUEFS","104902","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Machado, M.","2005","11","15",NA,"Brasil","Rio Grande do Sul","ca. 4 km de Unistalda em direção a Santiago na BR-287, afloramentos de rochas ígneas à esquerda da estrada.",NA,"HUEFS0104902","HUEFS0104902","Angiospermae","576","Unistalda","-55.105833","-29.048889","55W6'21''","29S2'56''","334","334",NA,NA,NA,NA
"13","2019-10-07 09:18:39-03","UEFS","HUEFS","105022","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Machado, M.","2005","12","06",NA,"Brasil","Rio Grande do Sul","BR-293 de Santana do Livramento em direção a Quaraí, 1.5 km da entrada leste de Santana do Livramento (ca. 2.2 km a leste da entrada oeste de Santana do Livramento), dobra-se à direita (norte) em estrada de terra, após 1 km dobra-se à direita em bifurcação, após 3.8 km km afloramento rochoso à direita da estrada.",NA,"HUEFS0105022","HUEFS0105022","Angiospermae","696","Santana do Livramento","-55.529444","-30.823611","55W31'46''","30S49'25''","250","250",NA,NA,NA,NA
"14","2019-10-07 09:18:39-03","UEFS","HUEFS","105026","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Machado, M.","2005","12","06",NA,"Brasil","Rio Grande do Sul","BR-293 de Santana do Livramento em direção a Quaraí, 1.5 km da entrada leste de Santana do Livramento (ca. 2.2 km a leste da entrada oeste de Santana do Livramento), dobra-se à direita (norte) em estrada de terra, após 1 km dobra-se à direita em bifurcação, após 3.5 km km afloramento rochoso à esquerda da estrada.",NA,"HUEFS0105026","HUEFS0105026","Angiospermae","700","Santana do Livramento","-55.528333","-30.826389","55W31'42''","30S49'35''","239","239",NA,NA,NA,NA
"15","2020-06-26 10:18:24-03","MCN-FZBRS","HAS","79140","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","pumila",NA,"Frailea pumila","(Lem.) Britton & Rose",NA,"Nilson, A.D.","1995","04",NA,NA,"Brasil","Rio Grande do Sul","Rincão da Bolsa",NA,"HAS0079140",NA,"Magnoliophyta","419","Santana do Livramento","-55.5327987670898","-30.8908004760742",NA,NA,NA,NA,NA,"Nilson, A.D.","79795","auto"
