"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:25:56-03","UNESC","CRI","9688","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","A. Stival-Santos","2009","11","23","A. Stival-Santos; E. Legal & S. Silveira","1328","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacional da Serra do Itajaí.","-49.066389","-26.92","49º3'59''W","26º55'12''S","660","660","Floresta Ombrófila Densa Habitat: comum no interior do fragmento Habito: arbustiva","CRI004892","CRI004892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:56-03","UNESC","CRI","9684","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","A. Korte","2010","02","18","A. Korte; A. Kniess","1769","2010","02","18","Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.130556","-27.000278","50º7'50''W","27º0'1''S","802","802","Floresta Ombrófila Densa Habito: arbustiva","CRI004889","CRI004889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:56-03","UNESC","CRI","6548","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","Dolores Bosa","1999","10","17","Dolores Bosa; Magali Romagna",NA,"1999","10","17","Brasil","Santa Catarina","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habito: arbórea","CRI004885","CRI004885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:56-03","UNESC","CRI","3294","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1908","1994","03","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arvoreta","CRI004896","CRI004896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 15:16:32-03","UNESC","CRI","14825","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","Vanilde Citadini-Zanette & Jairo J. Zoche","2000","11","16","Jairo J. Zocche; Rogério & Marinalda",NA,"2000","09","30","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"Habito: Arbóreo","CRI014150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:56-03","UNESC","CRI","3244","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1867","1993","01","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto","CRI004886","CRI004886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:32-03","UNESC","CRI","14843","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","Vanilde Citadini-Zanette","2000","11","11","Jairo J. Zocche; Rogério & Marinalda",NA,"2000","09","30","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S",NA,NA,"Habito: Arbóreo","CRI014177","CRI014177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:56-03","UNESC","CRI","7586","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","Marcelo R. Pasetto","2007","11","08","Marcelo Romagna Pasetto",NA,"2007","11","08","Brasil","Santa Catarina","Siderópolis","Jordão / São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,NA,"CRI004884","CRI004884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:56-03","UNESC","CRI","9686","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","M. Verdi","2009","09","26","M. Verdi; A.L. Tomazi & G. Klemz","2765","2009","09","26","Brasil","Santa Catarina","Jacinto Machado","Cará.","-49.859167","-28.979444","49º51'33''W","28º58'46''S","311","311","Floresta Ombrófila Densa Habito: arbustiva","CRI004894","CRI004894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:56-03","UNESC","CRI","9683","PreservedSpecimen","Plantae","Primulaceae","Ardisia","guianensis","Ardisia guianensis","(Aubl.) Mez","A. L. de Gasper","2010","03","30","A. Stival-Santos; E. Legal & S. Silveira","2229","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI004890","CRI004890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
