"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","locality","preparationType","class","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:13-03","UNESC","CRI","9847","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.","A. L. de Gasper","2009","09","16","A.L. de Gasper; T.J. Cadorin & J. Schmitt","2372","2009","09","16","Brasil","Santa Catarina","Porto Belo","-48.576944","-27.182778","48º34'37''W","27º10'58''S","3","3","Floresta Ombrófila Densa de Terras Baixas Habito: erva terrícola","CRI008184","CRI008184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1040040","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.",NA,NA,NA,NA,"R. P. Belém","3685","1968","06","07","Brazil","Bahia","Una","-39.1952276","-15.2599041",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1501844' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040040","NY01040040_01","Pteridophyta","Polypodiales","South America","Margem do Rio Una","sheet",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1040038","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.","L. Sylvestre",NA,NA,NA,"J. L. Hage","877","1981","06","04","Brazil","Bahia","Canavieiras","-38.9469","-15.6753",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1501841' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040038","NY01040038_01","Pteridophyta","Polypodiales","South America","Ramal a 21 km na Rod. Canavieiras/Una. BA-001. Ramal da Faz. Campo Lúcio.","sheet",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","679295","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.",NA,NA,NA,NA,"A. C. Brade","6908","1914","05","10","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679295","NY00679295_01","Pteridophyta","Polypodiales","South America","S. Amaro.","sheet",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","679296","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.",NA,NA,NA,NA,"M. Wacket","172","1908",NA,NA,"Brazil","São Paulo","Cubatao","-46.4197","-23.89",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679296","NY00679296_01","Pteridophyta","Polypodiales","South America",NA,"sheet",NA,NA,NA,NA,NA
"6","2020-06-29 11:29:05-03","UFRJ","RFA","17084","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.","L. Sylvestre",NA,NA,NA,"T.S. Santos","1150","1970","09","23","Brasil","Bahia","Bahia",NA,NA,NA,NA,NA,NA,"flor em soros marrons","RFA32185",NA,NA,NA,NA,"Sta. Maria Eterna, estrada a Canavieiras",NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:29:05-03","UFRJ","RFA","17090","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad.","L. Sylvestre",NA,NA,NA,"T.S. Santos","1804","1971","08","13","Brasil","Bahia","Bahia",NA,NA,NA,NA,NA,NA,"flor marrom Habito: terrestre","RFA32184",NA,NA,NA,NA,"Sta. Maria Eterna, km 1 a Canavieiras",NA,NA,NA,NA,NA,NA
"8","2021-04-05 09:58:53-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","02407","S","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad","L. Sylvestre",NA,NA,NA,"Behar, L.","229","1988","10","31","Brasil","Espírito Santo","Setiba",NA,NA,NA,NA,NA,NA,"GEOGRAFIA: solo seco da mata no final da barreira de clusia;",NA,NA,"Tracheophyta","Polypodiales","América do Sul","sentido Guarapari km 32",NA,"Polypodiopsida",NA,NA,NA,NA
"9","2021-04-05 09:58:54-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","3554","S","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Bahia","Valença","-39.0731010437012","-13.3703002929688",NA,NA,NA,NA,NA,NA,NA,"Tracheophyta","Polypodiales","América do Sul",NA,NA,"Polypodiopsida","43634","auto",NA,NA
"10","2021-04-05 09:58:54-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","2407","S","Plantae","Aspleniaceae","Asplenium","lacinulatum","Asplenium lacinulatum","Schrad",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Guarapari","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,NA,NA,NA,"Tracheophyta","Polypodiales","América do Sul",NA,NA,"Polypodiopsida","28401","auto",NA,NA
