"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"1","2016-09-29 20:56:00-03","NY","NYBG","00855995","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa","J. F. Pruski","D. C. Daly","D589","1980","10","11","South America","Brazil","Maranhão","Tuntum","Approx 17 km N of Tuntum on MA 259, toward Barra do Corda. On degeneratin dirt road.","-44.67","-5.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00855995","NY00855995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 02:52:00-03","NY","NYBG","01138539","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa","G. M. Barroso","C. C. Berg","666","1977","10","21","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447835' target='other'> <mi>dwc_moreinfo</mi></a>","NY01138539","NY01138539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","330646","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa","H. E. Robinson","M. Silveira","869","1994","09","21","South America","Brazil","Acre","Tarauacá","Bacia do Rio Juruá, Rio Tarauacá. Seringal Universo, Colocaçao Praia do Carapana.","-71.3147","-8.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330646","NY00330646_01","(L.) Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01138540","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa",NA,"W. A. Rodrigues","10269","1980","08","22","South America","Brazil","Pará","Tucuruí","Rio Tocantins, margem do rio, entre Tucuruí e Breu Branco. Solo arenoso. Na praia alta.","-49.6633449","-3.9475977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339646' target='other'> <mi>dwc_moreinfo</mi></a>","NY01138540","NY01138540_01","(L.) Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182094","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa","M. H. Nee","P. G. Delprete","9000","2004","10","30","South America","Brazil","Goiás","Iporá","Parque Ecológico da Cachoeirinha, Junção do Córrego Tamanduá.","-51.1342","-16.4428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397181' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182094","NY01182094_01","(L.) Less.","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 19:01:00-03","NY","NYBG","720012","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa",NA,"N. A. Rosa","2982","1978","12","14","South America","Brazil","Maranhão","Santa Inês","Margem direita do Rio Pindaré, próximo da Rod. BR-316.","-45.38","-3.6669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2527687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720012","NY00720012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","791708","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa",NA,"G. C. P. Pinto","202/83","1983","08","08","South America","Brazil","Bahia",NA,"Curaçá. Folha SC.24-V-B. Ponto 01","-39.95","-9.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791708","NY00791708_01","(L.) Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 13:26:00-03","NY","NYBG","791709","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa","R. L. Liesner","T. B. Croat","20118","1972","09","13","South America","Peru","Loreto",NA,"Isla Iquitos, across Amazon River at Iquitos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01138541","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa",NA,"G. T. Prance","24369","1977","02","11","South America","Brazil","Amazonas",NA,"Manaus. Furo de Xiborena, between rios Solimões and Negro. On muddy river bank.","-59.938885","-3.1862745","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01138541","NY01138541_01","(L.) Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1144450","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Egletes","viscosa","Egletes viscosa","M. H. Nee","T. B. Cavalcanti","1881","1995","10","08","South America","Brazil","Goiás","Niquelândia","Estrada Niquelandia-Rosariana. Area de influencia da UHE Serra da Mesa","-48.52","-14.02","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289895' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144450","NY01144450_01","(L.) Less.","360","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
