"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","coordinatePrecision","geoFlag","class","order","relatedCatalogItem"
"1","2019-10-09 11:12:17-03","UFBA","ALCB","65780","PreservedSpecimen","Plantae","Dicotyledon","Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","Miers ex Benth.","Guedes, ML","2004","04","Guedes, ML; Alunos de Botânica III; Alunos de Botânica III","10961","2004","04","03","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Lages","-41.15","-11.55","-41.15","-11.55","de ca. 30cm. espinhos de ápice vermelhos. Flores passadas. Frutos imaturos vermelhos.; arbustiva-arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-11 17:18:26-03","UFPR","UPCB","92541","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J. Braun & E.Esteves Pereira) N.P. Taylor & Eggli","Soffiatti, P.","2017","01","Fantinati, M.R.","182","2017","01","23",NA,"Brasil","Bahia","Mucugê","Atrás do cemitério Santa Isabel.","-41.376667","-13.006944","-41.376667","-13.006944","Areal em afloramento rochoso. Cacto subgloboso a alongado, ca. 40 cm alt. Espinhos alvos, dourados no ápice","23","1010","1010","UPCB0034156","UPCB0034156",NA,NA,NA,NA,NA
"3","2021-02-11 17:18:26-03","UFPR","UPCB","95399","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J. Braun & E.Esteves Pereira) N.P. Taylor & Eggli","Soffiatti, P.","2017","01","Fantinati, M.R.","182","2017","01","23",NA,"Brasil","Bahia","Mucugê","Atrás do cemitério Santa Isabel.","-41.376667","-13.006944","-41.376667","-13.006944","Areal em afloramento rochoso. Cacto subgloboso a alongado, ca. 40 cm alt. Espinhos alvos, dourados no ápice","23","1010","1010","UPCB0034156","UPCB0034156",NA,NA,NA,NA,NA
"4","2021-03-15 18:26:23-03","USP","SPF","217511","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli","Soffiatti, P","2001","05","Marcato, AC","307","2001","05","17",NA,"Brasil","Bahia","Mucugê","Morro atrás do cemitério Santa Luzia (Bizantinao).","-41.375833","-13.006667","-41.375833","-13.006667","Arbusto ca. 1,5m alt. Folhas verde-claras. Fruto imaturo verde pintalgado de alvo.",NA,"1002","1002","SPF00217511",NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:17:17-03","USP","SPF","49808","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli","Taylor, NP","1993","11","Harley, RM","24522","1987","02","20",NA,"Brasil","Bahia",NA,"Pico das Almas",NA,NA,NA,NA,NA,"30","1950","1950","SPF00049808",NA,NA,NA,NA,NA,NA
"6","2019-11-13 11:17:17-03","USP","SPF","80857","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli","Taylor, NP","1993","11","Harley, RM","27382","1988","12","23",NA,"Brasil","Bahia","Mucugê",NA,"-41.516667","-12.85","-41.516667","-12.85",NA,"30","1250","1250","SPF00080857",NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:17:17-03","USP","SPF","80859","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli","Taylor, NP","1993","11","Harley, RM","25565","1988","12","12",NA,"Brasil","Bahia","Água Quente","Pico das Almas","-41.966667","-13.533333","-41.966667","-13.533333",NA,"30","1850","1850","SPF00080859",NA,NA,NA,NA,NA,NA
"8","2019-11-13 11:17:17-03","USP","SPF","18815","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli","Taylor, NP","1993","11","Furlan, A","CFCR2020","1981","09","07",NA,"Brasil","Bahia","Mucugê",NA,"-41.3708000183105","-13.0052995681763",NA,NA,NA,"30",NA,NA,"SPF00018815",NA,"52493","auto",NA,NA,NA
"9","2019-10-07 09:18:35-03","UEFS","HUEFS","20079","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli","L.P.de Queiroz","1995","12","Queiroz, L.P.de","4384","1995","07","10",NA,"Brasil","Bahia","Abaíra","Catolés 9 km N de Catolés, caminho de Ribeirão de Baixo a Piatã.Encosta. Subida da Serra do Atalho.","-41.833333","-13.033333","41W50'","13S2'","Cerrado na base e campo rupestre mais para cima.",NA,"1200","1450","HUEFS0020079","HUEFS0020079",NA,NA,"Caryophyllanae","Caryophyllales",NA
"10","2019-10-07 09:18:35-03","UEFS","HUEFS","245874","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli",NA,NA,NA,"Cardoso, D.","4349","2018","02","15",NA,"Brasil","Bahia","Morro do Chapéu","Gruta dos Brejões, plot #2 Projeto Nordeste.","-41.410556","-11.02","41W24'38''","11S1'12''","Caatinga árborea, sobre solo arenoso raso com afloramento calcário.",NA,"629","629","HUEFS0245874","HUEFS0245874",NA,NA,"Caryophyllanae","Caryophyllales",NA
"11","2019-10-07 09:18:35-03","UEFS","HUEFS","74850","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis","(P.J.Braun & Esteves) N.P.Taylor & Eggli",NA,NA,NA,"Giulietti, A.M.","2414","2003","04","19",NA,"Brasil","Bahia","Rio de Contas","Kaiambola. Serra da Mesa.","-41.85","-13.383333","41W51'","13S23'","Campo Rupestre. Solo arenoso.",NA,"1564","1564","HUEFS0074850","HUEFS0074850",NA,NA,"Caryophyllanae","Caryophyllales",NA
"12","2020-07-23 12:01:16-03","CEPLAC","CEPEC","47008","PreservedSpecimen","Plantae",NA,"Cactaceae","Arrojadoa","bahiensis","Arrojadoa bahiensis",NA,"N. P. Taylor",NA,NA,"R. M. Harley","27382","1988","12","23",NA,"Brasil","Bahia","MUCUGÊ","27Km da cidade, a 1Km a leste, Rod. Mucugê/Guiné.","-41.516667","-12.85","41W31'","12S51'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
