"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:18-03","E","E","296666","PreservedSpecimen","Plantae","Salicaceae","Casearia","prunifolia","Casearia prunifolia","isotype","Matthews, Andrew","1649","W. Tropical South America","PE","Departamento Amazonas","Yambrasbamba","herbarium specimen of unspecif","BGBASE:313892","<a href=http://data.rbge.org.uk/herb/E00296666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","756054","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"A. F. Mello","s.n.","South America","Brazil","Acre","estrada Boa Vista-Caracaraí km 54","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756054","Magnoliophyta","Malpighiales","Jacq.","H. O. Sleumer","1962","03","09","Rio Branco","-67.81","-9.97472","NY00756054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374736","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"J. A. Kallunki","592","South America","Brazil","Espírito Santo","Forest behind Faz. Lagoa Nova, reached by 23 km from bridge a W edge of Linhares on rd. to Bananal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374736","Magnoliophyta","Malpighiales","Jacq.","J. A. Kallunki","1994","02","20","Rio Bananal","-40.2","-19.28","NY00374736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","677551","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"D. C. Daly","9270","South America","Brazil","Acre","Basin of Rio Purus, Rio Iquiri, downstream from intersection with BR-364 highway.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00677551","Magnoliophyta","Malpighiales","Jacq.","R. L. Liesner","1997","03","06","Senador Guiomard","-67.53","-10.07","NY00677551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","756055","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"B. A. Krukoff","5457","South America","Brazil","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756055","Magnoliophyta","Malpighiales","Jacq.","H. O. Sleumer",NA,NA,NA,NA,"-69","-9.33","NY00756055_01 NY00756055_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","374738","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"B. J. Pickel","3782","South America","Brazil","Pernambuco","Russinha","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374738","Magnoliophyta","Malpighiales","Jacq.","H. O. Sleumer","1935","02","12","Gravatá","-35.457142","-8.153969","NY00374738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2149796","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"W. A. Ducke","1578","South America","Brazil","Amazonas","Ad ripas inundatas Paraná de Tonantins.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2303861' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149796","Magnoliophyta","Malpighiales","Jacq.",NA,"1944","02","15","Tonantins","-67.78","-2.78","NY02149796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2149809","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"G. T. Prance","24600","South America","Brazil","Amazonas","Igarapé Camatiá.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2303887' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149809","Magnoliophyta","Malpighiales","Jacq.",NA,"1977","02","27","São Paulo de Olivença","-69.0061","-3.465","NY02149809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","756053","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"G. T. Prance","2906","South America","Brazil","Acre","Rio Jurua, north bank, opposite Cruziero do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756053","Magnoliophyta","Malpighiales","Jacq.","M. Freitas","1966","10","27","Cruzeiro do Sul","-72.6697","-7.6311","NY00756053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00896919","PreservedSpecimen","Plantae","Salicaceae","Casearia","aculeata","Casearia aculeata",NA,"G. T. Prance","58550","South America","Brazil","Tocantins","West bank of Rio Tocantins, 8 km. north of Filadélfia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896919","Magnoliophyta","Malpighiales","Jacq.","H. O. Sleumer","1964","08","04","Filadélfia","-47.517972","-7.286786","NY00896919_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
