"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","locality","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","county","identifiedBy","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2016-09-30 22:24:00-03","NY","NYBG","02429770","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","erythema","Xyris erythema","K. J. Wurdack","5864","2012","06","08","South America","Guyana","Cuyuni-Mazaruni","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2696623' target='other'> <mi>dwc_moreinfo</mi></a>","NY02429770","NY02429770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 13:42:00-03","NY","NYBG","246934","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","erythema","Xyris erythema","S. S. Tillett","45074","1960","08","10","South America","Guyana",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246934","NY00246934_01","holotype","Upper Mazaruni River Basin. Above Thompson Camp. Mt. Ayanganna.","1418","1525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 22:24:00-03","NY","NYBG","02429769","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","erythema","Xyris erythema","K. J. Wurdack","5854","2012","06","07","South America","Guyana","Cuyuni-Mazaruni","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2696622' target='other'> <mi>dwc_moreinfo</mi></a>","NY02429769","NY02429769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02109053","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fallax","Xyris fallax","J. M. Pires","6228","1956","12","14","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2275322' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109053","NY02109053_01",NA,"Serra do Cachimbo.","425","425","Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 22:24:00-03","NY","NYBG","01169637","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","falax","Xyris falax","M. F. Torres","AMB323","2012","09","25","South America","Colombia","Meta","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2696581' target='other'> <mi>dwc_moreinfo</mi></a>","NY01169637","NY01169637_01",NA,NA,NA,NA,NA,"La Macarena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02647085","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fallax","Xyris fallax","B. Maguire","41849","1957","10","12","South America","Colombia","Guainía","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2956575' target='other'> <mi>dwc_moreinfo</mi></a>","NY02647085",NA,NA,"Rio Guainia, Sabanita 0.5-1.5 km. north Puerto Colombia (opposite Maroa)","130",NA,"Malme","Puerto Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","503289","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fallax","Xyris fallax","R. M. Harley","18804","1977","02","17","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503289","NY00503289_01",NA,"2-3 km approximately SW of Mucugé on the road to Cascavel","950","950","Malme","Mucugê","M. das G. L. Wanderley","-41.4","-13.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 00:18:00-03","NY","NYBG","503191","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fallax","Xyris fallax","R. E. Schultes","18193","1952","10","31","South America","Colombia","Guainía","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503191",NA,NA,"Puerto Colombia (opposite Venezuelan town of Maroa) and vicinity","243.8","259.1",NA,"Puerto Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02108844","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fallax","Xyris fallax","J. M. Pires","6228","1956","12","14","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2275288' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108844","NY02108844_01",NA,"Serra do Cachimbo.","425","425","Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02109052","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fallax","Xyris fallax","C. A. Cid Ferreira","8865","1987","04","19","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2275321' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109052","NY02109052_01",NA,"localidade de Abunã, próximo a antiga estrada de ferro Abunã - Mutumparaná a 02 Km de Abunã.",NA,NA,"Malme","Porto Velho",NA,"-65.333333","-9.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
