"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02283031","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","W. Milliken","223","1987","05","16","South America","Brazil","Roraima","SEMA Ecological Reserve, ilha de Maracá.","-61.43","3.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458696' target='other'> <mi>dwc_moreinfo</mi></a>","NY02283031","NY02283031_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2063292","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","E. Guimarães","16","1997","07","12","South America","Brazil","Mato Grosso do Sul","Pantanal do Miranda-Abrobral. Passo do Lontra. Rodovia MS 184, Fazenda São Bento, após a primeira porteira, próximo a 11 ponte, no sentido Rio Miranda-Corumbá","-57.0414","-19.5131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364946' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063292","NY02063292_01","Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00838086","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","E. Guimarães","80","1998","07","19","South America","Brazil","Mato Grosso do Sul","Passo do Lontra. Pantanal do Miranda-Abrobral, MS 184, próximo à Fazenda Búfalo-EMBRAPA.","-57.5","-19","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838086","NY00838086_01","Corumbá","E. Guimarães",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00877616","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","W. W. Thomas","4587","1985","10","25","South America","Brazil","Mato Grosso","Pantanal. 7-12 km SW of Rio Cassangé on road to Porto Jofre (MT060).","-56.95","-16.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877616","NY00877616_01","Poconé","R. R. Haynes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00877615","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","L. M. M. Carreira","876","1983","05","07","South America","Brazil","Mato Grosso","Estrada para a Fazenda Arrozal km 5 da estrada Vila Bela-Pontes e Lacerda.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877615","NY00877615_01","Vila Bela de Santíssima Trindade","C. S. Rosário",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02283030","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","B. L. Stannard","697","1987","03","12","South America","Brazil","Roraima","Reserva Ecológica de Maracá. Ilha de Maracá.","-61.83","3.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458695' target='other'> <mi>dwc_moreinfo</mi></a>","NY02283030","NY02283030_01","Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","393788","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","T. Morong","1039","1888","05",NA,"South America","Paraguay",NA,"Great laguna on the Pilcomayo River",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393788",NA,NA,"R. R. Haynes; L. B. Holm-Nielsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","393786","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","G. Davidse","3941","1973","11","10","South America","Venezuela",NA,"Guarico: 3 km N of San fernando de Apure along main hwy. to Calabozo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393786",NA,NA,"R. R. Haynes; L. B. Holm-Nielsen","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","311449","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus dubius","Fassett","E. P. Killip","6218","1922","06","02","South America","Colombia","Valle del Cauca","Cauca Valley, Guanabanal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00311449","NY00311449_01",NA,"R. R. Haynes; L. B. Holm-Nielsen","1020","1040","dubius","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393789","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","R. M. Harley","17446","1974","03","26","South America","Brazil","Bahia","On S.W. outskirts of town. Alt sea level","-38.88","-15.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393789","NY00393789_01","Belmonte","R. R. Haynes; L. B. Holm-Nielsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","645258","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Echinodorus","paniculatus","Echinodorus paniculatus","Micheli","J. G. Jardim","3407","2001","04","02","South America","Brazil","Bahia","Malhada: Rod. para o Distrito de Cana Brava, 3.5 km ao S da cidade. Dos Baixadões do Rio São Francisco","-43.7539","-14.3617","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645258","NY00645258_01",NA,"R. R. Haynes","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
