"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","386917","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","L. Y. T. Westra","J. C. Lindeman","880","1966","04","03","South America","Brazil","Paraná","Sao Tomé","Fazenda Lagoa, S. of Rio Ivaí, ca. 15 km E. of Sao Tomé","-52.5906","-23.5381","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386917","NY00386917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386914","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","P. A. Fryxell","M. G. da Silva","3742","1978","11","15","South America","Brazil","Pará","Itaituba","Km 70 da estrada Itaituba, Jacareacanga, parque Nacional do Tapajós(I.B.D.F) reserva Biológica. Beira do lago dos Sapos, artificial","-55.059354","-3.3969062","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386914","NY00386914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02099643","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.",NA,"H. T. Beck","183","1987","10","24","South America","Brazil","Pará",NA,"Ilha de Marajó, Rio Gipurú, a tributary of the Rio Anajas.","-50.5","-0.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2239047' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099643","NY02099643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 04:09:00-03","NY","NYBG","386915","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius",NA,NA,"T. M. Pedersen","6444","1962","02",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Sata Teresa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386916","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","O. J. Blanchard, Jr.","G. G. Hatschbach","14265","1966","04","28","South America","Brazil","Paraná","Cianorte","Fda. Lagoa","-52.6047","-23.6633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386916","NY00386916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00942267","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","O. J. Blanchard, Jr.","H. S. Irwin","6448","1964","09","30","South America","Brazil","Mato Grosso",NA,"Garapú.","-52.57","-13.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942267","NY00942267_01","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02099642","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.",NA,"S. A. Mori","21761","1991","07","17","South America","Brazil","Amazonas",NA,"Rio Solimoes, Lago Janauaca.","-60.283333","-3.466667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2239046' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099642","NY02099642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","476459","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hibiscus","sororius","Hibiscus sororius","L.","P. A. Fryxell","D. C. Daly","8841","1996","05","04","South America","Brazil","Acre","Mâncio Lima","Basin of Rio Juruá, Rio Moa, Volta da Aurora","-72.9722","-7.5097","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476459","NY00476459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-10 21:43:25-03","UNEMAT","TANG","5682","S","Plantae",NA,NA,"Malvaceae","Hibiscus","sororius","Hibiscus sororius","L. F.","Zanin, HRW","Zanin, HRW","376","2015","04","29",NA,"Brasil","Mato Grosso","Nova Canaã do Norte","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado. Lote E de supressão.","-55.613547","-10.979706",NA,NA,"TANG000005682",NA,"376","376","2015","04","29","-55.613547","-10.979706",NA,NA,NA,NA,NA,NA,NA
"10","2018-08-28 10:13:05-03","UNEMAT","TANG","539","S","Plantae",NA,NA,"Malvaceae","Hibiscus","sororius","Hibiscus sororius","L. F.",NA,"Koch, AK; Santos, MC","s.n.","2007","04","25",NA,"Brasil","Mato Grosso","Tangará da Serra","Serra Tapirapuã","-57.4858016967773","-14.6194000244141",NA,"folhas simples, alternas, arbustivo","TANG000000539",NA,NA,NA,NA,NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA
