X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,phylum,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,verbatimLongitude,verbatimLatitude,continentOcean,class,order,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"3",2020-11-04 11:12:03-03,ESALQ,ESA,"75375",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,J.Baitello,NA,NA,NA,NA,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2156.0","2001","04","12",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. 23o59'S, 46o42'W. Ca. 700-800m.s.m. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.",-46.6300010681152,-23.5400009155273,"53584",auto,Magnoliophyta,"700","700","Árvore, ca. 8m alt. Folhas com face abaxial ferrugíneas (principalmente as mais jovens), flores creme. Interior de mata de encosta.",ESA075375,ESA075375,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7,-23.983333,"9",2021-03-01 16:32:36-03,UNICAMP,UEC,"121509",S,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,Baitello,NA,NA,NA,NA,"Farah, FT; Aguiar, S; Breier, TB; Rodrigues, RR; Souza, VC; Tamashiro, JY","2156","2001","04","12",Brazil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco.",-46.7,-23.983333,NA,NA,Magnoliopsida,"700","800","Árvore, ca. 8 m alt. Folhas com face abaxial ferrugíneas (principalmente as mais jovens), flores creme.; Transição Floresta Altomontana-Floresta de encosta com campos adjacentes. Interior da mata de encosta.",UEC079999,UEC079999,"-46.7","-23.983333",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"14",2021-03-01 16:32:36-03,UNICAMP,UEC,"172433",S,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,Baitello,"Baitello, JB","2002","12","17","Baitello, JB","1641","2002","12","17",Brazil,São Paulo,São Paulo,"Parque estadual da Serra do Mar, núcleo Curucutu.",-46.6300010681152,-23.5400009155273,"53584",auto,Magnoliopsida,"800","950","Árvore mediana, folhas fortemente discolores, frutos de coloração marrom dourada.; Solos úmidos ou drenados.",UEC084777,UEC084777,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"17",2020-12-21 16:31:04-03,MBM,MBM,"269234",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,J.B. Baitello,NA,NA,NA,NA,"Farah, F.T.; et al.; et al.","2156","2001","04","12",Brazil,São Paulo,São Paulo,Parque Estadual da Serra do Mar,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,MBM269234,MBM269234,NA,NA,Southern America,NA,NA,NA,SÃO PAULO,"3550308"
-46.4199981689453,-23.8899993896484,"18",2020-07-10 09:46:41-03,MBML,MBML-HERBARIO,"37375",NA,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,J.B.Baitello,J.B.Baitello/03-05-2001,"2001","05","03",J.B.Baitello,"989","2001","05","03",Brasil,São Paulo,Cubatão,"Parque Estadual da Serra do Mar, Rodovia Imigrantes, km.42",-46.4199981689453,-23.8899993896484,"15123",auto,NA,NA,NA,"Arvoreta 8m altura, flores ferrugíneas",MBML037375,MBML037375,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4199981689453,-23.8899993896484,"20",2021-02-25 10:12:39-03,CVRD,CVRD,"14650",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,Baitello,J.B. Baitello,"2001","05","30","Baitello, J.B.","990","2001","05","03",BRASIL,SP,Cubatão,NA,-46.4199981689453,-23.8899993896484,"15123",auto,Magnoliophyta,NA,NA,"Rodovia Imigrantes, km 42. <ll>dwc_commonname:</ll> Canela ferrugem",CVRD014650,CVRD014650,NA,NA,América do Sul,Magnoliopsida,Laurales,NA,CUBATÃO,"3513504"
-46.7,-23.983333,"21",2019-11-13 11:21:09-03,USP,SPF,"168573",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,Baitello,"Assis, LCS","2005","04",NA,"Farah, FT","2156","2001","04","12",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco.",-46.7,-23.983333,NA,NA,NA,"700","800",NA,SPF00168573,NA,"-46.7","-23.983333",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.738722,-23.999556,"22",2019-11-13 11:21:09-03,USP,SPF,"202666",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,Baitello,"Assis, LCS","2011","05",NA,"Assis, LCS","1194","2006","11","27",Brasil,São Paulo,Itanhaém,"Parque Estadual da Serra do Mar, Núcleo Curucutu.",-46.738722,-23.999556,NA,NA,NA,"775","775",NA,SPF00202666,NA,"-46.738722","-23.999556",NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.6300010681152,-23.5400009155273,"23",2019-11-13 11:21:09-03,USP,SPF,"166539",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,Baitello,"Garcia, RJF","2001","11",NA,"Affonso, P","540","2011","08","17",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Mirante (10 m do marco do Mirante).&nf;Coordenadas: X = 322960 - Y = 7346102.",-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,SPF00166539,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.4199981689453,-23.8899993896484,"24",2019-10-07 09:23:02-03,UEFS,HUEFS,"178403",PreservedSpecimen,Plantae,Lauraceae,Ocotea,curucutuensis,Ocotea curucutuensis,J.B. Baitello,NA,NA,NA,NA,"Baitello, J.B.","989","2001","05","03",Brasil,São Paulo,Cubatão,"Parque Estadual da Serra do Mar, rodovia imigrantes, Km 42.",-46.4199981689453,-23.8899993896484,"15123",auto,Angiospermae,NA,NA,NA,HUEFS0178403,HUEFS0178403,NA,NA,NA,Magnolianae,Laurales,NA,CUBATÃO,"3513504"
