X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,locality,identifiedBy,recordNumber,yearIdentified,monthIdentified,dayIdentified,occurrenceRemarks,coordinatePrecision,geoFlag,continentOcean,preparationType,previousCatalogNumber,phylum,order,class,relatedCatalogItem,infraspecificEpithet,individualCount,fieldNumber,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"10",2021-03-15 16:37:00-03,NY,NYBG,"1017941",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,C. L. Abreu,"1978","06","12",Brazil,São Paulo,São Paulo,-46.63,-23.5403,NA,NA,NA,NA,NY01017941,NY01017941_01,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica. Área 26, coletado no brejo natural perto do lago grande.",P. J. M. Maas,"323",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233448' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.88,-23.1703,"16",2021-03-15 16:37:00-03,NY,NYBG,"885215",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"585","585",NY00885215,NY00885215_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 9.6 km SSE em linha reta da praça principal de São José dos Campos.","L. B. Smith; S. F. Smith","277",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982228' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.88,-23.1703,"22",2021-03-15 16:37:00-03,NY,NYBG,"885213",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"550","550",NY00885213,NY00885213_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 8.0 km SW em linha reta da praça principal de São José dos Campos. Próxima do corrego da Ressaca.","L. B. Smith; S. F. Smith","273",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982226' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.63,-23.5403,"31",2021-03-15 16:37:00-03,NY,NYBG,"1017942",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,C. L. Abreu,"1978","06","12",Brazil,São Paulo,São Paulo,-46.63,-23.5403,NA,NA,NA,NA,NY01017942,NY01017942_01,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica. Área 26, coletado no brejo natural perto do lago grande.",P. J. M. Maas,"323",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233450' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.88,-23.1703,"39",2021-03-15 16:37:00-03,NY,NYBG,"885212",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"550","550",NY00885212,NY00885212_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 8.0 km SW em linha reta da praça principal de São José dos Campos. Próxima do corrego da Ressaca.","L. B. Smith; S. F. Smith","273",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982225' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.88,-23.1703,"41",2021-03-15 16:37:00-03,NY,NYBG,"885214",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J.Koenig,I. Mimura,"1962","02","10",Brazil,São Paulo,Sao José dos Campos,-45.88,-23.1703,NA,NA,"585","585",NY00885214,NY00885214_01,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 9.6 km SSE em linha reta da praça principal de São José dos Campos.","L. B. Smith; S. F. Smith","277",NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982227' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,South America,sheet,NA,Magnoliophyta,Zingiberales,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.5299987792969,-23.6599998474121,"72",2019-12-12 15:31:51-03,UFABC,HUFABC,"000071",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,J. Koenig,"Vitorino, D A","2011","03","02",Brasil,São Paulo,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,HUFABC000071,HUFABC000071,"Parque Regional da Criança, Entre a área de exercicios e o lago.","Vitorino, DA","36",NA,NA,NA,"Herbácea com caule grosso, verde com escapos cilíndricos. Folhas simples, alternas e verdes. Folhas Brancas e perfumadas.","27258",auto,NA,NA,NA,Angiospermas,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-45.39,-23.46,"187",2020-11-04 11:21:01-03,ESALQ,ESA,"79110",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,Koening,"Souza, J.P.; Mendes, J.C.T.; Ferraz, K.M.B.; Ferraz, S.F.B.; Silva, E.V.; Valente, R.; Rocha, E.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","2000","04","23",Brasil,São Paulo,São Sebastião,-45.39,-23.46,"-45.39","-23.46","10","10",ESA079110,NA,"Praia da Baleia, Rua Olavo Pazzanesi, 100 m da antiga Rio - Santos, remanescente margeando loteamentos. Interior de Caxetal com perturbação.","Souza, V.C.","3419.0",NA,NA,NA,"Erva, 1,5m alt.; inflorescências passadas",NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-47.55923,-24.16624,"193",2020-11-04 11:21:01-03,ESALQ,ESA,"128331",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,NA,"Cabral, F.N.","2013","03","28",Brasil,São Paulo,Juquiá,-47.55923,-24.16624,"-47.55923","-24.16624",NA,NA,ESA128331,NA,"Trilha da Casa da Pedra, UHE da Serraria, Floresta Ombrófila Densa","Souza, V.C.","854.0","2013","03","28",Com flor com pétala creme e um estaminódio enorme.,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-47.55923,-24.16624,"195",2020-11-04 11:21:01-03,ESALQ,ESA,"123406",PreservedSpecimen,Plantae,Zingiberaceae,Hedychium,coronarium,Hedychium coronarium,NA,"Cabral, F.N.","2013","03","28",Brasil,São Paulo,Juquiá,-47.55923,-24.16624,"-47.55923","-24.16624","480","480",ESA123406,NA,"Trilha da Casa da Pedra, UHE da Serraria, Floresta Ombrófila Densa","Souza, V.C.","854.0","2013","03","28",Com flor com pétala creme e um estaminódio enorme.,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
