X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,infraspecificEpithet,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,relatedCatalogItem,typeStatus,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"2",2016-09-28 15:35:00-03,NY,NYBG,"376544",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,NA,F. C. Hoehne,"2515","1918","10","19",South America,Brazil,São Paulo,Sao Paulo,Ipiranga,-46.63,-23.5403,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164016' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376544,NY00376544_01,R. C. Forzza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.88,-23.1703,"5",2021-03-15 16:37:00-03,NY,NYBG,"376545",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,I. Mimura,"556","1962","09","12",South America,Brazil,São Paulo,Sao José dos Campos,"6,8-7,2 km ao SSE em linha reta da praça principal de Sao Jose dos Campos. Dentro de 100 m ao oeste da estrada para Paraibuna",-45.88,-23.1703,"635","635",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164012' target='other'> <mi>dwc_moreinfo</mi></a>,NY00376545,NY00376545_01,G. Eiten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.705178,-23.343414,"21",2019-12-12 15:31:38-03,UFABC,HUFABC,"002048",PreservedSpecimen,Plantae,Angiospermas,NA,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,"Keller V.C.; Sérgio Tadeu Meirelles","339","2018","10","02",NA,Brasil,São Paulo,Franco da Rocha,"Parque Estadual do Juquery, Campo nativo no lado esquerdo da estrada próximo à bifurcação após a torre de observação do setor B",-46.705178,-23.343414,NA,NA,NA,Erva,HUFABC002048,NA,NA,NA,NA,NA,NA,"-46.705178","-23.343414",NA,NA,NA,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.5499992370605,-23.1100006103516,"30",2020-11-04 11:03:56-03,ESALQ,ESA,"11201",PreservedSpecimen,Plantae,Magnoliophyta,NA,Bromeliaceae,Dyckia,pseudococcinea,Dyckia pseudococcinea,L.B. Smith,"Bernacci, L.C. et al.","28400.0",NA,NA,NA,NA,Brasil,São Paulo,Atibaia,NA,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,ESA011201,ESA011201,NA,NA,NA,NA,NA,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.5499992370605,-23.1100006103516,"42",2021-01-14 15:25:52-03,MN,R,"32477",PreservedSpecimen,Plantae,NA,NA,Bromeliaceae,Dyckia,pseudococcinea,Dyckia pseudococcinea,L.B. Sm.,"Foster, M.B. 348; Foster, R.",NA,"1939","08","15",NA,Brasil,São Paulo,Atibaia,NA,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,R010005713,NA,"Smith, L.B.",NA,"1951","09",NA,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.6300010681152,-23.5400009155273,"57",2019-02-15 11:35:36-02,IPA,IPA,"9124",S,Plantae,Plantae,NA,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,"Pickel, B.","5479","1941","11","10",Southern America,Brasil,São Paulo,São Paulo,Bosque. Terrestre em campo alto.,-46.6300010681152,-23.5400009155273,NA,NA,NA,Flores e infl. vermelhas.,IPA0009124,NA,Andrade-Lima,NA,"1964","01","13",NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"61",2019-11-21 14:32:46-03,UFJF,CESJ,"182",PreservedSpecimen,Plantae,Angiosperma,NA,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,L. Krieger,CESJ182,"1942","06","27",América do Sul,Brasil,São Paulo,São Paulo,Santo Amaro,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,CESJ000182,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5499992370605,-23.1100006103516,"72",2021-03-01 16:19:02-03,UNICAMP,UEC,"62922",S,Plantae,Liliopsida,NA,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,"Bernacci, LC","28400",NA,NA,NA,NA,Brazil,São Paulo,Atibaia,Parque Municipal da Grota Funda.,-46.5499992370605,-23.1100006103516,"900","1400",NA,"Erva rupícola, rosetada. Cerca de 20-30 m de altura. Folhas de coloração acinzentada muito coriáceas e espinhos duros. Flores alaranjadas. Ocorrente na Pedra Grande, lageado grande e exposto.; Mata Mesófila de Altitude com afloramentos",UEC005046,UEC005046,"Santos-Silva, F",NA,"2016","02","24",NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.5499992370605,-23.1100006103516,"73",2021-03-01 16:19:02-03,UNICAMP,UEC,"48721",S,Plantae,Liliopsida,NA,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,"Hutchison, PC; Páffaro, JL","8948","1985","08","22",NA,Brazil,São Paulo,Atibaia,"Pedra Grande summit, common on granite slopes overlooking town.",-46.5499992370605,-23.1100006103516,NA,NA,NA,"Leaves cinereus below and / orglabrous above, aspect green to white. Flowers orange.",UEC005045,UEC005045,"Santos-Silva, F",NA,"2016","02","24",NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.5499992370605,-23.1100006103516,"74",2021-03-01 16:19:02-03,UNICAMP,UEC,"90431",S,Plantae,Liliopsida,NA,Bromeliaceae,Dyckia,tuberosa,Dyckia tuberosa,(Vell.) Beer,"Tozzi, AMGA; Altino, AH; Veríssimo, RV; Javaroni, E; Rigo, CR; Tomé, D; Stukart, G","9742","1997","05","07",NA,Brazil,São Paulo,Atibaia,Topo da Pedra Grande.,-46.5499992370605,-23.1100006103516,NA,NA,NA,Sobre rocha. Erva.,UEC043694,UEC043694,NA,NA,NA,NA,NA,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
