X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,individualCount,fieldNumber,class,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.621883,-23.654505,"3",2021-03-15 16:37:00-03,NY,NYBG,"783935",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,T. S. d. Silva,T. S. d. Silva,"160","1974","02","22",South America,Brazil,São Paulo,Sao Paulo,Parque Estadual das Fontes do Ipiranga,-46.621883,-23.654505,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623800' target='other'> <mi>dwc_moreinfo</mi></a>,NY00783935,NY00783935_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"8",2020-12-20 21:19:02-03,UFV,VIC,"051147",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,NA,"Sendulsky, T.","1339","1979","01","10",NA,Brasil,São Paulo,São Paulo,Reserva Biológica parque Estadual fontes do Ipiran,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,VIC051147,VIC051147,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"14",2019-08-20 10:01:37-03,UNICAMP,UEC,"73382",S,Plantae,Liliopsida,NA,Poaceae,Paspalum,plenum,Paspalum plenum,M.W.Chase,NA,"Sendulsky, T","1339","1974","01","10",NA,Brazil,São Paulo,São Paulo,"Parque Estadual das Fontes do Ipiranga, Reserva Biológica.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,UEC088484,UEC088484,"1995","10",NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"17",2020-12-21 16:40:50-03,MBM,MBM,"417550",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,"Gomes, M.J.I.R.","Sendulsky, T.","1339","1974","01","10",Southern America,Brazil,São Paulo,São Paulo,Parque Estadual das Fontes do Ipiranga,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM417550,MBM417550,"1991",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6199989318848,-23.6800003051758,"115",2020-09-02 16:37:32-03,Cenargen,CEN,"29074",PreservedSpecimen,Plantae,NA,NA,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,NA,Theophilo Salem da Silva - SP,"234","1976","01","25",NA,Brasil,SP,DIADEMA,Vila Eldorado,-46.6199989318848,-23.6800003051758,NA,NA,Exsicatas,Geralmente geniculada na base. Formando densa touceira. Doação do Instituto de Botânica - SP.,CEN00029074,CEN00029074,NA,NA,NA,NA,NA,"6489",auto,"1",NA,NA,NA,DIADEMA,"3513801"
-46.6300010681152,-23.5400009155273,"120",2019-10-07 09:22:24-03,UEFS,HUEFS,"245544",PreservedSpecimen,Plantae,Angiospermae,Poales,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,NA,"Sendulsky, T.","1339","1974","01","10",NA,Brasil,São Paulo,São Paulo,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,HUEFS0245544,HUEFS0245544,NA,NA,NA,NA,NA,"53584",auto,NA,NA,Lilianae,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"128",2019-11-01 15:16:58-03,UnB,UB,NA,PreservedSpecimen,Plantae,Monocotyledonae,NA,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,"Pimenta, KM","Skvortzov, B","209","1964","01","05",Southern America,Brasil,São Paulo,São Paulo,"Mun. de São Paulo: ca. 10 kmdue south of center of SÃO PAULO. Parque do Estado, grounds of the instituto de Botânica",-46.6300010681152,-23.5400009155273,NA,NA,NA,Moist soil along a brook,UB0023133,UB0023133,"2012","08","07",NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"129",2019-05-06 12:01:44-03,UFU,HUFU,"76244",S,Plantae,NA,NA,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,"Gomes, M.J.I.R.","Sendulsky, T.","1339","1974","01","10",NA,Brasil,São Paulo,São Paulo,Parque Estadual das Fontes do Ipiranga,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,HUFU00074360,HUFU00074360,"1999",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"130",2020-08-20 20:41:37-03,UFSC,FLOR,"64471",PreservedSpecimen,Plantae,NA,Poales,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,"Gomes, M.J.I.R.","Sendulsky, T.","1339","1974","01","10",NA,Brasil,São Paulo,São Paulo,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,FLOR0064471,FLOR0064471,"1991",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.039444,-23.392222,"131",2021-03-04 15:42:13-03,IF,SPSF,"53111",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Paspalum,plenum,Paspalum plenum,Chase,R.T.Shirasuna,S.Aragaki & M.Kirizawa & E.P.Fortes,"1250","2013","02","01",América do Sul,Brasil,SP,Arujá,NA,-46.039444,-23.392222,NA,NA,NA,"COLETA: Erva com aprox. 1m de altura. Flores creme-esverdeadas.; GEOGRAFIA: Floresta secundária com predomínio de Protium heptaphyllum e Rubiáceas no sub-bosque.;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liliopsida,NA,GUARAREMA,"3518305"
