X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,recordNumber,year,month,day,locality,minimumElevationInMeters,maximumElevationInMeters,phylum,class,order,continentOcean,preparationType,coordinatePrecision,geoFlag,relatedCatalogItem,relationshipType,individualCount,fieldNumber,typeStatus,NM_MUNICIP,CD_GEOCMU
-48.03,-24.27,"15",2021-03-15 16:37:00-03,NY,NYBG,"00567871",PreservedSpecimen,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,Mart.,NA,NA,NA,NA,H. Q. B. Fernandes,Brazil,São Paulo,Sete Barras,-48.03,-24.27,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607214' target='other'> <mi>dwc_moreinfo</mi></a>,NY00567871,NY00567871_01,"3227","1997","07","25",Parque Estadual Intervales. Trilla do Quilombo (ao do Aracá),"100","270",Magnoliophyta,NA,Arecales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.216667,-24.05,"131",2021-03-01 16:19:01-03,UNICAMP,UEC,"71632",S,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,Mart.,NA,NA,NA,NA,"Pirani, JR; Garcia, RF",Brazil,São Paulo,Miracatu,-47.216667,-24.05,"-47.216667","-24.05","Estipe 15m alt. Infrutescência infra-foliar (abaixo do capitel), patentes, eixo amarelado, frutos imaturos verdes-lustrosos. Frequente no inteior da mata.; Floresta Tropical pluvial Atlântica de encosta.",UEC161714,UEC161714,3136a,"1994","04","20","Fazenda Itereí, Serra de Paranapiacaba. BR 116 Km 350. Trilha do morro Yolanda.","550","600",Liliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-47.216667,-24.05,"132",2021-03-01 16:19:01-03,UNICAMP,UEC,"71633",S,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,Mart.,NA,NA,NA,NA,"Pirani, JR; Garcia, RF",Brazil,São Paulo,Miracatu,-47.216667,-24.05,"-47.216667","-24.05","Estripe 15m alt. Infrutecência infra-foliar (abaixo do capitel), patentes, eixo amarelado; fruto imaturos verdes-lustrosos. Frequente no interior da mata.; Floresta tropical pluvial Atlântica de enconsta. Trilha do Morro Yolanda (550",UEC161405,NA,"3136","1994","04","20","Fazenda Itereí, Serra de Paranapiacaba, BR 116 Km.","550","600",Liliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-46,-23.5833333,"263",2012-12-07 12:45:00-02,MO,MOBOT,"288791",PreservedSpecimen,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,Mart.,NA,NA,NA,NA,A. Custodio Filho|Alwyn H. Gentry,Brazil,São Paulo,NA,-46,-23.5833333,NA,NA,NA,NA,NA,Custodio Filho 4580,"1987","2","4","Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 4","800.00000000",NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,"1",87-5,NA,BIRITIBA MIRIM,"3506607"
-48.033333,-24.266667,"305",2020-09-16 13:16:23-03,MBML,MBML-HERBARIO,"7602",NA,Plantae,Palmae,Euterpe,edulis,Euterpe edulis,Martius,NA,NA,NA,NA,"H. Q. Boudet Fernandes; et al",Brasil,São Paulo,Sete Barras,-48.033333,-24.266667,48W2',24S16',"Arborescente. Estipe solitário, 8m x 11cm. Folha: 14 contemporâneas; bainha 115cm, verde escura; pecíolo 5cm; raque 307-321 cm; folíolos, 74-76 pares, o mediano 78 x 2.6-3 cm. Inflorescência castanho avermelhada, intrafoliar com frutos",MBML007602,NA,"3227","1997","07","25","Bacia do rio Saibadela, Parque Estadual Intervales. Ca. 24º16'S, 48º02'W Gr. Altitude ca. 100-270m/s.m. Trilha do Quilombo (ou do Araçá)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-48.033333,-24.266667,"306",2020-09-16 13:16:23-03,MBML,MBML-HERBARIO,"7626",NA,Plantae,Palmae,Euterpe,edulis,Euterpe edulis,Martius,NA,NA,NA,NA,"H. Q. Boudet Fernandes; Luiz A.F.Matthes, A.C.Marcato e R.Belinello (com J.Vieira e A.Jorge)",Brasil,São Paulo,Sete Barras,-48.033333,-24.266667,48W2',24S16',"Arborescente. Estipe solitário 10m x 13cm. Folha: 12 contemporâneas; bainha 120cm, verde-escura; pecíolo 2cm; raque 258-270cm; folíolos, 65-67 pares, o mediano 74-80 x 3.3-3.4cm. Inflorescência amarelada, intrafoliar; pedúnculo ca. 4cm",MBML007626,NA,"3228","1997","07","25","Bacia do rio Saibadela, Parque Estadual Intervales. Ca. 24º16'S, 48º02'W Gr. Altitude ca. 100-270m/s.m. Trilha do Quilombo (ou do Araçá)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.716667,-23.55,"384",2021-03-15 18:25:09-03,USP,SPF,"159577",PreservedSpecimen,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,Mart.,"Mendonça, FB",NA,NA,NA,"Mendonça, FB; Müller, G",Brasil,São Paulo,São Paulo,-46.716667,-23.55,"-46.716667","-23.55",Árvore ca. 4 m. altura. DAP 8 cm. Frutos verdes a vinho.,SPF00159577,NA,"267","2003","06","26","Cidade Universitária Armando de Salles Oliveira, Instituto de Matemática e Estatistíca (IME), jardim em frente à praça do Oceanográfico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.970556,-23.593333,"442",2013-02-07 10:17:50-02,UMC,HUMC,"4537",S,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,NA,NA,NA,NA,NA,Equipe FEPAF,Brazil,São Paulo,Salesópolis,-45.970556,-23.593333,45W58'14,23S35'36,Arbórea.,NA,NA,"8","2004","04","09","Entorno da Barragem de Ponte Nova; Próximo á casa de educação ambiental. Árvore isolada.","790","790",NA,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,BIRITIBA MIRIM,"3506607"
-46.1883,-23.5228,"443",2013-02-07 10:17:50-02,UMC,HUMC,"33",S,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,NA,NA,NA,NA,NA,"Sakagushi, R.T.",Brazil,São Paulo,Mogi das Cruzes,-46.1883,-23.5228,NA,NA,NA,NA,NA,"41","2003","04","29",NA,NA,NA,NA,NA,NA,Southern America,NA,"28666",auto,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-47.060001373291,-23.9300003051758,"458",2021-02-12 15:01:54-03,UFSCar,SPSC,"6301",PreservedSpecimen,Plantae,Arecaceae,Euterpe,edulis,Euterpe edulis,Mart.,E.F.L.P. Silva & W.A. Ferreira,NA,NA,NA,"E.F.L.P Silva;W.A. Ferreira",Brasil,São Paulo,Juquitiba,-47.060001373291,-23.9300003051758,NA,NA,Floresta ombrófila densa <ll>dwc_commonname:</ll> Palmito Juçara,NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24559",auto,NA,NA,NA,NA,NA,JUQUITIBA,"3526209"
