"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","locality","phylum","order","scientificNameAuthorship","stateProvince","minimumElevationInMeters","decimalLongitude","decimalLatitude","identifiedBy","county","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:40:57-03","E","E","312922","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","Stannard, B.; Silva, T.","52787","1992","03","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315287","<a href=http://data.rbge.org.uk/herb/E00312922 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:57-03","E","E","315759","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","Harley, R.M.","19206","1977","03","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319540","<a href=http://data.rbge.org.uk/herb/E00315759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:57-03","E","E","259145","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","trichophylla","Utricularia trichophylla","Spruce, Richard","2858",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:266370","<a href=http://data.rbge.org.uk/herb/E00259145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259145","isotype","Near Panure and Rio Uaupes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3857875","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","J. A. Steyermark","59645","1944","11","01","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136429' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857875",NA,"Ptari-tepuí, in swamp on open level portion of plateau on southeast-facing slopes","Magnoliophyta","Lamiales","L.","Bolívar","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3857872","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","B. G. Stergios D.","652","1978","03","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136426' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857872",NA,"San Carlos de Rio Negro, ca. 20 km S of confluence of Rio Negro and Brazo Casiquiare. Wet sand just above water of ditch, just SW of Cano de Chola, 17.2 km NE of San Carlos","Magnoliophyta","Lamiales","L.","Amazonas","119","-67.05","1.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01171670","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","T. C. Plowman","9583","1980","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171670",NA,"Km. 25 south of Reprêsa Tucuruí on road (BR 422) to Breu Branco.","Magnoliophyta","Lamiales","L.","Pará","90","-49.733333","-3.866667","P. G. Taylor","Tucuruí","90","NY01171670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3857878","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","J. A. Steyermark","58444a","1944","09","08","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136432' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857878",NA,"among rock outcrops below mouth of Río Sanariapo, along Orinoco river","Magnoliophyta","Lamiales","L.","Amazonas","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3857850","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","B. Maguire","54270","1963","07","17","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136404' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857850",NA,"Wilhelmina Gebergte, 9 km north of Lucie Rivier, 12 km west of Oost Rivier","Magnoliophyta","Lamiales","L.",NA,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3857833","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","B. Maguire","24200","1944","08","03","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136387' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857833",NA,"Tafelberg (Table Mountain), Savanna I","Magnoliophyta","Lamiales","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01171675","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","subulata","Utricularia subulata","G. T. Prance","11286","1971","04","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388130' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171675",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara Road, Km 27","Magnoliophyta","Lamiales","L.","Amazonas",NA,"-59.9281883","-2.9548699","P. G. Taylor","Manaus",NA,"NY01171675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
