"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","individualCount","relatedCatalogItem","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","779213","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(DC.) MacLeish","S. A. Mori","14271","1981","06","10","South America","Brazil","Bahia","Lençóis","Along BR242, ca 15 km NW of Lençois at km 225.","-41.3897","-12.5633","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779213","NY00779213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","779215","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(DC.) MacLeish","G. G. Hatschbach","41421","1978","04","23","South America","Brazil","Minas Gerais","Grão Mogol","Ribeirao","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779215","NY00779215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779214","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(DC.) MacLeish","R. M. Harley","H50385","1991","12","26","South America","Brazil","Bahia","Piata","Quebrada da Serra do Atalho","-41.83","-13.22","1600","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779214","NY00779214_01","D. J. N. Hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","779205","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(DC.) MacLeish","R. M. Harley","22335","1980","05","22","South America","Brazil","Bahia","Lençóis","Serras dos Lençois. Serra do Brejao ca. 14 km. N.W. of Lencois.","-41.45","-12.45","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779205","NY00779205_01","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","779204","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(DC.) MacLeish","A. M. V. de Carvalho","4195","1993","02","20","South America","Brazil","Bahia","Jacobina","Monte Tambor. Hotel Serra do Ouro. Serra do Ouro.","-40.5181","-11.1808","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779204","NY00779204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","779206","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(DC.) MacLeish","R. M. Harley","15923","1974","02","04","South America","Brazil","Bahia",NA,"By Rio Cumbuca ca. 3 km. S. of Mucugé, near site of small dam on road to Cascavel.","-41.35","-13.02","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=406948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779206","NY00779206_01","N. F. F. MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1419219","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Paralychnophora","santosii","Paralychnophora santosii","(H.Rob.) D.J.N.Hind","J. G. Jardim","4687","2005","07","21","South America","Brazil","Bahia","Arataca","RPPN Caminho das Pedras. Serra do Peito-de-Moça, entrada a 9,5 km no Assent. Santo Antônio, mais 8,9 km até a sede da RPPN. Coletas na trilha para o topo, 2-4 km da sede","-39.3394","-15.1742","450","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1531850' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419219","NY01419219_01","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-19 15:43:23-03","UNEB","HUNEB","1008","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor","(Mart. ex DC.) MacLeish",NA,"31151","1997","06","28",NA,"Brasil","Bahia","Palmeiras","Chapada Diamantina. Pai Inácio.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"rupestre. Solo arenoso com afloramentos rochosos.","HUNEB0001008",NA,NA,"Dicotyledoneae","20767","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-19 15:43:23-03","UNEB","HUNEB","10944","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor",NA,"Cardoso, P.H.C.B.","ALCB 73280","2006","05","01",NA,"Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Cachoeira do Ferro Doido","-10.15","-11.551111",NA,NA,NA,NA,"HUNEB0010944",NA,NA,"Dicotyledoneae",NA,NA,"10W9'0''","11S33'4''",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 15:43:23-03","UNEB","HUNEB","7357","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Paralychnophora","bicolor","Paralychnophora bicolor",NA,"Roque, N.","526","2001","07","02",NA,"Brasil","Bahia","Lençóis",NA,"-41.408333","-12.464444","723","723",NA,NA,"HUNEB0007357",NA,NA,"Dicotyledoneae",NA,NA,"41W24'30''","12S27'52''",NA,NA,NA,NA,NA,NA,NA,NA
