"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3840004","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","O. Huber","9185","1984","03","03","South America","Venezuela","Bolívar","Roscio","Cuenca alta del Río Agua Fría, aprox. 8-10 Km al SSE de San Ignacio de Yuruaní","-61.08","4.87","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125451' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3840009","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","J. A. Steyermark","392","1955","02","04","South America","Venezuela","Bolívar",NA,"Swampy savanna above Summit Camp",NA,NA,"1940",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125456' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3840001","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","B. Maguire","24199","1944","08","03","South America","Suriname",NA,NA,"Tafelberg (Table Mountain), Savanna I",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125448' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3840005","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","J. A. Steyermark","109723","1974","03","03","South America","Venezuela","Bolívar",NA,"Cerro Guanacoco: Cumbre, porción Nor-oeste cerca del borde roscoso: sabana rodeada por bosque enano","-63.9181","4.775","1450",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125452' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3840007","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","O. Huber","8747","1984","02","03","South America","Venezuela","Bolívar","Piar","Macizo del Chimantá. Sección septentrional del Apacará-tepui, en el extremo norte del Macizo","-62.18","5.42","2350",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125454' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3839999","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","O. Huber","5681","1980","09","16","South America","Venezuela","Amazonas","Río Negro","vegetación de bana (caatinga baja amazónica) en el km 11 de la carretera San Carlos - Solano (área de éstudio del I.V.I.V.)","-67.05","1.93","120",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125446' target='other'> <mi>dwc_moreinfo</mi></a>","NY03839999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3840003","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","O. Huber","9055","1984","02","13","South America","Venezuela","Bolívar","Piar","Macizo del Chimantá, sector SSE. Altiplanicie sur-oriental del Acopán-teoui, cabeceras del río Arauác","-62","5.18","1920",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125450' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00748727","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","B. M. Boom","7584","1987","04","21","South America","Guyana",NA,NA,"Upper Mazaruni River region, Karowtipu Mountain. Eastern end of mountain","-60.58","5.75","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748727","P. M. Gonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3840002","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","O. Huber","4284","1979","10","03","South America","Venezuela","Amazonas","Atabapo","Serranía del Parú (Aroko), Sabanas extensas sobre la 3° meseta central, en el sector centro-norte de la serranía","-65.58","4.52","1100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125449' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3840008","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","J. A. Steyermark","978","1955","02","20","South America","Venezuela","Bolívar",NA,"Face and damp bluffs of upper falls of Caño Mojado east of north escarpment",NA,NA,"1910","1970","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125455' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","929715","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","G. T. Prance","18975","1973","10","15","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Vicinity of Colegio Buriti, Chapada dos Guimarães.","-55.80725","-15.4151111","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929715","P. Taylor","NY00929715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00748882","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","G. T. Prance","19345","1973","10","23","South America","Brazil","Mato Grosso",NA,"Under waterfall at first Igarapé after descending Chapada on road to Cuiaba.",NA,NA,"600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748882","P. Taylor","NY00748882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3840010","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","J. A. Steyermark","75773","1953","06","20","South America","Venezuela","Bolívar",NA,"Rocky plateau on southeast-facing upper shoulder of Apacará-tepuí, below summit",NA,NA,"2000","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125457' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","03839997","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","J. L. Luteyn","9537","1984","02","14","South America","Venezuela","Bolívar","Piar","Macizo del Chimantá, sector SSE. Altiplanicie sur-oriental del Acopán-tepui, cabeceras del río Arauác","-62","5.18","1920",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125444' target='other'> <mi>dwc_moreinfo</mi></a>","NY03839997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3839998","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","J. A. Steyermark","123917","1981","01","11","South America","Venezuela","Bolívar","Heres","Cerro Marutani, cumbre, afloramiento de piedra arenisca en la altiplanicie a lo largo del río Carlam afluente de las cabeceras del río Paragua","-62.75","3.83","1200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125445' target='other'> <mi>dwc_moreinfo</mi></a>","NY03839998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3840006","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","B. Maguire","23201","1944","05","04","South America","Guyana",NA,NA,"Kaieteur Plateau, savannas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4125453' target='other'> <mi>dwc_moreinfo</mi></a>","NY03840006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:18:20-03","UFBA","ALCB","104498","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Santos, JFS; Rivadavia-Lopes, R; Silva, NG; Gonella, PM; et al.","11","2011","09","04","Southern America","Brasil","Minas Gerais","Buenópolis","Parque Nacional das Sempre Vivas, em vale logo atrás do alojamento de guarda-parques","-43.785556","-17.916667","1280","1280",NA,"Ervas verdes com corola amarelo pálido.; Crescendo entre gramíneas em solo arenoso úmido na beira de rio. Simpátrica com Drosera spp., Utricularia spp., e outras Genlisea spp.",NA,"Gonella, PM",NA,"2011","09","-43.785556","-17.916667",NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:33:06-03","NBC","NL-BOTANY","U.1360456","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Prance GT; Lleras E; Coêlho DF",NA,"1973","10","15","Southern America","Brazil","Mato Grosso",NA,"Vicinity of Colegio Buriti, Chapada dos Guimaraes.",NA,NA,NA,NA,NA,"Buriti-grass swamps.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1360456 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1360456","Taylor PG","NL-U1360456",NA,NA,NA,NA,"Magnoliopsidae","U 0257470",NA,NA,NA,NA,NA
"19","2020-11-04 11:12:11-03","ESALQ","ESA","23952","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Miyagi, P.H.; Zandoval, J.A.; Souza, J.P.","348.0","1995","02","11",NA,"Brasil","São Paulo","Itararé","Estrada Itararé - Bonsucesso de Itararé, ca. 10 Km de Itararé.","-491.616","-241.138",NA,NA,NA,"Herbácea, cca 5 cm alt. Flores amarelas.","ESA023952","Gonella, P.M.",NA,NA,NA,"-491,616","-241,138",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:12:11-03","ESALQ","ESA","40414","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Elias, S.I.; Silva, M.M.R.; Amador, D.B.; Freitas, F.O.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J.P.; Vanini, A.","86.0","1997","12","12",NA,"Brasil","São Paulo","Bom Sucesso de Itararé","Rio Verde. Estrada Itararé - Capão Bonito. Campo úmido-cerrado, margem do rio","-491.219","-240.514",NA,NA,NA,"Erva de 0,1m. Flores amarelas.","ESA040414","Gonella, P.M.",NA,"2011","03","-491,219","-240,514",NA,NA,"31",NA,NA,NA,NA
"21","2020-11-04 11:12:11-03","ESALQ","ESA","12214","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Souza, V.C. et al.","4522.0","1993","10","30",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA012214","Gonella, P.M.","ESA012214_1 ESA012214_2",NA,NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA
"22","2020-11-04 11:12:11-03","ESALQ","ESA","75015","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Souza, V.C.; Souza, J.P.; Lorenzi, H.","26765.0","2001","08","10",NA,"Brasil","Mato Grosso do Sul","Ponta Porã","Cerca de 21 km de Ponta Porã em direção a João Antônio. Divisa com o Paraguai. Cerrado muito perturbado (pasto) com área alagável adjacente.","-55.44","-22.22","480","480",NA,"Erva; flores amarelas.","ESA075015","Gonella, P.M.","ESA075015","2011","03","-55.44","-22.22",NA,NA,"31",NA,NA,NA,NA
"23","2020-11-04 11:12:11-03","ESALQ","ESA","12244","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Souza, V.C. et al.","7211.0","1994","11","13",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA012244","Scaramuzza, C.A.M.",NA,NA,NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA
"24","2021-01-14 15:31:20-03","MN","R","218138","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Genlisea","repens","Genlisea repens","Benj.","Messias, M.C.T.B. 2114; Silva, J.L. & Tonaco, A.C.",NA,"2008","04","09",NA,"Brasil","Minas Gerais","Mariana","Bento Rodrigues","-43.4160995483398","-20.377799987793",NA,NA,NA,NA,NA,"Messias, M.C.T.B.",NA,"2008","05",NA,NA,NA,NA,"06","33524","auto",NA,NA
