"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857813","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","piranii","Hyptis piranii","Harley","isotype","J. R. Pirani","CFCR13069","1990","06","15","South America","Brazil","Minas Gerais","Grão Mogol","Descida do Morro Papo da Ema, para Jambeiro.","-42.8894","-16.5594","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857813","NY00857813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857814","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",NA,"G. G. Hatschbach","54301","1990","06","14","South America","Brazil","Minas Gerais","Grão Mogol","Trilha dos Garimpeiros","-42.8894","-16.5594","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857814","NY00857814_01","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:30:19-03","MBM","MBM","243817","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","piranii","Hyptis piranii","Harley","ISOTYPE","Pirani, J.R.; et al.; et al.","CFCR13069","1990","06","15","Southern America","Brazil","Minas Gerais","Grão Mogol","Descida do Morro Papo da Ema, para Jambeiro","-42.8897018432617","-16.5594005584717","850","850",NA,"Arvoreta 4m alt., delagda, entre grandes rochas. Folhas cinéreo-esbranquiçadas, odoríferas. Flores escassas, com corola roxo-clara e cálice da cor das folhas; Arvoreta 4m alt., delgada. Folhas cinéreo-esbranquiçadas, odofíferas. Flor","MBM243817","MBM243817","Harley, R.M.","67219","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:30:19-03","MBM","MBM","136044","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","piranii","Hyptis piranii","Harley",NA,"Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54301","1990","06","14","Southern America","Brazil","Minas Gerais","Grão Mogol","Trilha dos Garimpeiros","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM136044","MBM136044","Harley, R.M.","67219","auto",NA,NA,NA,NA,NA,NA,NA
"5","2012-08-17 08:58:00-03","MO","MOBOT","100509972","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","piranii","Hyptis piranii","Harley","Holotype","José R. Pirani|et al.","Pirani CFCR 13069","1990","7","15","South America","Brazil","Minas Gerais","Grão Mogol","Descida para Jambeiro.","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,"67219","auto","1",NA,NA,NA,NA,NA,NA
"6","2016-12-08 11:04:00-02","MO","MOBOT","2907166","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B. Pastore",NA,"Gert G. Hatschbach|Maria M. Hatschbach|V. Nicolack","Hatschbach 54301","1990",NA,NA,"South America","Brazil","Minas Gerais",NA,"(Grão Mogol). Trilha dos Garimpeiros.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,"R.Liesner (MO)",NA,NA,"1",NA,NA,NA,NA,NA,NA
"7","2020-09-02 16:30:16-03","Cenargen","CEN","114285","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",NA,"Guilherme de M. Antar","2078","2018","02","03",NA,"Brasil","MG","ITACAMBIRA","Rodovia MG-308. Cerca de 9 km de Itacambira. Lado direito da estrada, sentido Juramento.","-43.349444","-17.045833","1185","1185","Exsicatas","Domínio do Cerrado. Solo raso, arenoso, seco. Pouco aromático. Cálice verde, corola rosada. Doação Universidade de São Paulo Herbário SPF","CEN00114285","CEN00114285","G. M. Antar",NA,NA,"1","2018","05","-43.349444","-17.045833",NA,NA
"8","2019-11-13 11:20:47-03","USP","SPF","69476","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","piranii","Hyptis piranii","Harley","holotype","Pirani, JR; Zappi, DC; Simão-Bianchini, R; Oliveira, AA","CFCR13069","1990","06","15",NA,"Brasil","Minas Gerais","Grão Mogol","Descida do Morro Papo da Ema, para Jambeiro.","-42.8897018432617","-16.5594005584717","850","850",NA,"Arvoreta 4 m. alt., delgada, entre grandes rochas. Folhas cinéreo-esbranquiçadas, odoríferas. Flores escassas, com corola roxo-clara, o cálice da cor das folhas.","SPF00069476","SPF00069476","Harley, RM","67219","auto",NA,"1991",NA,NA,NA,NA,NA
"9","2019-11-13 11:20:53-03","USP","SPF","124397","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",NA,"Mello-Silva, R","1472","1997","09","29",NA,"Brasil","Minas Gerais","Botumirim",NA,"-43.010799407959","-16.872200012207","1280","1280",NA,NA,"SPF00124397","SPF00124397","Silva-Luz, CL","39434","auto",NA,"2015",NA,NA,NA,NA,NA
"10","2019-11-13 11:20:53-03","USP","SPF","39870","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",NA,"Zappi, DC","CFCR8542","1987","09","05",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"SPF00039870","SPF00039870","Silva-Luz, CL","67219","auto",NA,"2015",NA,NA,NA,NA,NA
"11","2019-10-07 09:16:32-03","UEFS","HUEFS","84375","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",NA,"Mello-Silva, R.","1472","1997","09","29",NA,"Brasil","Minas Gerais","Botumirim","Contrafortes orientais da Srra da Canastra, trilha do Cruzeiro a partir do posto de gasolina até o alto da Serra nas nascentes do córrego São Domingos. Afloramentos rochosos.","-43.010799407959","-16.872200012207","1280","1280",NA,NA,"HUEFS0084375","HUEFS0084375 HUEFS0084375_e1","R.M.Harley","39434","auto",NA,"2019","04",NA,NA,"Asteranae",NA
"12","2019-10-07 09:16:32-03","UEFS","HUEFS","239631","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore",NA,"Antar, G.M.","2068","2018","02","03",NA,"Brasil","Minas Gerais","Itacambira","Estrada Juramento-Itacambira, ca. 9 Km de Itacambira.","-43.335","-17.008333","1278","1278",NA,"Campo rupestre. Solo arenoso seco.","HUEFS0239631","HUEFS0239631","G.M.Antar & R.M.Harley",NA,NA,NA,"2018","03","43W20'6''","17S0'30''","Asteranae",NA
"13","2019-10-07 09:16:32-03","UEFS","HUEFS","44456","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Oocephalus","piranii","Oocephalus piranii","(Harley) Harley & J.F.B.Pastore","Isótipo","Pirani, J.R.","CFCR13069","1990","06","15",NA,"Brasil","Minas Gerais","Grão Mogol","Descida do Morro Papo da Ema, para Jambeiro.","-42.8897018432617","-16.5594005584717","850","850",NA,"Entre grandes rochas.","HUEFS0044456","HUEFS0044456 HUEFS0044456_e1","R.M.Harley","67219","auto",NA,"2019","04",NA,NA,"Asteranae",NA
