"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","identifiedBy","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","03855792","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","J. A. Steyermark","94630","1966","01","24","South America","Venezuela","Falcón","Cerro Santa Ana, ascensión del lado sur desde el pueblo de Santa Ana","600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156648' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3855793","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","G. Davidse","20940","1982","10","24","South America","Venezuela","Lara","Parque Nacional Yacambú, Quebrada Negra from the base of the tunnel to the junction with the Río Yacambú, future basin of Embalse Río Yacambú","620","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156650' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855793","Jiménez","-69.5086","9.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3855794","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","J. A. Steyermark","91893","1963","11","03","South America","Venezuela","Federal","Cerro Naiguatá, laderas pendiente del lado del mar que miran hacia el Norte, arriba del pueblo de Naiguatá: Bosque húmedo denso, vecindad de Quebrada Basenilla, 6 Km. al Suroeste de los tanques de la Electricidad de Caracas (Cocuizal)","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156651' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03855785","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby","J. A. Steyermark","122691","1980","05","28","South America","Venezuela","Zulia","lower slopes (northwest side) of Cerro Negro, following quebrada to Lagunita Araguaney, southeast of Río Guasare, 2.5-3 km (by air) southeast of Rancho 505","400","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156640' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855785","Mara","-72.42","10.925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3855795","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","L. J. Dorr","DORR7103","1990","06","20","South America","Venezuela","Táchira","Potosi at mouth of the Río Puya (formerly Río Puyita) at W end of Embalse La Honda","1140",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156652' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855795","Urachiche","-71.7","7.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3855660","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","J. D. Boeke","2285","1978","06","30","South America","Ecuador","El Oro","Between Pasaje and Casacay.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156669' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3855796","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","A. Fernandez","34356","2014","06","22","South America","Venezuela","Miranda","Instituto Venezolano de Investigaciones Cientíticas (IVIC). Carretera Panamerican, km 11. Altos de Pipe. Laderas boscosas, a 300 m bajando desde el comando de la Guardia Nacional","1630",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4156653' target='other'> <mi>dwc_moreinfo</mi></a>","NY03855796","Los Salias","-66.9767","10.3983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","192529","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","B. C. Bennett","3541","1988","11","06","South America","Ecuador","Morona-Santiago","Centro Shuar Yukutais, east side of Rio Yukutais","950","1020","sheet","Shuar Voucher <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192529",NA,"-78.17","-3.5","M. A. Spencer","NY00192529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1178015","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","Ellenberg H",NA,"1957","05","26","Southern America","Peru",NA,"Canchaque, 100km sudl. Halbimmergruner Wald.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1178015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1178015",NA,NA,NA,NA,"NL-U1178015","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:25:52-03","MN","R","193229","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","monostachia","Guzmania monostachia","(L.) Rusby ex Mez","Castellanos, A.","21882","1958","01","25",NA,"Brasil","Ceará",NA,NA,NA,NA,NA,"R010005573",NA,NA,NA,"Smith, L.B.",NA,NA,"1968","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
