"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","651013","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees","L. G. Clark","G. G. Hatschbach","22210","1969","09","25","South America","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, Abrigo 1","-49.0553","-25.3058","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651013","NY00651013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","651011","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees","L. G. Clark","F. Sellow","s.n.","1840",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651011","NY00651011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","651014","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees","A. S. Hitchcock","P. von Luetzelburg","6277","1915","08","01","South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos, Morro Assu.","-43.065577","-22.483289","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651014","NY00651014_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","651015","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees","A. S. Hitchcock","P. von Luetzelburg","6373","1915","06","01","South America","Brazil","Rio de Janeiro",NA,"Orgelgebirge. Morro Assú",NA,NA,"2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651015","NY00651015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 14:47:00-02","NY","NYBG","651017","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia",NA,NA,"M. A. Chase","10088","1920","11","25","South America","Brazil","Espírito Santo",NA,"Serra do Caparaó",NA,NA,"2280","2425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651017","NY00651017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:47:00-02","NY","NYBG","651020","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia",NA,NA,"L. G. Clark","790","1991","02","11","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional Serra dos Orgaos, Campo das Antas, trail to Pedra do Sino","-43.02","-22.45","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651020","NY00651020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","651019","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees",NA,"L. Riedel","436",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651019","NY00651019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 14:47:00-02","NY","NYBG","651021","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia",NA,NA,"L. G. Clark","789","1991","02","11","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional Serra dos Orgaos, Campo das Antas, trail to Pedra do Sino","-43.02","-22.45","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651021","NY00651021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","651024","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees",NA,"K. Kubitzki","84-26","1984","02","28","South America","Brazil",NA,NA,"Serra da Mantiqueira, nahe Serra das Agulhas Negras","-44.658333","-22.384444","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=163451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651024","NY00651024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00861907","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pinifolia","Chusquea pinifolia","(Nees) Nees","L. G. Clark","W. R. Anderson","35769","1972","02","10","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, summit of the Pico do Itambé","-43.3919444","-18.43185","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861907","NY00861907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
