"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00940294","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","T. B. Cavalcanti","2513","2000","02","24","South America","Brazil","Minas Gerais","Capitólio","Estrada vicinal da MG-050, a esquarada após a ponte sobre o Rio Grande; 2.4 km. da MG.","-46.0499992370605","-20.6152992248535","29474","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940294","NY00940294_01","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00941158","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","T. B. Cavalcanti","2521","2000","02","24","South America","Brazil","Minas Gerais","Capitólio","MG-050, lado esquerdo da estrada. Do lado direito vê-se o reservatório de Furnas.","-46.43","-21.07",NA,"750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941158","NY00941158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","688094","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.",NA,"T. B. Cavalcanti","2521","2000","02","24","South America","Brazil","Minas Gerais","Capitólio","MG-050, lado esquerdo da estrada. Do lado direito vê-se o reservatório de Furnas.","-46.43","-21.07",NA,"750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=845224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688094","NY00688094_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:33-02","BGBM","B","B 10 0163531","S","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.",NA,"T. B. Cavalcanti & al.","2521","2000","02","24","Middle and South America","Brazil",NA,NA,"est. Minas Gerais, reg. SE; munc. Capitólio, MG-050, lado esquerdo da estrada. Do lado direito vê-se o reservatório de Furnas.",NA,NA,NA,NA,NA,NA,"Embrana Recursos Genéticos e Biotecnologia-CENARGEN, Herbário CEN, Braília-DF - Brasil <a href=http://herbarium.bgbm.org/object/B100163531 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100163531","B100163531",NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:32:20-03","MBM","MBM","304433","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B. Cavalc.","Cavalcanti, T.B.","Cavalcanti, T.B.; Silva, G.P.; Dias, T.A.B.; Santos, A.A.; Silva, G.P.; Dias, T.A.B.; Santos, A.A.","2521","2000","02","24","Southern America","Brazil","Minas Gerais","Capitólio","MG 050, lado esquerdo da estrada. Do lado direito vê-se o reservatório de Furnas.","-46.433333","-21.066667",NA,"750","750",NA,"Subarbustivo. Folhas glaucas a argênteas. Fruto ocre-dourado. Ocasional. Flor lilás. relevo montanhoso. Solo pedregoso. Campo limpo com Vellozia; Subarbusto, folhas glaucas a argênteas, flor lilás, fruto ocre-dourado.; Campo limpo co","MBM304433","MBM304433",NA,"ISOTYPE","2002","10","01","-46.433333","-21.066667",NA,NA
"6","2020-12-11 11:37:21-03","UFMG","BHCB","60281","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.",NA,"Cavalcanti, TB; Silva, GP da; Dias, TAB; Santos A.A.","2521","2000","02","24","Southern America","Brasil","Minas Gerais","Capitólio","MG-050, lado esquerdo da estrada. Do lado direito vê-se o reservatório de Furnas","-46.433333","-21.066667",NA,"750","750",NA,"Subarbustivo, folhas glaucas a argênteas. Flor lilás, fruto ocre-dourado. Ocasionalmente frequente.; Campo limpo com Vellozia. Solo pedregoso.","BHCB000199","BHCB000199 BHCB000199_01",NA,"Isotypus","2002","10","01","-46.433333","-21.066667",NA,NA
"7","2020-09-02 16:31:34-03","Cenargen","CEN","101906","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Eric Koiti Okiyama Hattori","484","2006","02","16",NA,"Brasil",NA,NA,"Estrada depois do Paraíso perdido em direção ao paredão, Região da represa de Furnas, Minas Gerais.",NA,NA,NA,NA,NA,"Exsicatas","Corola lilás, anteras amarelas. Doação HUFU. Herbário nº 44767","CEN00101906","CEN00101906",NA,NA,"2017","06",NA,NA,NA,"1",NA
"8","2020-09-02 16:31:34-03","Cenargen","CEN","101927","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","K. B. S. Melo","Rosana Romero","7628","2006","02","06",NA,"Brasil",NA,NA,"Paraíso Perdido, região da represa de Furnas.",NA,NA,NA,NA,NA,"Exsicatas","Frutos imaturos. Doação Herbarium Uberlandense - HUFU. Herbário n° 44.633.","CEN00101927","CEN00101927",NA,NA,"2006","08",NA,NA,NA,"1",NA
"9","2020-09-02 16:31:34-03","Cenargen","CEN","35408","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Taciana Barbosa Cavalcanti","2521","2000","02","24",NA,"Brasil","MG","CAPITOLIO","MG-050, lado esquerdo da estrada. Do lado direito vê-se o reservatório de Furnas.","-46.433333","-21.066666",NA,"750","750","Exsicatas","HOLOTYPUS. Folhas glaucas a argênteas.","CEN00035408","CEN00035408",NA,"HOLOTYPUS","2002","10",NA,"-46.433333","-21.066666","8",NA
"10","2020-09-02 16:31:34-03","Cenargen","CEN","101930","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","K. B. S. Melo","Rosana Romero","7852","2006","10","24",NA,"Brasil",NA,NA,"Estrada para cachoeira Feixo da Serra, região da Represa de Furnas.",NA,NA,NA,NA,NA,"Exsicatas","Cálice verde, corola lilás, filete lilás, anteras amarelas, estilete lilás. Doação Herbarium Uberlandense - HUFU. Herbário n° 44.010.","CEN00101930","CEN00101930",NA,NA,"2006","12",NA,NA,NA,"1",NA
"11","2020-09-02 16:31:34-03","Cenargen","CEN","101935","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Rodrigo L. Volpi","382","2002","12","05",NA,"Brasil","MG","DELFINOPOLIS","Trilha Escada de Pedras.","-46.62","-20.434444",NA,"841","841","Exsicatas","Cálice verde, corola lilás, anteras amarelas. Doação Herbário Uberlandense - HUFU. Herbário nº 29524.","CEN00101935","CEN00101935",NA,NA,"2017","06",NA,"-46.62","-20.434444","1",NA
"12","2020-09-02 16:31:34-03","Cenargen","CEN","101919","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Adriana Assis Arantes","1637","2006","02","15",NA,"Brasil",NA,NA,"Estrada para Cachoeira Feixo da Serra, rio Turvo, próximo ao trecho de asfalto.","-46.230833","-20.604444",NA,"786","786","Exsicatas","Corola lilás, cálice verde com lacínios róseos. Doação Universidade Federal de Uberlândia. Herbário nº 44.522.","CEN00101919","CEN00101919",NA,NA,"2017","06",NA,"-46.230833","-20.604444","1",NA
"13","2020-09-02 16:31:34-03","Cenargen","CEN","101920","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Adriana Assis Arantes","1724","2006","02","17",NA,"Brasil",NA,NA,"Estrada para Pedreira Souza, ca. de 2.0 km da MG 050. Região da represa de Furnas.",NA,NA,NA,NA,NA,"Exsicatas","Corola e estilete lilás, anteras amarelas. Doação Universidade Federal de Uberlândia. Herbário nº 44.860.","CEN00101920","CEN00101920",NA,NA,"2017","06",NA,NA,NA,"1",NA
"14","2020-09-02 16:31:34-03","Cenargen","CEN","101926","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Rosana Romero","7394","2005","12","07",NA,"Brasil",NA,NA,"Estrada para a Pedreiro Souza, ca. 2 km da MG 050.","-46.265","-20.630555",NA,"1046","1046","Exsicatas","Hipanto verde, corola rósea. Doação Herbarium Uberlandense - HUFU. Herbário n° 43.909.","CEN00101926","CEN00101926",NA,NA,"2017","06",NA,"-46.265","-20.630555","1",NA
"15","2020-09-02 16:31:34-03","Cenargen","CEN","101936","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Rodrigo A. Pacheco - HUFU","92","2002","04","11",NA,"Brasil","MG","DELFINOPOLIS","Trilha casinha branca. Fazenda Zé Antunes.","-46.653333","-20.434444",NA,"841","841","Exsicatas","Cálice esverdeado, corola magenta, anteras amarelas. Doação Universidade Federal de Uberlândia - HUFU. Herbário nº 26708.","CEN00101936","CEN00101936",NA,NA,"2017","06",NA,"-46.653333","-20.434444","1",NA
"16","2020-09-02 16:31:34-03","Cenargen","CEN","110656","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","J. Moises Mendoza F.","4461","2014","11","30",NA,"Brasil","MG","CAPITOLIO","Parque Nacional Serra da Canastra. Capitólio de Lago Furnas, ca. 900 m da MG-050, sobre a estrada para a Serra do Chapadão.","-46.257222","-20.64",NA,"948","948","Exsicatas","Arbusto de ramos eretos. Folhas branco-esverdeadas, anteras amarelas. População de 5 plantas dispersas no local. Cerrado em zona ondulada e acidentada, com solo de cascalho branco.","CEN00110656","CEN00110656",NA,NA,"2015","06",NA,"-46.257222","-20.64","9",NA
"17","2020-09-02 16:31:34-03","Cenargen","CEN","35400","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Taciana Barbosa Cavalcanti","2513","2000","02","24",NA,"Brasil","MG","CAPITOLIO","Estrada vicinal da MG-050, a esquerda após o Rio Grande, cerca de 1 km após a ponte sobre o rio Grande. 2,4 km da MG.",NA,"-21.083333",NA,"700","700","Exsicatas","Folhas glaucas suberetas, ramos ferrugíneos a avermelhados, quadrangulares. Apêndices patentes, estiletes vináceos, estigma verde. 12 estames. População em final de floração. Frutos na maioria imaturos.","CEN00035400","CEN00035400",NA,NA,"2002","10",NA,"-4560000.0","-21.083333","10",NA
"18","2020-09-02 16:31:34-03","Cenargen","CEN","101946","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Rodrigo A. Pacheco - HUFU","469","2003","03","10",NA,"Brasil","MG","DELFINOPOLIS","Fazenda Águas da Serra.",NA,"-20.434444",NA,"841","841","Exsicatas","Cálice verde, corola lilás, anteras amarelas. Doação Universidade Federal de Uberlândia - HUFU. Herbário nº 31.046.","CEN00101946","CEN00101946",NA,NA,"2017","06",NA,"-46756389.0","-20.434444","1",NA
"19","2020-09-02 16:31:34-03","Cenargen","CEN","101914","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","P. H. N. Bernardes","307","2007","11","07",NA,"Brasil","MG","CAPITOLIO","Paraíso Perdido. Estrada após Paraíso Perdido, ca. 4 km a frente, região de Furnas.","-46.0499992370605","-20.6152992248535","29474",NA,NA,"Exsicatas","Borda da mata. Estrada para pedreira, ca. de 2 km do Lago Azul. Cálice verde, corola púrpura. Doação HUFU. Herbário nº 49320.","CEN00101914","CEN00101914","auto",NA,"2017","06",NA,NA,NA,"1",NA
"20","2020-09-02 16:31:34-03","Cenargen","CEN","101912","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","P. H. N. Bernardes","121","2007","03","23",NA,"Brasil","MG","CAPITOLIO","Região de Furnas. Estrada para Gabi Explorações II.","-46.0499992370605","-20.6152992248535","29474",NA,NA,"Exsicatas","Cálice verde, corola lilás, estames amarelos, botões florais liláses, frutos maduros. Doação HUFU. Herbário nº 47786.","CEN00101912","CEN00101912","auto",NA,"2017","06",NA,NA,NA,"1",NA
"21","2020-09-02 16:31:34-03","Cenargen","CEN","101913","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","P. H. N. Bernardes","181","2007","05","22",NA,"Brasil","MG","CAPITOLIO","Região de Furnas. Estrada para pedreira, próximo a cachoeira da rodovia.","-46.0499992370605","-20.6152992248535","29474",NA,NA,"Exsicatas","Cálice verde, corola púrpura, estames amarelos. Doação HUFU. Herbário nº 48379.","CEN00101913","CEN00101913","auto",NA,"2017","06",NA,NA,NA,"1",NA
"22","2020-09-02 16:31:34-03","Cenargen","CEN","101929","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Rosana Romero","7033","2003","11","28",NA,"Brasil","MG","DELFINOPOLIS","Cachoeirinhas no ribeirão Bom Jesus. 20°21'70'' S e 46°45'27'' W.","-46.8539009094238","-20.343900680542","41380","1153","1153","Exsicatas","Cálice verde, corola magenta, anteras amarelas. Doação do Herbário Uberlandensis - HUFU. Herbário n° 35607.","CEN00101929","CEN00101929","auto",NA,"2017","06",NA,NA,NA,"1",NA
"23","2020-09-02 16:31:34-03","Cenargen","CEN","101947","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Rodrigo L. Volpi","665","2003","03","10",NA,"Brasil","MG","DELFINOPOLIS","Condomínio de Pedra.","-46.8539009094238","-20.343900680542","41380","1178","1178","Exsicatas","Hipanto verde, corola pink, estames amarelos. Doação Herbário Uberlandense - HUFU. Herbário nº 32.614.","CEN00101947","CEN00101947","auto",NA,"2017","06",NA,"-46756389.0","-20367778.0","1",NA
"24","2020-09-02 16:31:34-03","Cenargen","CEN","101907","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Jimi Naoki Nakajima","3281","2002","12","04",NA,"Brasil","MG","DELFINOPOLIS","Paraíso Selvagem, trilha para cachoeira Salto Solitário. 20°26'04''S e 46°38'73''W.","-46.8539009094238","-20.343900680542","41380","845","845","Exsicatas","Cálice verde, corola magenta, anteras amarelas. Doação HUFU. Herbário nº 29.504","CEN00101907","CEN00101907","auto",NA,"2017","06",NA,NA,NA,"1",NA
"25","2020-09-02 16:31:34-03","Cenargen","CEN","101921","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.",NA,"Jimi Naoki Nakajima","3541","2003","10","22",NA,"Brasil","MG","DELFINOPOLIS","Paraíso Selvagem. Trilha para Mata do Canyon. 20°26'04'' S e 46°38'73''W.","-46.8539009094238","-20.343900680542","41380","845","845","Exsicatas","Cálice verde, corola arroxeada, estames amarelos. Doação HUFU. Herbário nº 34976.","CEN00101921","CEN00101921","auto",NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-09-02 16:31:34-03","Cenargen","CEN","101922","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glocimarii","Diplusodon glocimarii","T.B.Cavalc.","T. B. Cavalcanti","Jimi Naoki Nakajima","4005","2005","11","09",NA,"Brasil","MG","DELFINOPOLIS","Trilha Escada de Pedras. Faz. José Antunes. 20°26'04'' S e 46°38'73''W.","-46.8539009094238","-20.343900680542","41380","845","845","Exsicatas","Cálice verde, corola magenta, anteras amarelas, filetes e estiletes magenta. Doação HUFU. Herbário nº 43.320.","CEN00101922","CEN00101922","auto",NA,"2017","06",NA,NA,NA,"1",NA
