"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","1911601","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.","J. A. Lombardi","J. J. Pipoly","17862","1993","12","07","South America","Colombia","Antioquia","Urrao","Parque Nacional Natural Las Orquídeas. Vereda Calles. Margen derecha de Río Calles","-76.32","6.53","1350","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2126536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01911601","NY01911601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:36:53-03","NBC","NL-BOTANY","U.1764854","PreservedSpecimen","Plantae",NA,"Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,"Solomon JC",NA,"1988","02","14","Southern America","Bolivia",NA,NA,"Dpto. LA PAZ: Prov. Murillo. Valle del Rio Zongo. 32.1 km al N de la cumbre. Cerca de lo boca del Rio Jachcha Cruz.","-68.066667","-16.116667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1764854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1764854","NL-U1764854","Magnoliopsidae","-68.066667","-16.116667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:36:53-03","NBC","NL-BOTANY","U.1764855","PreservedSpecimen","Plantae",NA,"Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,"Solomon JC",NA,"1983","01","23","Southern America","Bolivia",NA,NA,"Dpto. LA PAZ: Prov. Nor Yungas, 8.7 km below Chuspipata on road to Yolosa.","-67.783333","-16.266667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1764855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1764855","NL-U1764855","Magnoliopsidae","-67.783333","-16.266667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:36:53-03","NBC","NL-BOTANY","U.1764856","PreservedSpecimen","Plantae",NA,"Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,"Fonnegra Gomez R; Castrillón A; Arango A",NA,"2004","02","18","Southern America","Colombia","Santander",NA,"Municipio de Cimitarra. Corregimiento Puerto Olaya.","-74.337917","6.468278",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1764856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1764856","NL-U1764856","Magnoliopsidae","-74.337917","6.468278","U 0247861",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:36:53-03","NBC","NL-BOTANY","U.1764857","PreservedSpecimen","Plantae",NA,"Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,"Solomon JC",NA,"1983","03","05","Southern America","Bolivia",NA,NA,"Dpto. La Paz. Prov. Murillo, 30.5 km N of (below) dam at Lago Zongo. Trail up to RIo Jachcha Cruz.","-68.083333","-16.116667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1764857 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1764857","NL-U1764857","Magnoliopsidae","-68.083333","-16.116667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:36:53-03","NBC","NL-BOTANY","U.1764858","PreservedSpecimen","Plantae",NA,"Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,"Steinbach J",NA,"1929","01","24","Southern America","Bolivia",NA,NA,"Prov. Chapare. Depart. Cochabamba.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1764858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1764858","NL-U1764858","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:36:53-03","NBC","NL-BOTANY","U.1764859","PreservedSpecimen","Plantae",NA,"Vitales","Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,"Davidse G; Gonzáles AC",NA,"1982","11","13","Southern America","Venezuela",NA,NA,"TACHIRA: Distrito Junin: Southern slopes of Cerro Isidro, directly N of El Reposa, above Hacienda Bella Vista, Quebrada Agua Caliente and tributaries.","-72.416667","7.566667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1764859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1764859","NL-U1764859","Magnoliopsidae","-72.416667","7.566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:20:46-03","ESALQ","ESA","35770","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vitaceae","Cissus","trianae","Cissus trianae","Planch.","Lombardi, J.A.","Souza, J.P. et al.","838.0","1996","12","13",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA035770","ESA035770",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:11:52-03","UFES","VIES","31782","S","Plantae",NA,NA,"Vitaceae","Cissus","trianae","Cissus trianae","Planch.","Lombardi, J.A.","Zorzanelli, J.P.F.; Kollmann, L.J.C. & Fontana, A.P.","700","2013","05","30",NA,"Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803","1500","1500",NA,NA,"VIES031782",NA,NA,NA,NA,NA,"32198","auto","2013","07","08",NA,NA,NA,NA
"10","2020-12-11 11:42:58-03","UFMG","BHCB","35681","PreservedSpecimen","Plantae","Dicotyledon",NA,"Vitaceae","Cissus","trianae","Cissus trianae","Planch.",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Parque Natural do Caraça, Cascatona","-43.490833","-20.108611",NA,NA,NA,NA,NA,NA,NA,"-43.490833","-20.108611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
