"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02482503","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","L. Coradin","621","1977","10","11","South America","Brazil","Roraima","65 km NW of Boa Vista. Within a radius of 15 km from the village of Taiano.","160","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2740556' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482503","NY02482503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01214583","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","E. P. Killip","30216","1929","10","23","South America","Brazil","Pará","Breves, Amazon estuary.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1466369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214583","NY01214583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02482501","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","G. T. Prance","9281A","1969","01","15","South America","Brazil","Roraima","Dormida, foothills of Serra da Lua",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2740554' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482501","NY02482501_01","-60.208","2.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02482502","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","B. L. Stannard","802","1987","03","28","South America","Brazil","Roraima","Reserva Ecológica de Maracá. Ilha de Maracá: campo ao lado da sede próximo a mata.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2740555' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482502","NY02482502_01","-61.83","3.58","Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:18-03","EAO","IAN","156863","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","Rodrigues, IA; Dantas, M","720","1980","04","29","Southern America","Brasil","Roraima","Savana arbórea densa com afloramento de forma rochosa. Solo litólico distrófico. Alto Surumu. Serra da Memória próximo á fazenda Triunfo.",NA,NA,"Erva; flor amarela. Contagem 03.","IAN156863",NA,"-59.254167","0.737222",NA,"Silva, GAR","2007","09","30","-59.254167","0.737222",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:18-03","EAO","IAN","73649","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","Pires, FM","s.n.",NA,NA,NA,"Southern America","Brasil","Pará",NA,NA,NA,NA,"IAN073649",NA,NA,NA,"Cacaual Grande","Silva, GAR","2007","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:18-03","EAO","IAN","156230","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","Coradin, L; Cordeiro, MR","621",NA,NA,NA,"Southern America","Brasil","Roraima","65 km. NW of Boa Vista. Within a radius of 15km. from the village of Taiano. Along roads and in agricultural fields. Weedy habitats. Dry sandy-clay soil Atitude160m.",NA,NA,NA,"IAN156230",NA,"-60.6733016967773","2.81972002983093","Boa Vista","Silva, GAR","2007","09","30",NA,NA,"90031","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:35:20-03","EAO","IAN","41769","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Wedelia","parviflora","Wedelia parviflora","Rich.","Herb; Richards, PW","s.n.",NA,NA,NA,NA,"Ons. Guadalupe",NA,NA,NA,NA,NA,"IAN041769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:20-03","EAO","IAN","34762","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","Schomburgk, R","128",NA,NA,NA,NA,"Guiana",NA,NA,NA,NA,NA,"IAN034762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:35:20-03","EAO","IAN","79245","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","Sobrinho, V","139",NA,NA,NA,"Southern America","Brasil","Pernambuco","Campos.",NA,NA,NA,"IAN079245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2013-07-03 10:35:02-03","EBDA","BAH","4971","S","Plantae",NA,NA,"Asteraceae","Wedelia","calycina","Wedelia calycina","Rich.","Julian A. S., Gerrit Davidse & Alixandre",NA,"1980","05","31",NA,"Venezuela",NA,"Plants of Venezuela",NA,NA,"Ligneous bush 2-3 m. tall; flowers yellow.",NA,NA,NA,NA,NA,"V. M. Badillo","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:52:24-03","NBC","NL-BOTANY","U.1139584","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wedelia","calycina","Wedelia calycina","Rich.","Henkel TW",NA,"1994","07","09","Southern America","Guyana","Potaro-Siparuni","Potario-Siparuni. Pakaraima Mountains; Upper Ireng R watershed; Kaatnang R, near base of Malakwalai-Tipu.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1139584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1139584","NL-U1139584",NA,NA,NA,"Funk VA",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0037820",NA,NA,NA,NA
"13","2020-02-08 08:52:24-03","NBC","NL-BOTANY","U.1139585","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wedelia","calycina","Wedelia calycina","Rich.","Mutchnick P",NA,"1995","04","01","Southern America","Guyana","East Berbice-Corentyne",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1139585 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1139585","NL-U1139585","-57.283333","5.183333",NA,"Funk VA",NA,NA,NA,"-57.283333","5.183333",NA,NA,"Magnoliopsidae","U 0069121",NA,NA,NA,NA
"14","2020-02-08 08:52:24-03","NBC","NL-BOTANY","U.1139587","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wedelia","calycina","Wedelia calycina","Rich.","Prance GT; Steward JR; Ramos JF; Farias LG",NA,"1969","01","15","Southern America","Brazil",NA,"Plants of Brazilian Amazonia, Territory of Roraima, Serra de Lua, Savanna margin.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1139587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1139587","NL-U1139587","-60.208333","2.45",NA,NA,NA,NA,NA,"-60.208333","2.45",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"15","2020-02-08 08:52:24-03","NBC","NL-BOTANY","U.1139520","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wedelia","parviflora","Wedelia parviflora","Rich.","Steyermark JA; Carreño Espinoza V; Nehlin S",NA,"1974","07","07","Southern America","Venezuela",NA,"Estado Lara, Lomas secas, vegetation achaparrada tropofila, entre Paso Real y Quibor, Distrito Menez.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1139520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1139520","NL-U1139520","-69.616667","9.866667",NA,NA,NA,NA,NA,"-69.616667","9.866667",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"16","2020-02-08 08:52:24-03","NBC","NL-BOTANY","L.3639890","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","Schomburgk",NA,NA,NA,NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3639890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3639890","NL-L3639890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"17","2020-02-08 08:52:24-03","NBC","NL-BOTANY","U 0001360","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","Schomburgk RH",NA,NA,NA,NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001360 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001360","NL-U0001360",NA,NA,NA,"Bentham G",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","241856 B","isotype",NA,NA,NA
"18","2020-11-04 11:02:45-03","ESALQ","ESA","78317","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima",NA,"Souza, V.C.; Lorenzi, H.; Fernandes, A.","28733.0","2002","03","19",NA,"Brasil","Ceará","Ca. 5km de Guaraciaba do Norte em direção a Ipu.","930",NA,"Arbusto, até 2m alt.; flores amarelas","ESA078317","ESA078317","-40.45","-4.11","Guaraciaba do Norte","Fernandes, A.",NA,NA,NA,"-40.45","-4.11",NA,NA,NA,NA,NA,"930",NA,NA
"19","2021-01-24 13:06:29-03","MN","R","223405","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","calycina","Wedelia calycina","Rich","Germano, C.M.","186","2012","05","31",NA,"Brasil","Pará",NA,NA,NA,NA,NA,NA,"-48.954167","-1.625278","Abaetetuba","Silva, C.A.S.",NA,NA,NA,"48°57'15W","1°37'31S",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-02 02:00:06-03","UFPI","TEPB","730","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth","DEL' ARCO, M. R.",NA,"1979","12","07",NA,"Brasil","Piauí","Chapéu, próximo ao rio canindé",NA,NA,"Arbusto Ambiente: Caatinga",NA,NA,"-41.1497001647949","-8.14361000061035","Paulistana",NA,NA,NA,NA,NA,NA,"40262","auto",NA,NA,NA,NA,NA,NA
"21","2021-04-02 02:00:06-03","UFPI","TEPB","6276","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth","M.A.Figueiredo","296","1991","07","20",NA,"Brasil","Rio Grande do Norte","Sitio Cotovelo",NA,NA,"Arbusto, flor amarela Ambiente: Caatinga",NA,NA,"-38.2971992492676","-6.20916986465454","Água Nova","FERNANDES, A.","1980","07","05",NA,NA,"7280","auto",NA,NA,NA,NA,NA,NA
"22","2021-03-20 01:41:47-03","UFPI","TEPB","27872","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","G. B. C. Paterno","150","2007","05","14",NA,"Brasil","Rio Grande do Norte","Novo Horizonte",NA,NA,"Arbusto, flores amarelas, presenta de abelhas Ca, 2 m. Ambiente: Caatinga <ll>dwc_commonname:</ll> Cagaita",NA,NA,"-35.6391983032227","-5.12472009658813","São Miguel do Gostoso",NA,NA,NA,NA,NA,NA,"24888","auto",NA,NA,NA,NA,NA,NA
"23","2021-03-20 01:41:47-03","UFPI","TEPB","27782","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","M. B. I. Loiola","150","2007","05","14",NA,"Brasil","Rio Grande do Norte","Novo Horizonte",NA,NA,"Flores amarelas, presenta de abelhas , arbusto com 2m Ambiente: Caatinga",NA,NA,"-35.6391983032227","-5.12472009658813","São Miguel do Gostoso",NA,NA,NA,NA,NA,NA,"24888","auto",NA,NA,NA,NA,NA,NA
"24","2021-03-20 01:41:47-03","UFPI","TEPB","27814","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth","M. I. B. Loiola","1185","2007","05","14",NA,"Brasil","Rio Grande do Norte","Novo Horizonte",NA,NA,"Subarbusto com flores amarelas. Ambiente: Caatinga <ll>dwc_commonname:</ll> Camará",NA,NA,"-35.6391983032227","-5.12472009658813","São Miguel do Gostoso","M. I. B. Loiola","2007","07","16",NA,NA,"24888","auto",NA,NA,NA,NA,NA,NA
"25","2021-03-20 01:41:47-03","UFPI","TEPB","27871","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","G. B. C. Paterno","139","2007","07","02",NA,"Brasil","Rio Grande do Norte","Reduto.",NA,NA,"Erva, Flores Amarelas. Ambiente: Caatinga",NA,NA,"-35.6391983032227","-5.12472009658813","São Miguel do Gostoso",NA,NA,NA,NA,NA,NA,"24888","auto",NA,NA,NA,NA,NA,NA
"26","2021-03-20 01:41:47-03","UFPI","TEPB","27781","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","M. I. B. Loiola","139","2007","07","06",NA,"Brasil","Rio Grande do Norte","Reduto.",NA,NA,"Erva com flores amarelas. Ambiente: Caatinga",NA,NA,"-35.6391983032227","-5.12472009658813","São Miguel do Gostoso","M. I. B. Loiola","2007","07","26",NA,NA,"24888","auto",NA,NA,NA,NA,NA,NA
"27","2021-03-26 15:10:34-03","UFPI","TEPB","25687","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Wedelia","scaberrima","Wedelia scaberrima","Benth.","R. BARROS","2166","2005","04","23",NA,"Brasil","Tocantins",NA,NA,NA,"Arbusto 1,8 m, flor amarela, pouco frequente. Ambiente: Brejo (Vereda)",NA,NA,"-47.3142013549805","-7.71000003814697","Goiatins",NA,NA,NA,NA,NA,NA,"92862","auto",NA,NA,NA,NA,NA,NA
