"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:19-03","E","E","134662","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","Dubs, Balthasar","2531","1998","10","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143065","<a href=http://data.rbge.org.uk/herb/E00134662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:19-03","E","E","87781","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","Bridgewater, S., Pennington, R.T. & Daza, A.",NA,"1998","03","11","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:97757","<a href=http://data.rbge.org.uk/herb/E00087781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00087781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:19-03","E","E","232788","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","Tello","1660","1991","04","01","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:247119","<a href=http://data.rbge.org.uk/herb/E00232788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:19-03","E","E","80100","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","Gottsberger, I.S. & Gottsberger, G.K.",NA,"1971","07","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:88865","<a href=http://data.rbge.org.uk/herb/E00080100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:19-03","E","E","315958","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","Brooks, R.R.; Reeves, R.D.; Diaz Ferreira, H.","453","1990","06","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:321051","<a href=http://data.rbge.org.uk/herb/E00315958 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:19-03","E","E","265891","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","Bang, Miguel","2217",NA,NA,NA,"W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:289700","Gnazuma coriacea written as name on herbarium label, but should be Guazuma.<a href=http://data.rbge.org.uk/herb/E00265891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265891","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00946768","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","J. A. Ratter","1100","1968","04","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946768",NA,"Magnoliophyta","Malvales","Lam.","J. A. Ratter","Mato Grosso","9 km E of the Base Camp of the Expedition. (Base Camp c 270 km N of Xavantina [Nova Xavantina]).","-51.87","-12.9","NY00946768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1738211","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","W. W. Thomas","15616","2012","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1967112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738211",NA,"Magnoliophyta","Malvales","Lam.",NA,"Paraíba","Municipio: Sapé. RPPN Fazenda Pacatuba: Of the Usina Japungu.","-35.2806","-7.0833","NY01738211_01","50","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01293054","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","W. W. Thomas","15193","2010","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551454' target='other'> <mi>dwc_moreinfo</mi></a>","NY01293054",NA,"Magnoliophyta","Malvales","Lam.","L. J. Dorr","Alagoas","Reserva Biológica Pedra Talhada. Trail from reserve base (sede) to the top of Pedra Talhada.","-36.44542","-9.25722","NY01293054_01","488","773","Quebrangulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00946858","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","E. P. Heringer","5558","1980","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946858",NA,"Magnoliophyta","Malvales","Lam.","B. A. S. Pereira","Distrito Federal","Córrego quilombo.","-47.9294","-15.7797","NY00946858_01",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00946843","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","H. S. Irwin","8732","1965","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1020211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946843",NA,"Magnoliophyta","Malvales","Lam.","L. J. Dorr","Distrito Federal","Near Sobradinho","-47.8167","-15.6333","NY00946843_01","1100","1100","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00946764","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","H. S. Irwin","17101","1966","06","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00946764",NA,"Magnoliophyta","Malvales","Lam.","J. A. Kallunki","Mato Grosso","Ca. 25 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.87","NY00946764_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","627112","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","S. A. Mori","9982","1978","04","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627112",NA,"Magnoliophyta","Malvales","Lam.","H. L. Setser","Bahia","Rod. BA 026, 13 a 15 km ao SW de Maracás. Folha SD-24 (14-40a)","-40.4306","-13.4411","NY00627112_01",NA,NA,"Maracás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2104885","PreservedSpecimen","Plantae","Malvaceae","Guazuma","ulmifolia","Guazuma ulmifolia","D. C. Daly","1963","1981","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2248532' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104885",NA,"Magnoliophyta","Malvales","Lam.",NA,"Pará","Serra dos Carajás: Azul, near camp at Serra Norte (22 km NW, then 10-15 km SW).","-50.47","-5.98","NY02104885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
