"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:32-03","E","E","13470","PreservedSpecimen","Plantae","Gramineae","Axonopus","canescens","Axonopus canescens","Bridgewater, S.M. & Sanaiotti, T.M.","1993","07","31","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:15560","<a href=http://data.rbge.org.uk/herb/E00013470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00013470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","629812","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","G. C. P. Pinto","1983","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629812","Magnoliophyta","Poales","P.Beauv.","G. C. P. Pinto; H. P. Bautista","286/83","Bahia","Salvador","Itapoa. Folha SD.24-X-A. Ponto 01","-38.33","-12.93","NY00629812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1099890","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","N. A. Rosa",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099890","Magnoliophyta","Poales","P.Beauv.",NA,"1454","Roraima",NA,NA,NA,NA,"NY01099890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861644","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","T. C. Plowman","1980","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861644","Magnoliophyta","Poales","P.Beauv.",NA,"9151","Tocantins","Guaraí","10 km north of Guaraí along Belém-Brasília highway (BR-153)","-48.52","-8.73","NY00861644_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00861610","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","H. S. Irwin","1971","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861610","Magnoliophyta","Poales","P.Beauv.",NA,"29485","Minas Gerais","Ouro Preto","Serra do Espinhaço, on middle slopes of Pico de Itacolomi, ca. 3 km S. of Ouro Preto","-43.5058333","-20.3874","NY00861610_01","1750","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00861608","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","H. S. Irwin","1965","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861608","Magnoliophyta","Poales","P.Beauv.",NA,"11689","Distrito Federal","Brasília","Ca. 20 km S. of Brasília, on road to Anapolis","-48.04869","-15.9111","NY00861608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","630568","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","J. Ball","1882",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630568","Magnoliophyta","Poales","P.Beauv.",NA,"s.n.","São Paulo",NA,"Ex apricis Brasiliae juxta Sao Paulo",NA,NA,"NY00630568_01","731.5","731.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","630569","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","A. F. C. P. Saint-Hilaire","1816",NA,NA,"South America","Brazil","sheet",NA,"Voyage of d'Auguste de Saint-Hilaire, de 1816 à 1821. Catal. B2, 2e part. , N. 254 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630569","Magnoliophyta","Poales","P.Beauv.",NA,"38","Espírito Santo",NA,NA,NA,NA,"NY00630569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","517244","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","A. M. Amorim","1993","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517244","Magnoliophyta","Poales","P.Beauv.","T. de S. Filgueiras","1321","Bahia","Itacaré","Estrada Serra Grande-Itacaré, ca. de 13 km de Serra Grande. Campo Cheiroso","-39.07","-14.37","NY00517244_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 11:20:00-02","NY","NYBG","00861553","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","E. L. Taylor","1983","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861553","Magnoliophyta","Poales",NA,"G. Davidse","E1268","Maranhão","Carolina","Transamazonian Highway, BR230 and BR010; Pedra Caida, 35 km. N of Carolina. On bank of Rio Pedra Caida","-47.42","-7.13","NY00861553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
