"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3986495","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","R. Vásquez Martínez","26157","1999","04","22","South America","Peru","Cajamarca","San Ignacio","San José de Lourdes. Selva Andina","-78.9","-5","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287081' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03988903","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","R. S. Williams","1136","1902","07","29","South America","Bolivia",NA,NA,"Santa Anna",NA,NA,"1676","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287104' target='other'> <mi>dwc_moreinfo</mi></a>","NY03988903","NY03988903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03988902","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","R. S. Williams","1136","1902","07","29","South America","Bolivia",NA,NA,"Santa Anna",NA,NA,"1676","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287103' target='other'> <mi>dwc_moreinfo</mi></a>","NY03988902","NY03988902_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3986492","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","M. A. Sundue","1110","2006","12","13","South America","Ecuador","Zamora-Chinchipe",NA,"P.N. Podocarpus, San Francisco Biological Station, on new Loja-Zamora rd.","-79.08372","-3.97861","1907","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287078' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3986491","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","M. A. Sundue","1043","2006","11","22","South America","Ecuador","Pichincha",NA,"Maquipucuna Biological Field Station, ca. 5 km E of Nanegalito and ca. 25 km N of Quito. Along Sendero al Río.","-78.6306","-0.1239","1287","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287077' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3986500","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","J. W. K. Moritz","2546158 ++",NA,NA,NA,"South America","Colombia",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287086' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3986496","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","R. Vásquez Martínez","30624","2005","01","14","South America","Peru","Pasco","Oxapampa","Dist. Huancabamba. P.N. Yanachaga-Chemillén, Sector Quebrada Yanachaga.","-75.4844","-10.4036","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287082' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3986494","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","M. S. Bass","246","1994","11","13","South America","Ecuador","Esmeraldas","Quinindé","Bilsa Biological Station. Montañas de Mache, 35 km W of Quinindé, 5 km W of Santa Isabel. New logging road off of Old Mono Road, 3-5 km SW of Station.","-79.73","0.35","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287080' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986494",NA,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3986499","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","E. P. Killip","11351","1922","09","11","South America","Colombia",NA,NA,"Department of El Valle. La Cumbre. Cordillera Occidental.",NA,NA,"1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4287085' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986499","NY03986499_01","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1018531","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","chrysleri","Terpsichore chrysleri","(Copel.) A.R.Sm.","R. Y. Hirai","606","2008","12","10","South America","Brazil","São Paulo","Salesópolis","Estação Biológica de Boracéia, Caminho para o Rio Guaratuba.","-45.88","-23.67",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1260183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018531","NY01018531_01",NA,"R. Y. Hirai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
