"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","order","continentOcean","individualCount","dayIdentified"
"1","2021-03-01 16:34:25-03","UNICAMP","UEC","139145","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Cândido, CP","2003","11","Cândido, CP; Martins, AB; Silva, ED; Rodrigues, KF; Belinello, R","43","2003","05","04","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada para Francisco Dumont dentro da serra","-44.288889","-17.658889","-44.288889","-17.658889","flor, Erva, 14 cm, flor violeta, anteras amarelas; Erva, 14 cm; flor violeta; anteras amarelas","UEC080612","UEC080612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:34:25-03","UNICAMP","UEC","3186","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Martins, AB","1990",NA,"Daniel, TF; Hensold, N","2294","1982","02","14","Brazil","Minas Gerais","Serra do Cipo","Rocky slopes in the vicinity of Alto dos Palacios along road from Chapeu do Sol to Conceicao do Mato Dentro in the Serra do Cipo.",NA,NA,NA,NA,"Subshrub; corolla rose - purple; Campo rupestre with Vochysia, Paepalanthus, Xyris, and Melastomataceae.","UEC055457","UEC055457","isotypus","1200","1400",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:34:25-03","UNICAMP","UEC","10637","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins",NA,NA,NA,"Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","4553A","1973","10","18","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina. Estrada da Usina","-43.7449989318848","-19.513599395752",NA,NA,"Subarbusto 15 a 20 cm; flores púrpuras; Tudo queimado","UEC080614","UEC080614",NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA
"4","2021-03-01 16:34:25-03","UNICAMP","UEC","178290","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Martins, AB","1999","07","Menezes, NL; Morales, P","s.n.","1988","01","16","Brazil","Minas Gerais","Santana do Riacho","Rodovia Belo Horizonte - Alto do Palácio - Caminho para a Cachoeira.","-43.7144012451172","-19.1688995361328",NA,NA,"Na base de pedreira; solo arenoso.","UEC099200","UEC099200","paratypus",NA,NA,"26557","auto",NA,NA,NA,NA,NA
"5","2019-06-10 10:11:08-03","FZB-BH","BHZB","2222","S","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana",NA,"A.B.Martins","2012","01","Rezende, S.G. & Werneck, M.",NA,"2003","12","01","Brasil","MG","Nova Lima","Vale Cristais","-43.8466987609863","-19.9855995178223",NA,NA,"Anteriormente identificada como M. taxifolia ( A.St.Hil.) DC.R.Romero, Herbário da UFU, com duplicata",NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2623485","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B. Martins",NA,NA,NA,"A. P. Duarte","2647","1950","4","24","Brazil","Minas Gerais",NA,"Serra do Cipó, km 132",NA,NA,NA,NA,NA,"US01900814","US01900814_01 US01900814_02",NA,"1330",NA,NA,NA,"Dicotyledonae","Myrtales","South America - Neotropics","1",NA
"7","2021-03-15 18:28:45-03","USP","SPF","183496","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Rocha, MJR",NA,NA,"Souza, VC","32582","2007","02","17","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da FAzenda Toucan Cipó.","-43.755556","-19.006111","-43.755556","-19.006111",NA,"SPF00183496",NA,NA,"680","680",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 18:28:45-03","USP","SPF","209312","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Antar, GM","2012","07","Antar, GM; Escaramai, M; Kubo, MT; Sano, PT; Baleeiro, P","63","2012","07","05","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Trilha para a Cachoeira da Capivara.","-43.521994","-19.226761","-43.521994","-19.226761","Subarbusto tenro viscoso, ca. 25 cm alt, crescendo sob rocha. Corola arroxeada e estames amarelados.","SPF00209312",NA,NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 18:28:45-03","USP","SPF","209652","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Woodgyer, EM","2011","08","Zappi, DC","3329","2011","03","23","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, trilha ao norte de Inhame, passando a cachoeira","-43.789664","-18.924264","-43.789664","-18.924264","Ervas 20-25 cm alt., folhas glutinosas, pétalas rosa-claras a lilases, estames amarelos; campo brejoso, sob afloramento de rochas, crescendo à sombra","SPF00209652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 18:28:45-03","USP","SPF","232674","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Pacífico, RB","2017","04","Pacífico, RB","208","2016","09","02","Brasil","Minas Gerais","Congonhas do Norte","Serra do Cipó, Vale do rio Preto.","-43.748556","-18.849722","-43.748556","-18.849722","Arbusto ca. 30 cm alt., ereto, poucos indivíduos observados.; Campo rupestre.","SPF00232674",NA,NA,"1285","1285",NA,NA,NA,NA,NA,NA,"13"
