"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","typeStatus","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00538220","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","G. Davidse","11932","1976","04","04","South America","Brazil","Bahia","Morro do Chapéu","Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapeu","-41.1558","-11.5503","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538220","NY00538220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01015744","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","R. M. Harley","22922","1980","06","01","South America","Brazil","Bahia",NA,"Morro do Chapeu. 3 km SE of Morro do Chapeu on the road to Mundo Novo. D6.","-41.12","-11.57","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1111901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015744","NY01015744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00538221","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","S. A. Mori","14535","1981","06","18","South America","Brazil","Bahia","Morro do Chapéu","BR052, 4-6 km E of Morro do Chapeu","-41.1561012268066","-11.5500001907349","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538221","NY00538221_01","H. N. Moldenke","98143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00103610","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","H. S. Irwin","30703","1971","02","20","South America","Brazil","Bahia","Morro do Chapéu","Serra do Tombador; above the 100 meter falls of the Rio Ferro Doido, ca. 18 kilometers east of Morro do Chapéu","-41.1561012268066","-11.5500001907349","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103610","NY00103610_01",NA,"98143","auto","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:45:24-03","UNEB","HUNEB","464","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Mold.","Queiroz, L.P.de","6990","1986","11","19",NA,"Brasil","Bahia","Morro do Chapéu","BA-052, 2 km a SE da cidade.","-41.133333","-11.55","1000","1000",NA,NA,"HUNEB0000464",NA,NA,NA,NA,NA,"Monocotyledoneae","41W8'","11S33'",NA,NA,NA,NA,NA
"6","2019-10-09 11:28:10-03","UFBA","ALCB","01838","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis","(Jacq.) Steud.","Pereira, J; Gusmão, EF de","s/n","1975","06","14","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.016389","-11.681667",NA,NA,NA,NA,"ALCB018277","ALCB018277","Watanabe, MTC",NA,NA,NA,NA,"-41.016389","-11.681667","2012","07",NA,NA,NA
"7","2019-10-09 11:28:10-03","UFBA","ALCB","040126","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis","(Jacq.) Steud.","Giulietti, AM; Bautista, HP; Smith, S; Harley, RM; Hind, DJN","PCD3269","1996","06","29","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Estrada Morro do Chapéu-Jacobina","-41.084444","-11.482778","950","950",NA,"0,10 m, cespitosa. Inflorescência em capítulos castanhos, escapo cinza devido aos tricomas densos, flores alvas. Ocasional.; Arbustos e pequenas árvores perenifólias, agrupadas densamente, e ervas anuais. Substrato arenoso.","ALCB018276","ALCB018276","Watanabe, MTC",NA,NA,NA,NA,"-41.084444","-11.482778","2012","07",NA,NA,NA
"8","2019-10-09 11:28:10-03","UFBA","ALCB","05061","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis","(Jacq.) Steud.","Lordêlo, RP","57-272","1957","05","04","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.15","-11.55",NA,NA,NA,NA,"ALCB018273","ALCB018273","Watanabe, MTC",NA,NA,NA,NA,"-41.15","-11.55","2012","07",NA,NA,NA
"9","2019-10-09 11:28:10-03","UFBA","ALCB","07256","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis","(Jacq.) Steud.","Costa, AL; Barroso, GM","s/n","1975","05","17","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Cachoeira do Ferro-doido","-41.15","-11.55",NA,NA,NA,"paludosa. Capítulos de flores alvas. Muito frequente. Lugares úmidos e alagados.","ALCB018274","ALCB018274","Watanabe, MTC",NA,NA,NA,NA,"-41.15","-11.55","2012","07",NA,NA,NA
"10","2019-10-09 11:28:10-03","UFBA","ALCB","101951","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis","(Jacq.) Steud.","Guedes, ML; Velozo, ES; et al.","18913","2011","07","18","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Morrão","-41.211667","-11.5975",NA,NA,NA,"de ca 15 cm., escapo floral pilosa, capítulos com brácteas douradas quando jovens.","ALCB018272","ALCB018272","Guedes, ML",NA,NA,NA,NA,"-41.211667","-11.5975","2012","01",NA,NA,NA
"11","2020-08-11 00:16:45-03","UFBA","ALCB","40154","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis","(Jacq.) Steud.","Conceição, AA; Atkins, S; Woodgyer, EM; Stannard, B","PCD2429","1996","03","15","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Fazenda Colvaozinho, ca. de 9km de Morro do Chapéu, próximo a estrada para Utinga","-41.174722","-11.619444","1250","1250",NA,"de 10-15 cm alt., áfila. Inflorescência com pendunculos cinzas, brácteas douradas; flores alvas. Raro.; Solo arenoso.","ALCB018275","ALCB018275","Watanabe, MTC",NA,NA,NA,NA,"-41.174722","-11.619444","2012","07",NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1824002","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","Davidse 11932","1976","4","4","South America","Brazil","Bahia",NA,"Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu.","-39.083333","-11.65","850.00000000",NA,NA,NA,NA,NA,"H.N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,"1216",NA,NA
"13","2015-08-13 05:50:00-03","MO","MOBOT","3285705","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","R.M. Harley","Harley 22922","1980","6","1","South America","Brazil","Bahia",NA,"Morro do Chapeu. 3 km SE of Morro do Chapeu on the road to Mundo Novo. Campo rupestre vegetation on sandstone rock outcrops with damp grassland on flat sandy areas. This plant growing in flat, damp sandy areas.","-41.11666","-11.56666","1000.00000000",NA,NA,NA,NA,NA,"A.M. Giulietti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-04 11:05:07-03","UFRB","HURB","10288","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","bahiensis","Comanthera bahiensis",NA,"Guedes, M.L.; Velloso, E.; et al","18973","2011","07","18",NA,"Brasil","Bahia","Morro do Chapéu","Piemonte da Chapada Diamentina, Morrão;","-41.211667","-11.5975",NA,NA,NA,NA,"HURB000010288",NA,NA,NA,NA,NA,NA,"41º12'42W","11º35'51S",NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2709884","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Syngonanthus","bahiensis","Syngonanthus bahiensis","Moldenke","H. S. Irwin","30703","1971","2","20","South America - Neotropics","Brazil","Bahia",NA,"East of Morro de Chapeu S of Rio Ferro Duido, E de Chapeu.",NA,NA,NA,NA,NA,NA,"US00088440","US00088440_01",NA,NA,NA,"Isotype","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA
