"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","phylum","class","order","imagecode","occurrenceRemarks","continentOcean"
"1","2019-11-13 11:14:14-03","USP","SPF","90720","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.","Senna, LR","2006","03","Harley, RM","H50732","1992","01","10","Brasil","Bahia","Abaíra","Campo de Ouro Fino","-41.9","-13.25","-41.9","-13.25","1600","1700","SPF00090720",NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:14:14-03","USP","SPF","62408","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.","Furlan, A","1988",NA,"Harley, RM","27595","1988","12","17","Brasil","Bahia","Água Quente","Pico das Almas","-42","-13.516667","-42","-13.516667","1100","1200","SPF00062408",NA,NA,NA,NA,NA,NA
"3","2019-11-13 11:14:14-03","USP","SPF","76043","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.","Furlan, A","1988",NA,"Harley, RM","27595","1988","12","17","Brasil","Bahia","Água Quente","Pico das Almas","-42","-13.516667","-42","-13.516667","1100","1200","SPF00076043",NA,NA,NA,NA,NA,NA
"4","2019-11-13 11:14:14-03","USP","SPF","18113","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.","Senna, LR","2006","03","Giulietti, AM","CFCR1250","1981","07","18","Brasil","Bahia",NA,"Estrada ituaçu- Barra da Estiva.",NA,NA,NA,NA,NA,NA,"SPF00018113",NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:14:14-03","USP","SPF","90359","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.","Pedersen, TM","1996",NA,"Harley, RM","H50180","1991","12","20","Brasil","Bahia","Abaíra","Catolés","-41.85","-13.283333","-41.85","-13.283333","1000","1100","SPF00090359",NA,NA,NA,NA,NA,NA
"6","2019-10-07 09:18:32-03","UEFS","HUEFS","71766","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.",NA,NA,NA,"Harley, R.M.","50732","1992","01","10","Brasil","Bahia","Abaíra","Campo de Ouro Fino (baixo).","-41.9","-13.25","41W54'","13S15'","1600","1700","HUEFS0071766","Angiospermae","Caryophyllanae","Caryophyllales","HUEFS0071766",NA,NA
"7","2019-10-07 09:18:32-03","UEFS","HUEFS","71788","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.",NA,NA,NA,"Harley, R.M.","50180","1991","12","20","Brasil","Bahia","Abaíra","Catolés.","-41.85","-13.283333","41W51'","13S17'","1000","1100","HUEFS0071788","Angiospermae","Caryophyllanae","Caryophyllales","HUEFS0071788","Cerrado de altitude, em solo arenoso, recentemente queimado.",NA
"8","2019-10-07 09:18:32-03","UEFS","HUEFS","74256","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.","L.R.Senna","2004","10","Harley, R.M.","54528","2003","01","02","Brasil","Bahia","Rio de Contas","Kaiambola, na trilha para o Pico de Itobira. Entre pedras quartziticas, em solo arenoso.","-41.890556","-13.388333","41W53'26''","13S23'18''","1397","1397","HUEFS0074256","Angiospermae","Caryophyllanae","Caryophyllales","HUEFS0074256",NA,NA
"9","2018-04-06 15:20:10-03","F","FMNH-SEEDPLANTS","V0428661F","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans",NA,NA,NA,NA,"R. M. Harley & et al.","50180","1991","12","20","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0428661F","Spermatophyta","Dicotyledoneae",NA,"V0428661F_01",NA,"South America"
"10","2017-09-11 17:06:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Amaranthaceae","Gomphrena","nigricans","Gomphrena nigricans","Mart.",NA,NA,NA,"Martius, CFP","s.n.",NA,NA,NA,"?",NA,NA,"Crescit in petrosis altitudine 2500' pedum ad fluvium Brumadinho prope Villa do Rio das Contas prov. Bahiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
