"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","dayIdentified","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","556779","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","B. M. J. Lutz","1175","1938","12","South America","Brazil","Rio de Janeiro","Petrópolis","Petrópolis, Quitandinha","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556779","NY00556779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-15 14:59:00-02","NY","NYBG","01157945","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum",NA,"B. C. Bennett","4396","1990","08","South America","Ecuador","Napo",NA,"Villano, near Rucu Llacta","-77.75","-0.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498869' target='other'> <mi>dwc_moreinfo</mi></a>","NY01157945",NA,"R. Callejas Posada","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4148825","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","J. J. Wurdack","2421","1962","10","South America","Peru","Loreto","Alto Amazonas","Rainforest at upper end of Pongo de Manseriche, Río Marañón",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4468918' target='other'> <mi>dwc_moreinfo</mi></a>","NY04148825",NA,NA,"26","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4148824","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","J. C. Solomon","8783","1982","11","South America","Bolivia","La Paz","Nor Yungas","4.6 km below Yolosa, then 19.1 km on road up the Rio Huarinilla","-67.53","-16.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4468917' target='other'> <mi>dwc_moreinfo</mi></a>","NY04148824",NA,NA,"12","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","556778","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","P. J. M. Maas","3357","1977","10","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacinal da Serra dos Orgaos, Rio Beijaflor","-42.9656","-22.4122","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556778","NY00556778_01","R. Callejas Posada","20","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4148832","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","Y. E. J. Mexia","8323","1936","10","South America","Peru","Huánuco",NA,"Left bank of Rio Huallaga, above Cayumba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4468925' target='other'> <mi>dwc_moreinfo</mi></a>","NY04148832",NA,NA,"20","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","556781","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","A. Gehrt","s.n.","1939","12","South America","Brazil","São Paulo","Sao Paulo","Pirajussara, Capital","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556781","NY00556781_01","T. G. Yuncker","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4148831","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","C. Vargas C.","9808","1950","11","South America","Peru","Cusco","La Convención","Arnaibamba; Sta. Barbara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4468924' target='other'> <mi>dwc_moreinfo</mi></a>","NY04148831",NA,NA,"22","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","556777","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","O. Handro","2178","1971","11","South America","Brazil","São Paulo","Sao Paulo","Agua Funda, nativa no Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556777","NY00556777_01","O. Handro","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","556776","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","lanceolatum","Piper lanceolatum","Ruiz & Pav.","M. H. Nee","39173","1990","10","South America","Bolivia","Santa Cruz","Ichilo","Parque Nacional Amboro, 2.5 m. ENE of summit of Cerro Amboro","-63.63","-17.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556776","NY00556776_01","M. H. Nee","10","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
