"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","454088","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","paranaënsis","Begonia paranaënsis","Brade","L. B. Smith; B. G. Schubert","P. K. H. Dusén","7473","1909","01","04","South America","Brazil","Paraná","Ipiranga","Desvio Ypiranga","-50.5842","-25.0242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454088","NY00454088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:59:06-03","NBC","NL-BOTANY","L.2480905","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"Hatschbach GG",NA,"1969","03","14","Southern America","Brazil",NA,NA,"Est: Paraná (BRASIL), Mun: Paranaguá, Pico Torto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2480905 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2480905","NL-L2480905","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:59:06-03","NBC","NL-BOTANY","L.2480906","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"Hatschbach GG",NA,"1962","02","18","Southern America","Brazil",NA,NA,"Est: Parana (BRASIL), Mun: Campina Gde. Sul, Rod. BR-2, Ribeirao de Cedro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2480906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2480906","NL-L2480906","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:03:01-03","ESALQ","ESA","84560","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollmann, L.","Araki, D.F.; Rother, D.C; Oliveira S.H; Toledo, R.M; Tamashiro J.Y; Rodrigues, R.R.; Souza, V.C.; Paula-Souza, J. ; Muniz, M.R.A.","39.0","2003","04","16",NA,"Brasil","São Paulo","Eldorado","Parque Estadual Intervales - trilha cachoeira das pedrinhas, Floresta Ombrófila Densa Montana com intensa exploração seletiva (palmito e madeira) estrada São Pedro","-482.188","-241.827",NA,"Erva - 0,50 m, trilha, frutos verdes imaturos, sombra","ESA084560","ESA084560",NA,"2019","03","15","-482,188","-241,827",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:01-03","ESALQ","ESA","84565","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollmann, L.","Aguiar, A.C.; Silva, R.R.; Pereira, Z.V.; Cerqueira, R.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.","180.0","2003","04","18",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales, trilha do Rio do Carmo Acima, com saída no núcleo do Carmo em direção aos três córegos, Vegetação muito degradada com estrativismo seletivo de palmito e madeira, com poucos indivíduos das espécies finais de sucessão, com sensív","-48.24","-24.18",NA,"Erva ereta, com 060 cm de altura, flores brancas e estames amarelos, frutos imaturos verdes","ESA084565","ESA084565",NA,"2019","03","15","-48.24","-24.18","530","530",NA,NA,NA,NA,NA
"6","2020-11-04 11:03:01-03","ESALQ","ESA","122631","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollmann, L.","Flores, T.B.","1502.0","2012","10","24",NA,"Brasil","Espírito Santo","Ibitirama","Santa Marta - Sítio do Alemão (Claus - Diva), depois do sítio da Jacutinga.","-41.6671981811523","-20.5414009094238",NA,"Erva, ca. 1m de alt. Frutos verdes, botões e flores alvas.","ESA122631",NA,NA,"2019","03","15",NA,NA,"1168","1168","22282","auto",NA,NA,NA
"7","2020-11-04 11:03:01-03","ESALQ","ESA","84566","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollmann, L.","Viani, R.A.G.; Souza, S.C.P.M.; Gusson, E.; Cavallari Neto, M.; Melo, A.C.G.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","188.0","2003","04","20",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales, trilha do Cipó em direção à gruta do Cipó, vegetação secundária (capoeirão) de Floresta Ombrófila Densa Montana com intensa exploração agrícola, de palmito e de madeira","-48.24","-24.16",NA,"Erva 60 cm, flores brancas com estames amarelos, frutos verdes imaturos","ESA084566","ESA084566",NA,"2019","03","15","-48.24","-24.16","820","820",NA,NA,NA,NA,NA
"8","2020-11-04 11:03:01-03","ESALQ","ESA","84564","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollmann, L.","Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","103.0","2003","04","19",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales, Trilha saindo 500m antes da sede do Núcleo Barra Grande em direção à E.E.Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e com exploração de palmito","-48.21","-24.18",NA,"Erva de 40cm, flores femininas brancas","ESA084564","ESA084564",NA,"2019","03","15","-48.21","-24.18","790","790",NA,NA,NA,NA,NA
"9","2020-11-04 11:03:01-03","ESALQ","ESA","83789","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollmann, L.","Paula-Souza, J. ; Souza, V.C.",NA,"2003","04","16",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales. Trilha da Cachoeira das Pedrinhas, com início na estrada de São Pedro, até a Cachoeira do Rio do Carmo. Floresta ombrófila densa montana com intensa exploração seletiva","-482.188","-241.827",NA,"Erva, 1,3m alt. Frutos imaturos verdes com alas rosadas","ESA083789","ESA083789",NA,"2019","03","15","-482,188","-241,827","790","790",NA,NA,NA,NA,NA
"10","2016-02-02 14:37:48-02","BGBM","B","B 10 0243090","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"P. K. H. Dusén","3642","1904","02","03","Middle and South America","Brazil",NA,NA,"Paraná, Ypiranga.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243090 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243090","B100243090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA
