"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01302937","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","carajasense","Centrosema carajasense","Cavalc.","A. S. L. da Silva","A. S. L. da Silva","1848","1984","03","17","South America","Brazil","Pará","Marabá","Serra dos Carajás. N-4, mina piloto para exploração de ferro. Local onde foi realizado inventário em 05/83","-50.1736164","-6.0551244","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1382626' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302937","NY01302937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01302936","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","carajasense","Centrosema carajasense","Cavalc.","R. C. Barneby","R. de S. Secco","189","1982","05","14","South America","Brazil","Pará",NA,"Marabá, N5, arredores do lago",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597039' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302936","NY01302936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01302935","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","carajasense","Centrosema carajasense","Cavalc.","R. C. Barneby","M. N. F. da Silva","59","1983","04","22","South America","Brazil","Pará","Itaituba","Serra do Cachimbo, estrada Santarém-Cuiabá, BR 163, km 771","-54.9","-9.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1381339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302935","NY01302935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","22915","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","carajasense","Centrosema carajasense",NA,NA,"Salvador, J.L.G.","116","1998","06","21",NA,"Brasil","Mato Grosso do Sul","Três Lagoas",NA,NA,NA,NA,"Trepadeira, flores brancas.","BOTU022915",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-10 21:42:59-03","UNEMAT","TANG","6819","S","Plantae",NA,NA,"Fabaceae","Centrosema","carajasense","Centrosema carajasense",NA,NA,"Abdo, MSA","647","2017","06","28",NA,"Brasil","Mato Grosso","Nova Olímpia","Fazenda São Rafael.","-57.317431","-14.774125",NA,NA,"TANG000006819",NA,"-57.317431","-14.774125","209","209",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:08:39-03","ESALQ","ESA","38232","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Centrosema","carajasense","Centrosema carajasense",NA,"Souza, V.C.","Souza, V.C.; Souza, J.P.; Astorino, A.; Rezende, M.M.","15607.0","1997","04","24",NA,"Brasil","Mato Grosso","Peixoto de Azevedo","BR-080. Cachoeirinha do Rio Peixoto. Cerca de 63 Km de Matupá em direção ao Rio Xingu. Gleba Leonislândia. Encrave de savana arborizada em área florestada.","-54.9796981811523","-10.2230997085571",NA,"Escandente; flores lilases com centro mais escuro.","ESA038232",NA,NA,"-10,416,667",NA,NA,"1997","08","02","259886","auto",NA
"7","2020-11-04 11:08:39-03","ESALQ","ESA","38231","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Centrosema","carajasense","Centrosema carajasense",NA,"Elias, S.I.","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Miyagi, P.H.","17294.0","1997","06","07",NA,"Brasil","Mato Grosso","Tapurah","Estrada entre a Fazenda Contagro e o assentamento do INCRA (antiga Fazenda Agrolasa). Contato Floresta Ombrófila-Floresta Estacional","-56.5416984558105","-12.7849998474121",NA,"Escandente; flores lilás-claras.","ESA038231",NA,NA,NA,NA,NA,"1997","10","17","190293","auto",NA
"8","2020-11-04 11:08:39-03","ESALQ","ESA","38230","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Centrosema","carajasense","Centrosema carajasense",NA,"Souza, V.C.","Souza, V.C.; Souza, J.P.; Astorino, A.; Rezende, M.M.","15575.0","1997","04","24",NA,"Brasil","Mato Grosso","Peixoto de Azevedo","BR-080. Cachoeira de um afluente do Rio Peixoto de Azevedo (localmente chamada de cachoeirinha). Cerca de 63 Km de Matupá em direção ao Rio Xingu. Gleba Leonislândia. Mata ciliar.","-54.9796981811523","-10.2230997085571",NA,"Escandente; estandarte róseo com centro vinho.","ESA038230",NA,NA,"-10,416,667",NA,NA,"1997","08","09","259886","auto",NA
"9","2019-02-22 11:46:20-03","IPA","IPA","17736","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Centrosema","carajasense","Centrosema carajasense","Cavalc.","Andrade-Lima","Giulietti, A.M.","410","1968","10","10","Southern America","Brasil","Mato Grosso",NA,"Arredores do Acampamento da Royal Society. Mata próxima ao córrego do Surucucu",NA,NA,NA,"Trepadeira em frutificação","IPA0017736",NA,NA,NA,NA,NA,"1971","08","03",NA,NA,NA
"10","2020-12-11 11:35:44-03","UFMG","BHCB","139182","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Centrosema","carajasense","Centrosema carajasense","Cavalcante",NA,"Gontijo, FD; Arruda, AJ; Almeida, TE; Pivari, MOD; Silva, LVC","139","2010","02","20","Southern America","Brasil","Pará","Canaã dos Carajás","Floresta Nacional de Carajás, S11D.","-50.341111","-6.395278",NA,"Vegetação rupestre.","BHCB026199",NA,"-50.341111","-6.395278","666","666",NA,NA,NA,NA,NA,NA
