"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","phylum","order","scientificNameAuthorship","typeStatus","year","month","day","minimumElevationInMeters","maximumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:20-03","E","E","277672","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","multiflora","Pouteria multiflora","Baker, C.F.","76","E. Tropical South America","BR","Pará","herbarium specimen of unspecif","BGBASE:327194","<a href=http://data.rbge.org.uk/herb/E00277672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:20-03","E","E","277671","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","multiflora","Pouteria multiflora","Huber, Jacques E.",NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:327195","<a href=http://data.rbge.org.uk/herb/E00277671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277671","Region of the Purus River.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","273631","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","carabobensis","Pouteria carabobensis","H. F. Pittier","8921","South America","Venezuela","Carabobo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273631","Guaremales, road from Puerto Cabello to San Felipe","Magnoliophyta","Ericales","Pittier","isotype","1920","07","02","50","350","NY00273631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01212036","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","S. A. Mori","16265","South America","Brazil","Amapá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212036","Camaipi. EMBRAPA reserve and vicinity","Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1983","09","17",NA,NA,"NY01212036_01","-51.62","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01212038","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","N. T. da Silva","193","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212038",NA,"Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1948","12","28",NA,NA,"NY01212038_01",NA,NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01212026","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","R. de Lemos Fróes","20601","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212026",NA,"Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1945","03",NA,NA,NA,"NY01212026_01 NY01212026_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01212031","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","R. de Lemos Fróes","323c","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212031",NA,"Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1941","08","22",NA,NA,"NY01212031_01 NY01212031_02 NY01212031_03",NA,NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01212037","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","N. T. da Silva","193","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460444' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212037",NA,"Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1948","12","28",NA,NA,"NY01212037_01",NA,NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01212035","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","C. A. Cid Ferreira","1965","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330973' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212035","Rio Trombetas, margem direita, Porto Trombetas, estrada da Mineraçao Rio-Norte, km 60 atras da Mina de Bauxita, proximo ao igarape Saracazinho","Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1980","08","31",NA,NA,"NY01212035_01","-55.8661","-1.76556",NA,"Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01252064","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","macrocarpa","Pouteria macrocarpa","G. T. Prance","4619","South America","Brazil","Roraima","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1495120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252064","San Salvador, 40 km north west of Boa Vista.","Magnoliophyta","Ericales","(Mart.) D.Dietr.",NA,"1967","03","01",NA,NA,"NY01252064_01 NY01252064_02","-60.9600807","3.0794101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
