"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","identifiedBy","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","coordinatePrecision","geoFlag"
"1","2016-09-30 03:43:00-03","NY","NYBG","1242396","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","N. Y. Sandwith","1704","1937","10","10","South America","Trinidad and Tobago","Tobago","Bacolet Point.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507813' target='other'> <mi>dwc_moreinfo</mi></a>","NY01242396","NY01242396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1210639","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","D. C. Daly","5317 A","1987","08","06","South America","Colombia","Antioquia","Santa Fé de Antioquia. between Uramita and Santa Fé, 13 km S of Uramita.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01210639",NA,"(L.) Sarg.","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 03:43:00-03","NY","NYBG","1210638","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","J. C. Betancur","1239","1989","05","26","South America","Colombia","Chocó","Corregimiento San Francisco, Bahía Zardí, colecciones hechas en la orilla y pocos metros mas adentro de la playa, acantilado rocoso, bmh-T Golfo de Urabá, Océano Atlántico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507761' target='other'> <mi>dwc_moreinfo</mi></a>","NY01210638",NA,NA,NA,"D. C. Daly","Acandí","-77.12","8.38","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 03:43:00-03","NY","NYBG","1242392","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","F. J. Breteler","4381","1964","12","20","South America","Venezuela",NA,"Península Paraguaná. La Ciénaga, +/- km from Pueblo Nuevo along road to Sta. Ana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01242392","NY01242392_01",NA,"100","L. E. Ruiz-Terán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 03:43:00-03","NY","NYBG","1210633","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","J. L. Zarucchi","3644","1985","03","08","South America","Colombia","Vichada","Parque Nacional Natural El Tuparro, Centro Administrativo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507740' target='other'> <mi>dwc_moreinfo</mi></a>","NY01210633",NA,NA,"90","D. C. Daly",NA,"-67.85","5.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 03:43:00-03","NY","NYBG","1242412","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","A. Gröger","1168","1993","10","10","South America","Venezuela","Amazonas","app. 3 km al Este de Pto. Ayacucho; Alto Carinagua; Laja de las Escrituras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507850' target='other'> <mi>dwc_moreinfo</mi></a>","NY01242412","NY01242412_01",NA,"150","D. C. Daly","Mun. Atures","-67.53","5.67","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1210642","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","D. Sánchez","65","1980","05","16","South America","Colombia","Antioquia","desenbocadura al Cauca de la quebrada Purgatorio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507775' target='other'> <mi>dwc_moreinfo</mi></a>","NY01210642",NA,"(L.) Sarg.",NA,NA,"Pequé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1242391","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","J. A. Steyermark","123363","1980","06","05","South America","Venezuela","Zulia","Sierra de la Corbata, 3-4 km NNE of Parcelamiento Cachití.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507806' target='other'> <mi>dwc_moreinfo</mi></a>","NY01242391","NY01242391_01","(L.) Sarg.","100","D. C. Daly","Mara","-72.25","10.87","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1242388","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","J. R. Johnston","s.n.","1903","07","03","South America","Venezuela",NA,"North Hill. El Valle.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01242388","NY01242388_01","(L.) Sarg.","235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 03:43:00-03","NY","NYBG","1242399","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Bursera","simaruba","Bursera simaruba","W. A. Diaz","3388","1997","11","20","South America","Venezuela","Bolívar","Puerto Ordaz, Riberas del Río Orinoco (Matanzas).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01242399","NY01242399_01",NA,"30","D. C. Daly","Caroní","-62.9167","8.2833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
