"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","class","order","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2020-11-04 11:12:03-03","ESALQ","ESA","9733","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix","Coe- Teix.","Moraes, P.L.R.","Lombardi, J.A. Toledo, F.R.N.","247.0","1993","05","19","Brasil","Minas Gerais","Caeté","-43.6697006225586","-19.8799991607666","22051","ESA009733","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:03-03","ESALQ","ESA","9832","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix","Coe- Teix.","Moraes, P.L.R.","Siqueira, P.C. et al.","844.0","1985","06","24","Brasil","Minas Gerais","Caeté","-43.6697006225586","-19.8799991607666","22051","ESA009832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:03-03","ESALQ","ESA","9814","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix",NA,NA,"Costa, L.V. et al.","453.0","1989","04","01","Brasil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169","ESA009814","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:30:39-03","IAP","PACA-AGP","93710","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Larocca, J.","D. Marschner",NA,"2004",NA,NA,"Brasil","RS","Gramado","-50.8739013671875","-29.3785991668701","13851","PACA093710","auto","Magnoliatae","Laurales","Arroio Grande","arroio urutã; HASU 17176. Habitat: mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:04-03","UFV","VIC","38827","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe teixeira",NA,"Neri, A.V.; Batista, M.L.","s.n.","2002","04","05","Brasil","Minas Gerais","Senador Modestino Gonçalves","-43.2249984741211","-17.9466991424561","42669","VIC038827","auto",NA,NA,"Reserva da Fazenda Tico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:32:40-03","UNICAMP","UEC","78690","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.",NA,"Godoy, SAP; Ferreira, GMP; Garcia, RJF; Neves, LF","625","1995","06","23","Brazil","São Paulo","Parelheiros","-46.735","-23.835556",NA,"UEC003910",NA,NA,NA,"Novo Parelheiros, sítio do Sr. José Guilguer Reimberg (José Toco), à direita na Estrada Engº Marsilac, após o entroncamento com a Estrada da Colônia.","Árvore ca. 15 m alt.; DAP 0,30 m. Casca levemente rugosa. Frutos imaturos verdes.; Trilha em aclive acentuado.","-46.735","-23.835556","UEC003910",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-06 09:56:02-03","UFOP","OUPR","32413","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Pedrosa, L.G.","Pedrosa, L.G.","1028","2018","11","14","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto",NA,NA,"Parque Estadual do Itacolomi","Arvoreta, 3m. Flores não observadas.",NA,NA,NA,"2018","11","14",NA,NA,NA,NA
"8","2019-11-06 09:56:02-03","UFOP","OUPR","8331","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Pedralli, G.","Castro, A.Z.","67","1999","09","20","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto",NA,NA,"Parque Estadual do Itacolomi, Área de camping, perto do forno abandonado","Borda da mata, solo encharcado",NA,NA,NA,"2002","01",NA,NA,NA,NA,NA
"9","2020-03-12 10:29:17-03","UFOP","OUPR","34269","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Pedrosa, L.G.","Pedrosa, L.G.","1745","2019","07","13","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto",NA,NA,"Parque Estadual do Itacolomi, Boqueirão/Saboeiro.","Arvoreta, 3m. Frutos verdes. Capão de mata.",NA,NA,NA,"2019","07","13",NA,NA,NA,NA
"10","2020-12-11 11:37:04-03","UFMG","BHCB","6234","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.",NA,"Grandi, TSM; et al.","1846","1985","06","29","Brasil","Minas Gerais","Caeté","-43.666667","-19.816667",NA,NA,NA,NA,NA,"Serra da Piedade","Campo;arbóreo;","-43.666667","-19.816667",NA,NA,NA,NA,"Southern America","1720","1720",NA
