"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","class","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","230631","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.","holotype","E. Pereira","1626","1955","05","29","South America","Brazil","Minas Gerais","Diamantina","Rio das Pedras","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230631","NY00230631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 11:07:28-03","UNESP-IBB","BOTU","32796","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","H.Rob.",NA,"Semir, J.","1/131","2001","06","21",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, 2 km do asfalto","-43.702222","-18.247778",NA,NA,"BOTU032796","BOTU032796","Semir, J.","43°42'08w","18°14'52s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:01:57-03","ESALQ","ESA","73632","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","H. Rob.",NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25381.0","2001","07","08",NA,"Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Gouveia, ca. 5 km de Diamantina. Afloramento rochoso.","-43.6002998352051","-18.2493991851807",NA,"Erva, ca. 40 cm alt.; flores rosa-forte. Beira da estrada.","ESA073632","ESA073632","Loeuille, B.",NA,NA,"2011","101169","auto",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:06:17-03","UNICAMP","UEC","137821","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Mansanares, ME; Verola, CF","377","2003","08","21",NA,"Brazil","Minas Gerais","Salitreira","Serra do Cipó, Estrada antiga para a Salitreira, antido km 116.","-43.535278","-19.266667",NA,"Pequenas rosetas, inflorescencia em escapos com flores magenta. Crescendo em solo arenoso úmido.",NA,NA,NA,"-43.535278","-19.266667",NA,NA,NA,"1400","1400",NA,NA,NA,NA
"5","2019-08-20 10:06:17-03","UNICAMP","UEC","119796","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Lewinsohn, TM; Prado, PIKL; Solferini, VN; Jesus, FF","PIC97052","1997","05","02",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Abaixo do Juquinha.","-42.534444","-19.265833",NA,"População restrita, em afloramento de quartzo.","UEC005798","UEC005798","Loeuille, BFP","-42.534444","-19.265833","2015",NA,NA,NA,NA,"12",NA,NA,NA
"6","2019-08-20 10:06:17-03","UNICAMP","UEC","137888","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Mansanares, ME; Verola, CF","360","2003","08","16",NA,"Brazil","Minas Gerais","Curvelo","Estrada Gouveia, Afloramento próximo ao Km 499.","-43.88075","-18.425694",NA,"Roseta, flores lilases. Crescendo em campo arenoso.","UEC123900","UEC123900",NA,"-43.88075","-18.425694",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:06:17-03","UNICAMP","UEC","119793","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Lewinsohn, TM; Solferini, VN; Jesus, FF; Prado, I","97044","1997","05","01",NA,"Brazil","Minas Gerais","Diamantina","Rib. das Pedras, Estrada de terra, entrada à esquerda, 100 m antes da COPASA.","-43.656389","-18.263889",NA,"Pequena população sobre cascalho; em botão.","UEC069273","UEC069273","Loeuille, BFP","-43.656389","-18.263889","2011",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:06:17-03","UNICAMP","UEC","119798","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Jesus, FF","FFJ0197","1997","05","05",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Morro em frente ao Juquinha, com cascalho de quartzo.","-43.555","-19.265833",NA,NA,"UEC005795","UEC005795","Loeuille, BFP","-43.555","-19.265833","2015",NA,NA,NA,NA,"12",NA,NA,NA
"9","2020-02-10 17:50:40-03","UNICAMP","UEC","119801","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Abreu, AG; Yotoko, KSC; Prado, I; Santos, HS","00118","2000","06","23",NA,"Brazil","Minas Gerais","Diamantina","Rib. das Pedras, Próximo à reserva COPASA.","-43.656389","-18.263889",NA,"Pequena população sobre cascalho.","UEC069274","UEC069274","Loeuille, BFP","-43.656389","-18.263889","2011",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:06:17-03","UNICAMP","UEC","137840","S","Plantae","Magnoliopsida",NA,"Asteraceae","Minasia","pereirae","Minasia pereirae","B.L.Rob.",NA,"Mansanares, ME; Verola, CF","358","2003","08","16",NA,"Brazil","Minas Gerais","Curvelo","Estrada Gouveia, Afloramento próximo ao Km 499.","-43.88075","-18.425694",NA,"Roseta, flores lilases. Crescendo em campo arenoso.","UEC126386","UEC126386","Mansanares, ME","-43.88075","-18.425694","2003",NA,NA,NA,NA,NA,NA,NA,NA
