"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01282033","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.","H. Kennedy","P. Fiaschi","1995","2004","03","03","South America","Brazil","Espírito Santo","Linhares","Estrada de Linhares para o Pontal do Vale, ca. 8,1 km após o viaduto, ramal à direita para Provoaçao. Ca. 3 km da estrada","-39.8875","-19.5055556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1476245' target='other'> <mi>dwc_moreinfo</mi></a>","NY01282033","NY01282033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","268458","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.","H. Kennedy","B. D. Sucre","157123","1972","03","16","South America","Brazil","Espírito Santo",NA,"Reserva Biologica de Soeretama, Lagoa do Macuco, Municipio do Sao Mateus.","-39.947575","-19.045731","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=294654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00268458","NY00268458_01","isotype","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","569335","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.","H. Kennedy","W. W. Thomas","6067","1988","02","22","South America","Brazil","Espírito Santo","Linhares","8 km W of Linhares on road to Colatina (on north side of Rio Doce)","-40.12","-19.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=294655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569335","NY00569335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1546311","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.",NA,"B. D. Sucre","8698","1972","03","16","South America","Brazil","Espírito Santo","São Mateus","Reserva Biológica de Sooretama, Lagoa do Macuco","-39.947575","-19.045731","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546311","NY01546311_01","isotype","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098661","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.",NA,"P. Fiaschi","2527","2004","09","04","South America","Brazil","Bahia","Valença","Estrada de Valença para Guaibim, ca. 2 km, entrada à esq., 8 km, ramo vicinal à esq. RPPN Água Branca.","-39.0903","-15.3289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1512985' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098661","NY02098661_01",NA,"220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:18-03","UFRJ","RFA","16346","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.","D.S. Gisi","P. Occhioni","7258","1975","05","01",NA,"Brasil","Espírito Santo","Linhares","Estrada para Regência margem do Rio Doce","-40.0722007751465","-19.3910999298096",NA,"20 a 40 cm de altura. Flor branca","RFA45185",NA,NA,NA,NA,"2012","03","24","48094","auto",NA,NA,NA,NA,NA
"7","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391552","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.",NA,"Folli DA",NA,"1992","10","16","Southern America","Brazil",NA,NA,"Reserva Florestal da CVRD. Linhares Esp. Santo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391552","NL-U1391552",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391553","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.",NA,"Folli DA",NA,"1990","12","26","Southern America","Brazil",NA,NA,"Reserva Florestal da CVRD. Linhares Esp. Santo. Est. Gavea.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391553","NL-U1391553",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-11-04 11:13:06-03","ESALQ","ESA","62906","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Goeppertia","singularis","Goeppertia singularis","(H.Kenn.) Borchs. & S. Suárez","Saka, M.N.","Folli, D.A.","1026.0","1989","12","26",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA062906","ESA062906",NA,NA,NA,"2013",NA,NA,"48094","auto",NA,NA,NA,NA,NA
"10","2015-07-02 14:02:48-03","JBP","HPL","5013","S","Plantae",NA,NA,"Marantaceae","Calathea","singularis","Calathea singularis","H. Kennedy","D.S. Gissi","H. Lorenzi","2703","2001","04","16",NA,"Brasil","RJ","Rio de Janeiro","Coletado no sítio R. Burle Marx, no telado das Begonias.","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,NA,"2012","01","17","57442","auto",NA,NA,NA,NA,NA
"11","2015-07-02 14:55:34-03","JBP","HPL","12271","S","Plantae",NA,NA,"Marantaceae","Calathea","singularis","Calathea singularis","H. Kennedy","D.S. Gissi","S. Vieira, H. Lorenzi, E. Jacques & M. Peixoto","447","2010","12","10",NA,"Brasil",NA,"Linhares","Coletado na Reserva Florestal da Companhia Vale do Rio Doce, estrada do Caingá, crescendo na beira da estrada.","-39.91525","-19.093278",NA,NA,NA,NA,NA,"24","24","2012","01","17",NA,NA,NA,"39° 54' 54,9 W","19° 5' 35,8 S",NA,NA
"12","2021-03-24 17:09:24-03","UFES","SAMES","3226","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.","Folli,D.A.","Folli,D.A.","1675","1992","10","16",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Mata de Tabuleiro, estrada da Gávea, 14400 metros.","-40.0722007751465","-19.3910999298096",NA,"Planta de porte herbáceo, forma de vida terrestre.","SAMES03226",NA,NA,NA,NA,"1993","10","14","48094","auto",NA,NA,NA,NA,NA
"13","2021-03-24 17:09:22-03","UFES","SAMES","3225","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","singularis","Calathea singularis","H.Kenn.","Kennedy,H.","Folli,D.A.","1026","1989","12","26",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Mata de Tabuleiro, estrada da Gávea, 20100m.","-40.0722007751465","-19.3910999298096",NA,"Herbáceo, terrestre, cor botão branco, cor flor branco.","SAMES03225",NA,NA,NA,NA,"1991","02","04","48094","auto",NA,NA,NA,NA,NA
